Datetime,Text
2023-01-02 22:25:11+00:00,"The facts are the facts: restricting access to abortion does not mean there will be fewer abortions. It only makes them less safe. 

We must pass federal legislation to protect the fundamental right to safe and legal reproductive health care."
2023-01-02 20:10:11+00:00,I am proud to have worked with Senator Feinstein to secure this funding for the Golden Gate Bridge’s seismic retrofit project. https://t.co/ejt7DW7Js6
2023-01-02 17:54:36+00:00,Extreme economic inequality and the growing wealth gap is a destabilizing force in our democracy.
2023-01-01 17:30:20+00:00,"2023 arrives with new opportunities and perspectives for creating a more perfect union, and greater resolution to tackle the challenges that face our country. 

Happy New Year!"
2023-01-01 03:30:15+00:00,Tackling the climate crisis requires dynamic innovation. https://t.co/45VDfcWt6v
2022-12-31 20:40:11+00:00,"In our democracy, every vote matters. 

That's why I am committed to passing federal voting rights reform to ensure that every eligible American has access to the ballot, no matter what state they live in."
2022-12-31 03:59:49+00:00,The science is abundantly clear: ignoring climate change is not an option.
2022-12-30 20:14:42+00:00,"No individual, party, or state government should have the power to override the will of the people. https://t.co/6UVUQRZPFi"
2022-12-29 22:50:11+00:00,"Price gouging of generic, life-saving medicines like insulin is unconscionable. 

Thanks to the Inflation Reduction Act, Medicare recipients will soon have their insulin costs capped at $35 per month."
2022-12-29 18:15:13+00:00,"Climate change is real and it's happening now. 

This isn't up for debate."
2022-12-29 01:29:55+00:00,"Voters stood up to defend our democracy in 2022, but the threat of the Big Lie continues to loom large across the country. https://t.co/N8Od98qa9x"
2022-12-28 23:45:13+00:00,"Immigration is a cornerstone of our country's culture, history and diversity. 

It is essential that we create a fair and compassionate system that respects the rights and dignity of all people."
2022-12-28 17:25:11+00:00,"Clean, affordable, and reliable energy is essential for a sustainable future.

Thanks to the Inflation Reduction Act, we are on our way."
2022-12-28 00:54:12+00:00,"Proud to secure investments for communities across California, including projects in the Central Valley. https://t.co/Nqi5DexzYC"
2022-12-27 02:14:35+00:00,A critically important step in preventing another attack on our democracy. https://t.co/2owUaLwakF
2022-12-26 20:09:34+00:00,"Healthcare is a fundamental human right. 

It’s time that we join the rest of the developed world and expand access to medical care for all. #MedicareForAll"
2022-12-25 17:44:07+00:00,"Merry Christmas and Happy Holidays to all!

May this season bring you the opportunity to relax, reflect and spend time with the ones you love. https://t.co/30tYwDoYZY"
2022-12-24 20:16:49+00:00,The climate crisis continues to create ‘once in a generation’ weather events multiple times a year. https://t.co/6m4KObgzeR
2022-12-24 04:05:10+00:00,"The fact that Isabel had to fight for her life to begin with is further proof that our immigration system is in dire need of reform.
https://t.co/6J0RBrIkpE"
2022-12-24 01:58:57+00:00,Equal pay for equal work. It’s that simple. Women and people of color should not be paid less for doing the same job as their counterparts. #PayEquity
2022-12-23 19:26:23+00:00,"The final report from the 1/6 committee is a critical step toward accountability, but it can’t end there. https://t.co/6kWhcd86RL"
2022-12-23 03:55:11+00:00,The American people deserve and demand accountability for all those involved in January 6th. https://t.co/07yJoGGBdI
2022-12-23 02:15:11+00:00,Climate denialism in the GOP is unsustainable.
2022-12-22 23:10:10+00:00,"If you're traveling across the country for the holidays, take extra precaution. https://t.co/lIqwFxP27T"
2022-12-22 21:01:18+00:00,"Some of the largest and most profitable corporations in the country have paid nothing in federal income taxes. 

Thanks to the Inflation Reduction Act, these companies will now pay a minimum rate of 15%."
2022-12-22 18:07:00+00:00,Proud to stand in solidarity with President Zelenskyy and the people of Ukraine. https://t.co/AFA61b3vTw
2022-12-22 01:57:12+00:00,"This year Americans across the country stood up to defend our democracy.

Our work is far from done."
2022-12-21 23:40:10+00:00,"We are a nation of immigrants.

We must update our immigration system to reflect this reality."
2022-12-21 22:15:12+00:00,"Centuries of structural and systemic racism continue to result in poorer health outcomes in communities of color. 

My bill would incentivize healthcare providers to bring more services to marginalized communities. https://t.co/GWgUwri6Kl"
2022-12-21 20:30:22+00:00,Voting rights are the foundation for all other rights. Pass it on.
2022-12-21 18:53:23+00:00,"In order to protect our communities, we must establish clear national guidelines on the use of deadly force — and hold those officers who violate them accountable. https://t.co/ZIHzfIAFwm"
2022-12-20 21:01:18+00:00,"Since 2009, many of our country's billionaires have seen an exponential increase in their wealth. 

Meanwhile, the federal minimum hasn't budged from $7.25 an hour."
2022-12-20 17:40:24+00:00,No one is above the law. https://t.co/p23xR14ZKp
2022-12-20 04:04:28+00:00,Yes indeed.
2022-12-20 02:30:12+00:00,"If you don't believe in free and fair elections, you don't belong in elected office."
2022-12-19 23:15:10+00:00,"With much of the West in the midst of a historic megadrought, it is absolutely critical that we deploy the resources necessary to tackle these issues head-on. https://t.co/KIPKj7aFPp"
2022-12-19 20:02:36+00:00,"The politicization of science, whether it's climate change or COVID-19, betrays the fundamental principles of reason."
2022-12-19 16:52:51+00:00,Trump's Title 42 asylum ban is not a solution. We must work to restore our capacity to process asylum applications fairly and humanely. https://t.co/mFHn4niQU6
2022-12-19 02:20:13+00:00,"In order to safeguard our democracy and prevent another attack on our Capitol, we must pass the Reform Electoral Count Act."
2022-12-19 00:30:14+00:00,"Election deniers, seeking to litigate and undermine elections they have lost, continue to hit a brick wall. https://t.co/o3sYik3lYQ"
2022-12-18 20:40:10+00:00,Immigrants make America great.
2022-12-18 17:15:12+00:00,"I fully support the people of Puerto Rico, and the District of Columbia, in their pursuit of statehood. https://t.co/kbayXItRx0"
2022-12-18 03:50:09+00:00,"Citizens United unleashed a flood of special interest money into our elections. 

That's why I support an amendment to the Constitution to overturn this disastrous ruling."
2022-12-18 01:15:10+00:00,California continues to lead the way in building a clean energy future. https://t.co/7rkXQlIwn0
2022-12-17 20:50:11+00:00,"Thanks to the Inflation Reduction Act, Medicare will finally have the power to negotiate for lower prescription drug prices."
2022-12-17 18:05:11+00:00,"A positive development in the courts, but nothing can replace the need for federal reform protecting the right to vote. https://t.co/zT6J9B0wGS"
2022-12-17 04:35:09+00:00,"If you live in Southern California, here are some ways that you can save money and energy while upgrading your home and appliances. https://t.co/tVi5kL2fSS"
2022-12-17 01:10:18+00:00,"My bill, the Housing For All Act, aims to make having a home a fundamental human right. 

Everyone deserves the dignity of having a roof over their head."
2022-12-16 17:20:14+00:00,"The reality is that more than 120 GOP members in the House, and several in the Senate, voted to decertify the 2020 election and will be coming back to Washington again next Congress.

The Big Lie remains a critical threat to our democracy.  https://t.co/eKfKkqeFoN"
2022-12-16 15:48:01+00:00,"United we stand, divided we fall!"
2022-12-16 03:45:10+00:00,"With childcare costing the same as rent in many places, insurance premiums through the roof, and the total lack of any standardized paid parental leave, our country falls far behind other developed nations when it comes to supporting families.

We can and we must do better."
2022-12-16 01:20:10+00:00,Symbols matter. Statues matter. It's important that we be intentional about those who we venerate in the halls of our nation's Capitol. https://t.co/jj1tERqpjG
2022-12-15 22:15:14+00:00,I've said it before and I'll say it again: voter suppression is a tool of white supremacy.
2022-12-15 20:23:49+00:00,"It is an enormous honor to be presented an award from Planned Parenthood. 

I am committed and proud to be in this fight for fundamental rights and freedom for all. https://t.co/BQQeIb4hGa"
2022-12-15 15:25:15+00:00,Voter suppression is undemocratic and unpatriotic. RT if you agree.
2022-12-15 05:45:12+00:00,"I will keep asking this until I get an answer: why does the GOP continue to refuse to work with us to address the climate crisis?

We passed the largest climate initiative in history earlier this year with the Inflation Reduction Act, and not a SINGLE Republican voted for it."
2022-12-15 05:25:11+00:00,"It is absolutely despicable that there is so much time and energy being spent on punishing those fighting for reproductive choice. 

If you don't believe in abortion, don't get one.  https://t.co/WFT8nqxzq7"
2022-12-15 04:45:10+00:00,"Love is love.

And now because of the Respect For Marriage Act, it's the law of the land."
2022-12-15 04:24:05+00:00,"10 years today since the horrific mass shooting at Sandy Hook Elementary.

We simply cannot accept these atrocities as inevitable.

More must be done to enact common sense gun safety reforms.

That includes reenacting the assault weapons ban. https://t.co/aWdOHNp6L2"
2022-12-14 18:05:31+00:00,This is a monumental step forward toward creating a carbon-free future. https://t.co/win3qe2w7B
2022-12-14 15:28:32+00:00,"Absolutely, investing in climate solutions means investing in people, investing in jobs and investing in the future."
2022-12-13 22:50:10+00:00,"Our country is the melting pot of the world.

Our differences are what bind us together. 

Our diversity is our strength."
2022-12-13 21:47:58+00:00,"The Respect for Marriage Act is now officially the law of the land. 

A major milestone for America. https://t.co/efGOu23QvS"
2022-12-13 19:50:12+00:00,"Election deniers are plotting their next moves.

We must be ready to stop them. https://t.co/bnlNLHtzaQ"
2022-12-13 17:30:28+00:00,"The future is written by those that show up.

From the bottom of my heart, thank you to everyone who cast their ballot in this last election. 

Our democracy relies on the participation of us all."
2022-12-13 02:25:11+00:00,"There is a mental health crisis among America's children that needs all of our attention.

That's why I have introduced legislation to support comprehensive mental health services in schools. https://t.co/s7VZagMgvo"
2022-12-12 23:15:10+00:00,"Expanding and extending the Child Tax Credit is good for the economy, good for working families and good for America's children. https://t.co/DTRN5iSQBI"
2022-12-12 21:01:27+00:00,"Election denial is fundamentally incompatible with democracy.

You can't accept the results only when you like the outcome."
2022-12-12 19:55:10+00:00,Representation matters. https://t.co/ppX7J9Rsbq
2022-12-12 18:39:20+00:00,A historic moment for the City of Los Angeles. https://t.co/KeBs6hQucq
2022-12-12 00:30:16+00:00,Big companies cannot be allowed to pad their bottom lines at the expense of the American people. https://t.co/LK9jy1snkm
2022-12-11 20:25:11+00:00,"800,000 Dreamers -- who contribute greatly to their communities and this country -- are counting on a handful of my Republican colleagues joining us to do the right thing and giving them the legal protection they need to live their lives in peace."
2022-12-11 17:05:11+00:00,"The abuses are so flagrant, the offenses so severe, and the implications so dire that we must carefully consider how we cover the words and actions of the former president, and those who enable him. https://t.co/furt2iNHPU"
2022-12-11 01:55:10+00:00,"My bill, the FIRE Act, is on its way to President Biden’s desk to be signed into law. 

This legislation will help FEMA better prepare for and respond to wildfires, and also help communities recover from wildfire devastation."
2022-12-10 21:45:53+00:00,"The truth does not depend on party affiliation, and it does not bend to the will of one man. 

Too many of my GOP colleagues seem to need a reminder of this simple reality.

Facts matter."
