Datetime,Text
2023-01-02 22:20:22+00:00,"I was proud to join @GabbyGiffords as she Grand Marshalled the Rose Bowl Parade in Pasadena today. 

And I have to give a special thanks to the folks who jumped out of the crowd to help me push the 1911 Rambler when it ran out of gas! Definitely a parade first for us. https://t.co/66dwLzraKg"
2023-01-01 18:06:22+00:00,"We made major progress in 2022 — passing legislation to lower prescription drug costs, bring microchip manufacturing back to America, and make the largest ever federal investment in tribal cancer care. 

I’m looking forward to seeing what 2023 brings. Happy New Year, Arizona!"
2022-12-25 17:10:56+00:00,".@GabbyGiffords and I are wishing a very Merry Christmas to everyone celebrating!

Who’s wearing their ugly Christmas sweaters today? We’d love to see them. https://t.co/vBPq9VDqHH"
2022-12-24 18:55:25+00:00,"54 years ago today, the Apollo 8 astronauts took this photo during the first manned mission to orbit the moon.

The early Apollo missions serve as a reminder of what we can accomplish when we set our goals high, work as a team, and acknowledge that we’re all in this together. https://t.co/REx7sWD1kt"
2022-12-19 00:00:31+00:00,"Happy Hanukkah, Arizona! @GabbyGiffords and I are wishing everyone celebrating here at home and across the world a joyous and peaceful holiday. https://t.co/lkAehr2PSb"
2022-12-14 20:08:11+00:00,"Marriage equality is a fundamental right. 

Yesterday, our bill to federally protect that right was signed into law. This is a major step to ensure that the rights of same-sex and interracial couples will always be protected. I’m proud to have supported it."
2022-12-06 19:43:16+00:00,".@RaquelTeran leads with kindness, determination, and a commitment to moving our state forward — and she sure knows how to fire up a crowd!

Raquel, AZ Senate Dems are lucky to have you as their leader. Thank you for your service to Arizona and congratulations on a job well done."
2022-12-06 00:35:26+00:00,"By the way, the ride to orbit is only about eight and a half minutes.

Takes hours to park though."
2022-12-06 00:34:29+00:00,"21 years ago today, I took my first trip to space aboard the Space Shuttle Endeavour. You really don’t know what to expect when leaving the planet for the first time.

It was an honor to work at NASA and to make four flights to the International Space Station. https://t.co/cDjn5I6YAk"
2022-11-30 16:00:02+00:00,"Marriage equality is a fundamental right that I’ll always fight for. And now, we’re one step closer to writing it into federal law.

I’m proud to have voted for the Respect for Marriage Act to protect the rights and freedoms of same-sex and interracial couples across the U.S."
2022-11-24 18:08:32+00:00,"Happy Thanksgiving, Arizona! We’re wishing you a safe and happy holiday surrounded by friends and family. https://t.co/7mCILKV9wt"
2022-11-17 01:37:26+00:00,"This mission also includes a satellite from @ASU that will look for hydrogen on the moon. Proud to see our state at the forefront of space exploration yet again.
https://t.co/zBuULbqaa8"
2022-11-17 01:35:44+00:00,"Congrats to everyone at NASA on the successful launch of Artemis 1!

This is a historic first step for our return to the Moon."
2022-11-16 18:42:13+00:00,"I’m honored that Arizonans have entrusted me to represent our state in the Senate for six more years.

There is more work to do, but we’ve shown that when we focus on solutions, we can make progress. 

For as long as I’m there, that’s what I’ll continue to do in the U.S. Senate. https://t.co/UBBlhhdtkB"
2022-11-15 02:25:15+00:00,"Congratulations to Arizona’s next Governor, @katiehobbs! I know you will serve our state well, and I’m looking forward to working together to move Arizona forward."
2022-11-14 21:55:50+00:00,Thank you to @TheRialtoTucson for hosting us on Election Night! 🗳️☑️ https://t.co/QxMY6hXSxd
2022-11-12 03:23:21+00:00,"Thank you, Arizona. https://t.co/MKmCOGqsZx"
2022-11-11 19:05:00+00:00,"Happy Veterans Day, Arizona! I'm honored to work with and for our servicemembers and veterans in the U.S. Senate. 

Thank you to all of our veterans and their families for their service to our country. https://t.co/x8FcxJf41m"
