Datetime,Text
2023-01-01 05:42:00+00:00,"Happy new year! May your 2023 be happy, healthy, and filled with blessings. https://t.co/sNfiQab8Qc"
2022-12-30 16:15:30+00:00,"Max, one of our former Wilmington interns, finished his internship with new mentors and a new path for his future. 

If you're interested in helping Delawareans and seeing how Congress works, apply for an internship in DE or DC at  https://t.co/ljRAQ9Ie3m https://t.co/Vus9dzwlsY"
2022-12-30 15:21:30+00:00,"The citizens of Lewes deserve a modern municipal campus that will serve them well. This week, they are significantly closer to that goal. https://t.co/X421VuIdmb"
2022-12-30 14:30:31+00:00,Happy to see Delaware represented in the first post-pandemic Peace Corps service missions! https://t.co/Az4APS9HJN
2022-12-25 15:08:52+00:00,"Annie and I wish you and your family a Merry Christmas!  We hope your holidays are filled with happiness, love, and peace. https://t.co/qJmsEOWVuJ"
2022-12-23 21:20:48+00:00,Failing to pass the Afghan Adjustment Act this year will be remembered as one of the great moral failings of this Congress. We have to do right by the people who supported us in so many ways for 20 years. https://t.co/5kFhPBkrhP
2022-12-22 20:53:22+00:00,Glad to see the Talk of Delmarva highlighting my new bill to bring more transparency to social media platforms! https://t.co/xGTZdQKY1a
2022-12-22 19:24:35+00:00,Read more about our passage of the FY23 Omnibus here ➡️ https://t.co/mcxK6r0UwG
2022-12-22 19:22:53+00:00,"President Biden and Congress have made historic progress for Americans this year, from fighting climate change, to bringing jobs back to America, to expanding veterans' health care.

Now, after passing the bipartisan omnibus, we're providing needed funding for those priorities."
2022-12-22 18:28:23+00:00,"Whether or not Ukraine succeeds in repelling the Russian invasion is going to set the stage for this century. As @ZelenskyyUa said last night, the funding we're giving Ukraine to help defend itself against Putin isn't charity—it's an investment. https://t.co/sP4FVUeTiS"
2022-12-22 01:52:34+00:00,"It's the end of an era: Jim Gardner, the voice of the Delaware Valley, is hanging it up after more than four decades. Jim, we'll miss you. https://t.co/dfQFi3k3j7"
2022-12-22 01:13:07+00:00,"President Zelenskyy is right: As we enter the depths of the cold Ukrainian winter, we must maintain our focus and our bipartisan support. https://t.co/czESVZTxVP"
2022-12-22 01:13:07+00:00,The United States continues to demonstrate bipartisan solidarity with the people of Ukraine. Assistance like the $45 billion in emergency aid that we’ll pass tonight will ensure that Ukraine has what it needs to defend its people.
2022-12-22 01:13:06+00:00,His resolve in the face of tremendous adversity and unspeakable tragedies resonated as deeply with me just now as it did when I met with him in Kyiv this fall. His courage mirrors that of his people as they fight back against Russia’s brutal invasion.
2022-12-22 01:13:06+00:00,President Zelenskyy’s impassioned speech reminded us that Ukraine is on the front line in the fight for freedom and democracy across the world.
2022-12-22 00:16:05+00:00,"President Zelenskyy, welcome to the U.S. Capitol. The American people stand with you. https://t.co/FkcaXHkjHH"
2022-12-21 22:55:19+00:00,"Today, we confirmed Lynne Tracy to be U.S. Ambassador to Russia. I’m glad we’ve filled this post that’s critical to our efforts to stand up to Putin’s aggression in Ukraine and engage directly with the Russian people."
2022-12-21 21:59:00+00:00,Privacy and security failures at social media platforms are putting Americans' personal information at risk. My bipartisan #PATA bill ensures vetted experts and the public can have a clear picture on how platforms are handling Americans' data. https://t.co/mjyePduGxv
2022-12-21 21:20:00+00:00,Happy to see the @EPA work with @WestEndNH to help train Delaware students so they can enter the workforce prepared for good-paying jobs. https://t.co/kTsixg1PTw
2022-12-21 20:44:00+00:00,"We’re now accepting interns for our Delaware and Washington, D.C. offices! The program is an opportunity to get an inside look at how Congress works and help our office make a difference for Delawareans. Apply here: https://t.co/fsXBwtLPee https://t.co/5p2O27lWjw"
2022-12-21 19:54:18+00:00,Social media platforms shape the information that billions of people see everyday—but we don't know how their decisions affect us. My bipartisan #PATA bill ensures researchers &amp; the public can look under the hood to understand platform choices &amp; behavior.https://t.co/MKPXpFHRht
2022-12-21 00:31:00+00:00,The omnibus funds some of the most important pieces of legislation @POTUS has signed into law. We've got to get this over the finish line. https://t.co/NEcyLuEXvZ
2022-12-20 23:07:11+00:00,"For 20 years, Afghans stood with U.S. soldiers and fought alongside them. I'm still pushing for the Afghan Adjustment Act because anything less than full passage is a failure of our moral commitment to them. https://t.co/K7Z7dF2OH3"
2022-12-20 18:52:55+00:00,The United States and the EU share the common goals of protecting our planet and creating clean energy jobs. We can harmonize our approaches to reduce our carbon footprints and to encourage others to do the same.
2022-12-20 17:23:03+00:00,"In a few minutes, I'm speaking on the Senate floor to honor the distinguished career of my good friend @SenatorLeahy. 

You can watch it right here: https://t.co/JgicMwX4xa"
2022-12-20 15:39:39+00:00,"The postal service...it's electric! 

Thanks to my friend and colleague @SenatorCarper for making this possible. https://t.co/9SbozfUAUU"
2022-12-20 04:04:50+00:00,"Congratulations to my friend and former Prime Minister @MrKRudd on being named the next Australian Ambassador to the U.S. A highly regarded China scholar and foreign policy leader, I know he'll be an outstanding ambassador at this critical time."
2022-12-19 23:10:28+00:00,"Can't agree more with my fellow Congressional HBCU Caucus co-Chair @RepAdams—after years of underfunding, the pandemic, &amp; bomb threats, we need to pass the IGNITE Act to fully fund HBCUs &amp; ensure the next generation of leaders have the resources they need. https://t.co/HYsyBf9WMI"
2022-12-19 21:22:00+00:00,"Glad to see many retired military leaders join the fight to help pass the Afghan Adjustment Act. Veterans know the sacrifices our Afghan allies made to protect Americans and American values for 20 years. We must keep the promises we've made to them.
https://t.co/zoXHjTpMM6"
2022-12-19 20:34:11+00:00,Grateful we were able to reauthorize critical conservation programs in partnership with @senrobportman whose service in the Senate and across our government has helped protect us and our planet.
2022-12-19 00:20:21+00:00,"To those in Delaware and across the world celebrating this week, Annie and I wish you and your family a Happy #Hanukkah! https://t.co/MqUWqYXCMl"
2022-12-17 15:44:00+00:00,We are facing real threats to our health &amp; security because of intertwined crises–climate change &amp; biodiversity loss–but we can tackle them by learning from local conservation efforts in Africa. Read more in my op-ed with Prince Harry &amp; @HEDessalegn below: https://t.co/eTilSj41mr
2022-12-16 21:40:21+00:00,"FREE COVID TESTS: According to the CDC, cases have nearly doubled over the past two months. Be prepared by ordering your free COVID tests by visiting https://t.co/wU3An903nL."
2022-12-16 17:02:27+00:00,"Japan's new National Security Strategy is a historic approach that will grow our alliance for years to come. The steps it outlines—including increased defense spending and critical new investments—will strengthen our mutual security and protect a free, open Indo-Pacific."
2022-12-15 21:25:00+00:00,"As @AmeriCorps supports communities across the country, renewed efforts to keep alumni engaged will strengthen and empower participants for years to come. Proud to lead my Senate colleagues in writing to support these efforts. See more below: 
https://t.co/ahiqEfw27c"
