Datetime,Text
2023-01-02 18:54:46+00:00,"I said we would build a National Coast Guard Museum in New London and it's happening.

And some NEWS: On the heels of $50 million for the museum in the 2022 budget, the 2023 budget (passed two weeks ago) includes another $20 million!
https://t.co/uDx13cyD9g"
2023-01-02 02:43:06+00:00,"One of the least noticed stories of 2022 was the incredibly effective response by the Biden Administration to monkeypox. Just another example of what happens (or what doesn't happen) when there are competent people in charge of our nation's government.
https://t.co/syH0VxPrOK"
2023-01-02 02:34:08+00:00,"To grow Connecticut's economy (and therefore hold the line on taxes), we need to build more housing in order to address our growing labor shortage.

More reasonably priced houses and apartments are great for Connecticut's economy.
https://t.co/ia8w4mOyrE"
2023-01-01 17:10:48+00:00,"2022 was the year the gun safety movement proved we are finally more powerful than the gun lobby.

2023 is the first year of the new order."
2022-12-30 18:24:29+00:00,"Funny coincidence - I was taking our car for emissions testing yesterday in Hartford when I got a call on my cell from @PeteButtigieg to tell me we won this HUGE $158 million grant to fix the Gold Star Bridge that will help us reduce traffic and…emissions!

Big win for CT! https://t.co/EbsOqKGD6z"
2022-12-30 15:13:08+00:00,"I’ve never passed more legislation than in 2022. If you have 5 minutes today, watch this video - a quick summary of 2022’s major legislation and all the bills I wrote and passed. https://t.co/Hrw9QhdXqJ"
2022-12-29 16:17:44+00:00,"Loneliness is a political issue. But it’s also a public health issue and policymakers should recognize this. 
https://t.co/fc9YzY58uw"
2022-12-29 15:53:34+00:00,"If Republicans want to know why they got walloped in November, here it is. 

Americans are struggling w health care costs, housing shortages and flat wages and meanwhile the Republican Party is spending all their time banning books and regulating drag shows."
2022-12-29 05:17:47+00:00,"Great win for #UConn tonight. Diarra and Alleyne locked it down on defense. Big 3 in crunch time for Jackson. So fun to be part of an electric XL Center.

Also, I caught the UConn socks during the TV timeout Sock Cannon, so I got that going for me, which is nice. https://t.co/PgbEX7mmCf"
2022-12-29 03:33:29+00:00,PACKED house here tonight for UConn-Nova. https://t.co/PYcVgsan10
2022-12-28 22:48:01+00:00,"After 12 years of effort, Billy's Law was signed into law by President Biden this week. 

Wow. 

Thanks to everyone who fought so hard to get this law passed.
https://t.co/7LXToenPhI"
2022-12-28 17:45:09+00:00,"The (more) reactionary wing of the Taliban is taking over, with deadly consequences. This latest decision - a ban on female NGO workers - amounts to a death sentence for thousands of Afghans and it must be reversed."
2022-12-26 01:49:28+00:00,Jesus was pretty well known for stranding poor children outside in freezing weather as a hilarious joke to make fun of his enemies.
2022-12-25 13:18:07+00:00,Merry Christmas to those fighting for freedom in Ukraine. Slava Ukraini!
2022-12-25 13:14:15+00:00,"Merry Christmas, Connecticut! https://t.co/YJNxTRk7yE"
2022-12-24 18:32:42+00:00,The skating rink at Bushnell Park is open until 4pm today and it’s free! With free skate rentals. FYI I didn’t fall once! C’mon down! #winterfest https://t.co/3VKRv1uWIa
2022-12-24 14:10:55+00:00,Doesn’t happen anywhere else but here. FYI.
2022-12-24 01:36:14+00:00,The new most influential House Republicans want to abandon Ukraine and have America withdraw from the world.
2022-12-23 17:23:59+00:00,Drove back from DC last night. Got home around 2:30am. Then joined ⁦@SenBlumenthal⁩ in Hartford this morning to talk about the big wins in the federal budget for Connecticut. It is expected to pass the House today. https://t.co/C26UvYcpRb
2022-12-23 02:43:32+00:00,This is really important work. The Russians have been hard at work spreading wild conspiracy stories about Bucha not being their doing.
2022-12-22 23:33:31+00:00,Good things happen at the end of a legislative session. Congrats Sara.  https://t.co/f3JMCsC7RD
2022-12-22 00:00:23+00:00,"They said Ukraine would fall in a week.

When it didn’t, they said Zelensky should flee to save his own life. 

Ukraine didn’t fall. Zelensky didn’t budge. 

What an electric atmosphere it will be tonight in the House chamber. Can’t wait."
2022-12-21 23:16:53+00:00,About to talk w @ErinBurnett @jaketapper on @CNN about tonight’s historic visit to Congress by President Zelensky.
2022-12-21 16:23:51+00:00,"Good piece by my friend @RoKhanna on the need for a new American economic nationalism.

It's the right policy for the nation. And it's the path for Democrats to win votes in unlikely places.
https://t.co/jLBHkBO6hg"
2022-12-21 15:46:40+00:00,"An amazing Christmas lights display in East Hampton - complete with a 25 foot tall Eiffel Tower - is raising money and donations for the local food bank. So awesome.
https://t.co/wSAq4qIMhB"
2022-12-20 21:30:44+00:00,Don't take it from me. Listen to athletes talk about how the current law doesn't adequately protect women's high school and college sports and why we need to pass the Fair Play for Women Act that I introduced today. https://t.co/VNfiJFpCFP
2022-12-20 15:31:53+00:00,On @cnn in a moment with @jimsciutto to talk about the omnibus spending bill.
2022-12-20 15:31:03+00:00,The NCAA and many schools have often been disastrously non-compliant with Title IX protections for women athletes. Our bill fixes this.
