Datetime,Text
2022-12-31 19:57:23+00:00,"STARTING TOMORROW:
 
- The VA will begin processing PACT Act claims
- Seniors won’t pay more than $35/month for insulin
 
2023 is looking good already!"
2022-12-29 22:38:35+00:00,"In our home, as in millions of others, Brazilian soccer legend @Pele was an iconic figure. His amazing skill and spirit put his country and his sport in the world spotlight. He inspired an entire generation of young soccer players and fans. Memory eternal. https://t.co/7xlFDetJoH"
2022-12-29 20:41:19+00:00,"It’s official, w/ @POTUS’ signing of our bill, the bust of Justice Thurgood Marshall, a MDer &amp; the 1st Black American to serve on SCOTUS, is headed to the old Court Chamber in the Capitol &amp; Justice Taney’s, who defended slavery in the shameful Dred Scott decision, will be removed https://t.co/jooTYAozlP"
2022-12-28 23:29:29+00:00,".@RepRaskin is a fighter, and I am confident he will persevere and overcome this latest challenge. 
 
Katherine and I send our love to you and Sarah and wish you a full and speedy recovery as you also continue the fight to protect our democracy.
 
https://t.co/gdYbzLlVhC"
2022-12-27 18:29:39+00:00,Moms are juggling a million tasks but they don’t have equal protections in the workplace. We're working to fix that. ICYMI: our Pregnant Workers Fairness Act &amp; PUMP Act passed in the funding bill. This is a major (&amp; overdue) win for moms!
2022-12-23 18:42:36+00:00,Freedom of the press is a cornerstone of democracy. We must defend those who report the facts. I was honored to meet w/ @RanaAyyub who received the @PressClubDC top honor for press freedom. We must do everything in our power to protect Rana &amp; the safety of journalists everywhere. https://t.co/lMlbQceJ0l
2022-12-22 21:13:28+00:00,"We want a future where no child has to fight cancer. That’s why I co-authored the bipartisan Childhood Cancer STAR Act &amp; why we fought to enact this bill to bring more funds to support research &amp; early detection. Today, it passed in the House &amp; now heads to the President's desk! https://t.co/lkFfnkSHsp"
2022-12-22 20:11:34+00:00,"From providing Americans with better access to affordable health care, child care &amp; post-high school education &amp; training opportunities to directly investing in Maryland community projects &amp; supporting Ukrainians in their fight for freedom, this bill supports critical priorities."
2022-12-22 18:36:20+00:00,"Globally, foreign companies and individuals are partnering with authoritarian governments to steal our tech – which costs us jobs, money, and risks our security. China is a top offender. Our bill, that will now be signed into law, will impose tough sanctions on these bad actors."
2022-12-22 18:36:20+00:00,🚨 My bill with @SenSasse to deter foreign corporations from stealing critical US intellectual property just passed in the House and is now headed to the President’s desk to be signed into law!
