Datetime,Text
2023-01-01 16:02:30+00:00,Happy new year 2️⃣0️⃣2️⃣3️⃣
2022-12-31 21:09:38+00:00,"Serving the ppl of Iowa is my top priority As ranking member of the Senate Judiciary Committee &amp; through my extensive oversight efforts, my work focuses on making govt more transparent +efficient + accountable to Iowans &amp; all Americans  https://t.co/WJHuNpX7Gi"
2022-12-30 19:54:56+00:00,EPA is again trying to expand the definition of Waters of the US &amp; does so by adding red tape on developers + farmers + land owners in Iowa We can protect waterways without excessive govt red tape on everyday Americans
2022-12-30 15:56:13+00:00,❤️ https://t.co/JkKusr99i1
2022-12-30 15:40:47+00:00,Drug traffickers are targeting teens &amp; young adults. Beefing up criminal penalties to help deter counterfeit pill pushers will help save lives I ask my colleagues both Democrats &amp; Republicans to support my bipartisan Stop Pills that Kill Act let’s get it passed asap in 2023
2022-12-30 15:37:41+00:00,My Stop Pills That Kill Act requires the DEA to create a comprehensive plan to tackle the rise of counterfeit pills &amp; closes a sentencing loophole for illicit pill production. It also implements new penalties for counterfeit pill production of these substances
2022-12-29 14:31:09+00:00,Fentanyl &amp; heroin seizures at our southern border are up MORE THAN 50% COMPARED TO LAST MONTH according to Customs &amp; Border Patrol Drugs flooding into our country &amp; killing our kids must b stopped!
2022-12-29 01:06:32+00:00,Barbara &amp; I are celebrating Buzz’s bday in Waterloo https://t.co/npbktArIG3
2022-12-28 22:23:04+00:00,Customs &amp; border patrol report border crossings up 1% from October +At least 16% of migrants already had an encounter w CBP this yr Border security is not a priority for Democrats &amp; the chaos at our southern border persists numbers continue 2go UP &amp; UP What do u expect???
2022-12-28 17:28:07+00:00,2day is a gr8 day for Iowa on December 28 1846 Iowa became a state Happy bday to the best state in the nation #realhistorychannel
2022-12-28 14:16:28+00:00,"In November 233,740 migrants apprehended at our southern border according to Customs &amp; Border Patrol Another stunning/record breaking number &amp; Biden admin/Democrats in Congress continue 2look the other way These numbers were released day b4 Christmas Eve— they didn’t want attn???"
2022-12-26 19:11:14+00:00,“Love and joy come to you And to you glad Christmas too And God bless you and send you a Happy New Year”
2022-12-25 22:14:42+00:00,Merry Christmas from me to u https://t.co/D9jAKpFhfa
2022-12-25 14:43:18+00:00,Faithful Beth has about 3 hours of cleaning to get ready for 25/30 grassley family to gather Christmas celebration https://t.co/xyxUw3W4dH
2022-12-24 14:22:49+00:00,I want to wish everybody a very merry Christmas 🎄 https://t.co/MTkgHlFpGO
2022-12-22 22:16:15+00:00,"I opposed the massive $1.7 trillion spending bill that’s bogged down w pork The American ppl continue to struggle w rising prices &amp; economic uncertainty largely brought on by harmful federal policies, yet they see their govt spending their hard-earned tax dollar$ w/out restraint"
2022-12-22 02:26:44+00:00,Gr8 to be present for historic Zelenskyy speech Americans &amp; Ukrainians are partners for democracy Zelenskyy made that very clear
2022-12-21 21:18:21+00:00,"Iowan Alexis Taylor, Pres Biden’s nominee 2b underscty of agriculture for trade +foreign agricultural affairs at the Dept of Agriculture, was just confirmed unanimously by Senate Alexis will bring impt focus to agriculture to Biden admin Sen Ernst &amp; I r proud 2usher her nom thru"
2022-12-21 19:24:05+00:00,I joined 24 senators on Sen Capito’s bipartisan letter to Federal Communications Commission to ensure the natl broadband maps are RELIABLE &amp; ACCURATE to inform broadband investment to rural/underserved areas This accurate map is a necessary step to get Iowa covered w broadband
2022-12-21 19:11:21+00:00,Human trafficking often occurs right under our noses That's why Sen Feinstein &amp; Ive continued working on the Trafficking Victims Protection Act to educate law enforcement/high risk youth 2 detect signs My House colleagues should pass it quickly 2 help fight this horrible crime
2022-12-20 22:58:12+00:00,"Thx Gov Reynolds 4 calling on Pres Biden 2 end Public Health Emergency Ive voted 2x end COVID-19 Natl Emergency Declaration After 2+ yrs we need 2 end exec emergency powers Its commonsense since Biden said on Sept18 ""pandemic is over"" I support some flexibilities incl telehealth"
2022-12-20 22:31:43+00:00,Senate unanimously passed my legis w Sen Ossoff 2improve justice for survivors of sex crimes Bill was inspired by bravery of USA Gymnasts/survivors of Larry Nassar’s horrific abuse It strengthens/clarifies existing statutes 2better protect children+hold predators accountable
2022-12-20 21:56:11+00:00,Good 2c Ossoff-Grassley Rural Opioid Abuse Prevention Act was signed into law 2day Law is critical step fwd in our ongoing effort 2 curb opioid crisis Will help rural communities across country deal w opioid overdoses &amp; prevent more Americans from falling victim 2 addiction
2022-12-20 14:47:49+00:00,New Year’s resolution: tweet more than Texas senators
2022-12-20 14:46:53+00:00,According to Axios/quorum report I tweeted more than any other senator excluding the senators from Texas Tweeting is 1 way I try to keep Iowans informed on impt issues of the day
2022-12-19 00:29:27+00:00,Happy happy Hanukkah
