Datetime,Text
2022-12-25 19:28:06+00:00,#MerryChristmas2022 https://t.co/R0DLgM8y6G
2022-12-24 21:27:38+00:00,#ChristmasEve shopping at Walmart https://t.co/u3GcLJSfZY
2022-12-23 14:43:19+00:00,Finished my 334th one-on-one interview of the year with Missouri reporters
2022-12-23 14:42:18+00:00,"Amidst all the legislative garbage, one good thing Congress is doing at the end of the year. TikTok is about to be BANNED across the federal government"
2022-12-22 17:15:53+00:00,"This is why Congress must BAN TikTok on all federal devices now - “ByteDance, the China-based parent company of TikTok, said on Thursday …employees had inappropriately obtained the data of U.S. TikTok users, including two reporters.” https://t.co/i0xENhPr1n"
2022-12-22 16:20:05+00:00,No. That’s the problem
2022-12-22 15:38:16+00:00,This is the truth
2022-12-22 15:07:24+00:00,Awesome
2022-12-21 18:57:54+00:00,This is true
2022-12-21 12:38:23+00:00,Preach
2022-12-21 02:32:38+00:00,Rebel against liberal culture: Quit porn. Start a real relationship. Start a family. Have your own ideas - and stand up for them. https://t.co/iyCy5pi6x7
2022-12-21 01:48:54+00:00,About to join @TuckerCarlson - tune in
2022-12-20 20:23:11+00:00,Twitter as an extension of the US military-industrial complex 👇
2022-12-20 18:58:59+00:00,https://t.co/TOHllV0Re7
2022-12-20 18:58:20+00:00,TikTok now whines that banning their app sends “a chilling message to foreign tech.” That’s exactly what I want to do - tell #China tech they can’t spy on Americans https://t.co/jbgf6hdoXh
2022-12-20 18:42:36+00:00,Agree
2022-12-20 18:39:52+00:00,https://t.co/LPUkLba7En
2022-12-20 18:35:33+00:00,Hahahah
2022-12-20 18:33:56+00:00,Great picture. How’s Feng Feng these days
2022-12-20 16:25:49+00:00,Important point
2022-12-20 15:42:14+00:00,Win for national security https://t.co/0YKjlUJ5Wq
2022-12-20 15:34:56+00:00,You can’t make this stuff up
2022-12-20 14:25:50+00:00,"After years of talk, the TikTok ban will be the first major strike against Big Tech enacted into law"
2022-12-20 14:10:18+00:00,So typical
2022-12-20 13:56:27+00:00,Wonders never cease
2022-12-20 12:07:40+00:00,TikTok will soon be BANNED on all government devices
2022-12-20 12:01:37+00:00,Great news today for Fort Leonard Wood. I’m delighted to announce the Army has committed to spending $41 million in 2023 and another $50 million in 2024 for new housing on base. That’s 180 new homes. Our service members and their families deserve it
2022-12-20 00:27:26+00:00,"Yes, amazing coincidence"
2022-12-19 18:48:08+00:00,"And even now, whistleblowers have revealed the Biden Admin is standing up a massive censorship machine across the government, targeting American citizens"
2022-12-19 18:47:17+00:00,The FBI actively interfering in multiple  elections is the biggest threat to our constitutional democracy today
2022-12-19 18:31:02+00:00,"Remember, the FBI knew for a fact the Hunter Biden story was true. They had taken possession of the laptop a full year before @nypost ran the story"
2022-12-19 18:24:04+00:00,"In 2020, FBI intervened to suppress a bombshell story about Biden’s son. That’s election interference two cycles running"
2022-12-19 18:24:03+00:00,"In 2016, the FBI used the fake Steele dossier to spy on a presidential campaign, and then falsified evidence to a federal court to keep the spying going"
2022-12-19 17:41:53+00:00,"Big Tech interfering in elections is bad enough. The FBI doing it is far, far worse"
2022-12-19 16:35:06+00:00,Here we go
2022-12-19 16:22:31+00:00,Erin stealing the show at #AmFest2022 https://t.co/hdtG80eKr2
2022-12-19 16:20:40+00:00,This is right - it’s time to strategically decouple our economy from #China &amp; start making things in America again  https://t.co/jeq07rge65
2022-12-19 00:35:14+00:00,Loved being at ⁦@TPUSA⁩ #AmFest2022 https://t.co/DvmYgmWlvX
2022-12-19 00:29:27+00:00,Yes. I did. And I’m right.
2022-12-18 22:27:01+00:00,My beautiful wife talking about the right to life with ⁦@BreitbartNews⁩ at #AmFest2022 https://t.co/bPVRGqSLjy
2022-12-16 21:56:06+00:00,"And if FBI used Twitter to censor, you bet they also used Google and Facebook"
2022-12-16 20:21:15+00:00,A principle all should be able to agree on: China is a national security threat. So why would we give the CCP a backdoor to government devices with TikTok
2022-12-16 20:17:01+00:00,Who says bipartisanship is dead
2022-12-16 18:22:29+00:00,Banning TikTok on government devices is an easy call
2022-12-16 18:11:49+00:00,How about that https://t.co/JAZS2e7NVu
2022-12-16 15:36:20+00:00,"The Senate’s defense bill ended up pretty lousy - failed to do right by our service members wrongly kicked out over the #covid vaccine &amp; was full of climate garbage - BUT one thing I’m delighted about is we got the duck boats bill passed, after 3+ years of work"
2022-12-15 21:16:14+00:00,Yes
2022-12-15 20:45:20+00:00,This is an easy call. BAN TikTok on all government devices. No federal employee needs to be sitting around making TikTok videos with government property https://t.co/um0nV6qUK7
2022-12-15 20:39:37+00:00,Last night the Senate voted to ban TikTok on all government devices. Now the House should follow https://t.co/25oopZaads
2022-12-15 20:13:25+00:00,About to join @marthamaccallum #FoxNews to talk TikTok ban - tune in!
2022-12-15 15:34:55+00:00,Here’s TikTok acknowledging there are national security concerns with its platform! - but begging Congress not to ban it on government devices https://t.co/PPpXCXHuQt
2022-12-15 15:07:02+00:00,Now is the time to act quickly and send this bill to the President’s desk
2022-12-15 01:14:07+00:00,Tonight the Senate unanimously passed my bill to BAN TikTok on all government devices
2022-12-14 22:46:51+00:00,Nice that Mayor Pete had time to vacation in Europe while forcing rail workers to go without sick days
2022-12-14 22:44:55+00:00,What has the Biden Administration done to prepare for the massive surge of illegals at the border - the one THEIR policies are causing? Nothing https://t.co/2EJ5882hIL
2022-12-14 01:30:59+00:00,"14,000 illegals - EVERY DAY. Courtesy of Joe Biden https://t.co/urHvns015h"
2022-12-13 23:44:11+00:00,Good advice. Let the new Republican majority negotiate a new budget - no last minute spending bill written by Dems &amp; stuffed with goodies
2022-12-13 23:38:13+00:00,Correct
2022-12-13 22:32:59+00:00,There is something wrong at the Pentagon. And I’m not willing to just look the other way
2022-12-13 22:28:19+00:00,"16 months after the botched Afghanistan withdrawal that left 13 servicemembers dead - including Jared Schmitz from MO - still NO accountability, NO answers. And the Democrats want to pretend nothing happened. Business as usual. I’m not going along with that https://t.co/nfvJCJAW1H"
