Datetime,Text
2022-11-10 02:41:55+00:00,"C’mon, Colorado - let’s send @ReverendWarnock back to the Senate. Giddy up!"
2022-11-10 00:05:42+00:00,"Congratulations to @GovofCO, @LtGov4CO, @pweiser, @JenaGriswold, Dave Young and Democrats across Colorado.

Voters sent a very strong message last night, and I have no doubt our state is in the best hands as we look to the future. Now let's get to work!"
2022-11-09 16:58:09+00:00,"Congratulations to my good friend and the *senior* senator from Colorado, @MichaelBennet. Can't wait to continue fighting by your side for all Colorado families. 🤠"
2022-11-08 21:24:46+00:00,"Democracy is on the ballot, Colorado. Get out there and vote! 🗳 https://t.co/TC3iK4bndu"
2022-11-04 15:12:44+00:00,"Women shouldn't have to travel across the country for reproductive care. 

This is happening now and we can't let it be our future. The stakes couldn't be higher Tuesday. https://t.co/jPBPOErBb0"
2022-10-25 18:55:54+00:00,"Come one, come all! Join us tomorrow evening with special guest @CoryBooker as we rally support for @MichaelBennet and Colorado Dems up and down the ticket. RSVP below!
https://t.co/f5H6qhCHHc"
2022-10-17 17:46:48+00:00,https://t.co/QMUFFoyLe6 https://t.co/yekkXIxJ3O
2022-10-17 16:25:02+00:00,***poured into a glass of ice*** https://t.co/lNMKUmtnjY
2022-09-23 19:26:20+00:00,"Bold, meaningful climate action is only possible if we protect and expand our Senate majority.

Be a part of the #GREENSTORM this November by supporting climate champions across the country 👉 https://t.co/owuyYzwkre"
2022-09-20 20:31:49+00:00,"Happy #NationalVoterRegistrationDay! 

There are less than 50 days until the election and we need all hands on deck.

Click below to sign up to volunteer and make sure Democrats across the country are ready to vote this November!
https://t.co/ve7S59TPzF"
2022-09-09 19:18:00+00:00,Joe O’Dea wants to “balance” women's rights with his misogyny?
2022-08-07 20:32:44+00:00,"Giddy Up! Coloradans sent us to Washington for climate action, affordable health care, and a fairer economy.

Today we delivered on all that AND voted to save people money on energy bills and prescription drugs. 🤠"
2022-07-22 15:54:59+00:00,".@MichaelBennet is one of the hardest working Senators out there, and he's fighting to make Washington work for everyone. https://t.co/OCQe7qg5Bm"
2022-06-28 15:47:58+00:00,"It's Primary Day, Colorado! Make sure to drop off your mail-in ballot or vote by 7pm. Find a location at https://t.co/U2CunQXuwh"
2022-04-19 15:08:34+00:00,Dr. Yadira Caraveo has a long record of advocacy for Colorado families. We're looking forward to fighting alongside her in Congress. #CO08
2022-03-15 00:01:40+00:00,"Congratulations to @314action on 5 years!

As a former geologist, I could not be more grateful for the work you all do to elect scientists and STEM professionals to public office. Oh, and happy #PiDay! https://t.co/tcYNngDSk7"
2022-03-04 19:20:05+00:00,We’re looking forward to it too! Excited to endorse @pettersen4co for #CO07.
2022-02-16 01:27:49+00:00,Governor Polis is a strong leader who has guided our state through some very difficult times. I know he will continue to move Colorado in the right direction.
2022-02-04 18:31:12+00:00,"The stakes in 2022 couldn’t be higher, and we need your help to defend and expand our Democratic Senate majority.

@DSCC just launched a new website that makes it easier than ever to get involved. So what are you waiting for? https://t.co/ve7S59Ceb5"
2021-12-16 16:58:19+00:00,"Three separate voting rights bills have failed in the Senate this year. That's unacceptable.

It’s time to change the filibuster to protect voting rights."
2021-05-18 00:03:46+00:00,".@MurrayCampaign is up for reelection in 2022 and needs our support to keep this Senate seat blue. Let's do everything we can to help her win!

Chip in here: https://t.co/S35qBhGlfI"
2021-05-11 00:05:43+00:00,"Through rain or shine — and sometimes through a water fountain — @MichaelBennet has been a tireless fighter for Colorado. I’m so excited to endorse him.

Please chip in to his campaign: https://t.co/HCMvLepwef https://t.co/PHwHZLsPsG"
2021-03-26 14:53:38+00:00,"If you’re looking for a way to help after Monday’s horrific shooting in Boulder, the Colorado Healing Fund is accepting donations to support victims and their families. 
https://t.co/F2AExTemtA"
2021-02-25 00:04:12+00:00,Us Western Dems have to stick together! Please support my friend @CatherineForNV. We need her in the Senate!
2021-01-08 21:46:48+00:00,".@GabbyGiffords has shown us how to recover, adapt, and keep fighting with passion and joy — ideals we can all take to heart right now.

I’m so proud to call her a friend."
2021-01-03 23:31:23+00:00,I'm so grateful to everyone on #TeamHick for making this possible. Follow my official account for updates on what I'm working on! ⬇️
