Datetime,Text
2023-01-01 15:46:04+00:00,"Happy New Year’s Day! Throughout 2022, I have been grateful for the opportunity to speak with many Kansans across our great state.
 
As we begin 2023, Robba and I hope that each one of you has a safe and memorable time celebrating with your families and loved ones. https://t.co/UO1STvZxkf"
2022-12-30 14:46:12+00:00,@JimInhofe has been one of Congress’ most influential and strongest advocates for servicemembers and their families and I am grateful for his many years of leadership on the Senate Army Caucus and in the U.S. Senate. https://t.co/0JP3em8uUx
2022-12-30 14:46:11+00:00,"Look forward to working with @SenJackReed, Army leaders and members of the Senate Army Caucus to support our nation’s soldiers and their missions. https://t.co/u99vfSVyXv"
2022-12-30 14:46:10+00:00,"Honored to be selected to serve as the next Co-Chair of the Senate Army Caucus.

Kansas has a proud history of military service and is home to a significant Army presence at @FortRiley, @FortLeavenworth and the @KansasGuard. https://t.co/WrZxBfukin"
2022-12-25 14:02:50+00:00,"Wishing you a Merry Christmas and happy holiday season!
 
Let us also remember our servicemembers, first responders and law enforcement officers who are away from their families this holiday season. We thank them for their selfless sacrifices and wish them a merry Christmas. https://t.co/PTn5MqVvFN"
2022-12-23 17:53:56+00:00,"This holiday season, Robba and I are thinking of our troops who are deployed and away from their families over Christmas.

We are grateful to each of our servicemembers for their sacrifices, and we wish them a Merry Christmas. https://t.co/iqrZ1l0QrN"
2022-12-23 15:55:05+00:00,"BIG ANNOUNCEMENT FOR FORT RILEY: $15 million FY2023 investment secured to build new barracks on base!

With the addition of these new barracks, Fort Riley will continue to be one of the best places for our servicemembers to live, work and raise a family. https://t.co/qXmSRBO98u"
2022-12-23 15:25:11+00:00,The chaotic evacuation from Kabul stranded thousands of our Afghan allies behind enemy lines. Veterans are calling for Congress to help our allies &amp; friends who assisted them in battle. We must answer that call and make the Afghan Adjustment Act a top priority next Congress. https://t.co/Xv8wqhnkkV
2022-12-22 22:03:26+00:00,"Chancellor @DougGirod on the new $43 million federal investment for @KUCancerCenter: “By strengthening the KU Cancer Center, this funding elevates the entire university and strengthens KU’s position as a leading national research institution."" https://t.co/6jkOEqV2gZ"
2022-12-22 21:44:03+00:00,"Kansans will have the opportunity to receive the best care and cancer treatment in the country. 

Kansans will also have the opportunity to change the world right here at home, and one day, God willing, find a cure for cancer."
2022-12-22 21:44:02+00:00,"BIG NEWS: @KUCancerCenter to receive $43 million to help build new cancer center.

KU Cancer Center is a national leader in the fight to treat &amp; cure cancer, and soon, with a new cancer center, KU can expand its capabilities in research &amp; development. 
https://t.co/6jkOEqV2gZ"
2022-12-22 21:21:48+00:00,Learn more about my priorities for veterans included in the FY2023 Appropriations Package &gt;&gt; https://t.co/1ar7uryOYv
2022-12-22 21:21:32+00:00,"The Senate recently passed my bills to improve veterans VA benefits and health care: the Cleland-Dole Act and STRONG Veterans Act.

These bills will close gaps in health care for rural veterans and help the VA to meet the unique health care needs of our nation's heroes. https://t.co/ASC2qTEbGw"
2022-12-22 19:23:26+00:00,"Our Kansas law enforcement officers need the best tools and training to be able to do their jobs and keep their communities safe.

I am proud to stand with our men and women in blue and to have secured $13 million in critical FY2023 resources for our Kansas law enforcement. https://t.co/MPuiV3S3B4"
2022-12-22 15:17:00+00:00,"As dangerously cold weather approaches Kansas, please take precautions and stay safe!

Learn more on how to prepare for the incoming winter weather &gt;&gt;"
2022-12-22 02:38:22+00:00,"The U.S. has been essential in helping Ukraine fight back against Russian aggression and supporting their freedom and democracy.

I appreciate that Zelensky acknowledged the American people’s support for Ukraine and graciously thanked each American."
2022-12-22 02:38:21+00:00,"Honored to attend President Zelensky’s address to Congress – and to the American people. Under Zelensky’s leadership, Ukraine has fought back against Putin's unjust war and today Ukraine remains a sovereign nation."
2022-12-20 21:02:27+00:00,"Happy birthday to @SpaceForceDoD! Thank you for three years of developing our world-class capabilities to maintain dominance in space.

As co-chair of the Senate Space Force Caucus, I look forward to continuing to support the advancement of this mission for many years to come."
2022-12-18 23:02:38+00:00,"Wishing a happy, safe and meaningful Hanukkah to all Kansans who are celebrating tonight! https://t.co/69fUhwO9be"
2022-12-17 18:01:39+00:00,Tip off! #RockChalk https://t.co/fEh38aoBbz
2022-12-17 16:50:28+00:00,"Today is Wreaths Across America Day, when we remember and honor our veterans by laying wreaths on the graves of those who paid the ultimate price in service to their country. To all participating today, thank you for taking the time to honor those who gave their lives in service. https://t.co/NrIFNoMJvy"
2022-12-16 00:41:56+00:00,"The strength and preparedness of our military is a direct deterrent to our adversaries.

The FY23 NDAA:
✅Gives our troops their largest pay raise in 20 years
✅Resupplies our depleted weapons stock
✅Makes certain our troops have the equipment to complete their missions https://t.co/WuAoEdEiG6"
2022-12-13 20:06:16+00:00,"Happy birthday to the @NationalGuard! Today, I want to say a special thanks to the men and women of the @KansasGuard for protecting, defending and serving our great state and always embodying the Guard’s motto: Always Ready, Always There. https://t.co/o1tZIuK9hG"
2022-12-12 23:18:35+00:00,"Congratulations @NASA on a successful return of @NASA_Orion marking the final leg of the #Artemis I mission! Over the past 25 days, the spacecraft circled the Moon &amp; traveled 1.4 million miles – a significant milestone in a new era of space exploration."
2022-12-11 01:15:02+00:00,Congratulations to KU Basketball on a great win over Mizzou tonight! Rock Chalk!
2022-12-10 19:38:26+00:00,Today is America’s Game! One of the greatest sports traditions in our country is the battle between two of our most prestigious military academies. I have such admiration for those who serve our country and for each of the players on the field today. #GoArmy #GoNavy
2022-12-09 21:55:31+00:00,"The U.S. is the gold standard when it comes to disability rights. @SenatorMenendez &amp; I hosted a roundtable w/ disability advocates to discuss our bill, the International Children w/ Disabilities Protection Act, to fight for the rights of children w/ disabilities around the world. https://t.co/zq4HTmWbTr"
2022-12-09 20:46:26+00:00,"For its role in manufacturing planes that helped the Allied powers defeat Nazi Germany and Imperial Japan, Wichita has been named an American World War II Heritage City – the only city in Kansas and one of only 19 nationwide to be awarded this honor. https://t.co/BThEnc6wyp"
2022-12-09 16:31:18+00:00,"It was a great to meet @AstroMarshburn and Kayla Barron, astronauts from @NASA's SpaceX Crew-3. Their mission lasted 177 days, traveling 75,060,792 miles and completing 2,832 orbits around Earth! https://t.co/tzr2RTUq6r"
2022-12-07 15:07:22+00:00,"On Pearl Harbor Remembrance Day, we pause to remember the men and women who lost their lives in the devastating attacks on Pearl Harbor on December 7, 1941. May we honor those who perished and never forget the sacrifices of those who have fought to defend our country. https://t.co/NA4u7xavG8"
2022-12-07 14:37:55+00:00,Congratulations to Joe Newland on his election to Kansas Farm Bureau President! I look forward to working with him to serve our Kansas farmers and ranchers.
2022-12-06 20:53:29+00:00,It was great to visit @NASAJPL to see firsthand the work being done by @NASA to advance space exploration. I was joined by Dr. John Tomblin to learn about new opportunities for JPL and @NIARWSU to partner together. Thank you to @LaurieofMars and her team for an informative tour! https://t.co/DvOccDAUdD
2022-12-06 00:35:09+00:00,"BIG ANNOUNCEMENT FOR WICHITA: U.S. Army awards Bell @Textron a massive contract for its helicopter of the future. 

This decision will directly benefit the workforce in Wichita and is a testament to the vital role Kansas plays in our national security."
