Datetime,Text
2022-12-25 14:00:00+00:00,Merry Christmas from the Inhofe family! May we always remember the reason for the season. https://t.co/uZQK08g3wg
2022-12-20 16:00:01+00:00,"Happy 3rd birthday to the @SpaceForceDoD! The past three years have proven how critical the Space Force is to our national security. From manning US missile warning systems and GPS to ensuring deterrence in space, Americans are safer while Guardians are on watch. #HBDSpaceForce!"
2022-12-19 23:10:24+00:00,@OKGuard @USSOCOM DOD’s decision recognizes the talent and capabilities of the @OKGuard and Oklahoma’s key role in supporting our national security.
2022-12-19 23:09:48+00:00,"I’m glad DOD announced the @OKGuard will host a larger operational and training presence for @USSOCOM at Will Rogers Air National Guard Base. DOD tried to divest @OKGuard’s aircraft in '21, but I led the effort to block this misguided plan in the FY21NDAA.
https://t.co/K1RzUhG54D"
2022-12-17 15:00:02+00:00,"This holiday season there will be many homes across America with an empty seat – a seat typically filled by a service member who is abroad, or one who has made the ultimate sacrifice. On this @WreathsAcross America day, let's honor the sacrifice service members and families make. https://t.co/GjeBKKXMR9"
2022-12-16 01:10:09+00:00,"After most of the year spent deliberating, I’m proud to say the Senate has passed the bipartisan FY23 NDAA and put our service members first. We secured many wins for not only our military, but for Oklahomans as well. I look forward to @POTUS signing this into law."
2022-12-15 14:30:00+00:00,"Today, we look back on the 231 years of protection the Bill of Rights has guaranteed to all Americans. During my time in the Senate, I have always stood for the rights and freedoms that our Constitution protects and defends. https://t.co/noi0tkzRxT"
2022-12-13 19:30:00+00:00,"Since December 1636, the National Guard has remained ""Always Ready, Always There."" The dedication of the men and women who make up the National Guard is critical to the states they serve and to the nation they defend. Happy 386th birthday to the oldest component of our military! https://t.co/vBhBgjZT9Q"
2022-12-07 17:30:00+00:00,"I'm proud to have selected @okstate as my official repository!
I'm confident in OSU’s ability to preserve these papers, and I look forward to seeing how future students will use them in the course of their studies.
https://t.co/MtSGcMH0ka"
2022-12-07 15:53:22+00:00,"One thing remains clear: we are in the most threatened position of my lifetime. Conservatives in OK and across the U.S. can be proud of what we secured in this year’s bill to protect our country and give our troops what they need to complete their mission.
https://t.co/qTUtHqiL8H"
2022-12-07 15:52:58+00:00,"As I near the close of my time here in Congress, ensuring our troops have what they need is my number one priority and I am glad we are one step closer to final passage of the FY23 National Defense Authorization Act.
https://t.co/Fibkt5q0uj"
2022-12-07 14:00:04+00:00,"Today, we remember the 2,403 brave United States servicemembers and civilians who made the ultimate sacrifice at Pearl Harbor on Dec. 7, 1941.
Please join me today and take a moment to honor these men and women on this ""day which will live in infamy."" https://t.co/OauJQzHLKk"
2022-12-05 21:23:02+00:00,"Read the full letter I sent today alongside @RepMikeRogersAL, @SenatorFischer and @RepDLamborn ⬇️ https://t.co/YbeoZHTb8C"
2022-12-05 21:23:01+00:00,I’ve said it many times—we’ve only seen the tip of the iceberg when it comes to China’s growing military might. The admin must be open and honest with the American people about the threat Beijing poses to global order and our way of life.
2022-12-02 15:58:51+00:00,"I’m excited to re-intro a bill that would ensure Route 66 receives the recognition it deserves as a National Historic Trail, while also protecting our vital energy infrastructure.
https://t.co/XJ2WXjPyop"
2022-12-02 15:58:38+00:00,"Oklahoma is home to the longest drivable stretch of 'America’s Main Street,' connecting small businesses and rural communities with visitors."
2022-12-01 22:30:38+00:00,"While I regret that Congress was ultimately involved in this dispute, I believe it was our only option to keep our country from coming to a screeching halt with Christmas right around the corner."
2022-12-01 22:30:22+00:00,"Today, I joined an overwhelming majority of my colleagues in voting in favor of a resolution that will prevent a rail strike from taking place – a scenario which would have been catastrophic to our nation’s economy."
2022-12-01 15:00:03+00:00,"Since its founding in 1941, the Civil Air Patrol has remained committed to serving Americans. Whether searching for the lost or providing comfort in times of disaster, the Civil Air Patrol has proven dedicated to keeping us safe. 
Happy 81st birthday to the @CivilAirPatrol!"
2022-11-28 21:00:01+00:00,"Democrats have changed the definition of a recession in order to avoid one. But the facts remain: our economy is declining, and Oklahomans have seen inflation outpace wage growth for 18 months, all thanks to out-of-control spending and failed policies from the Biden admin."
2022-11-24 14:30:00+00:00,"As Lincoln said: “solemnly, reverently, and gratefully acknowledged, as with one heart and one voice, by the whole American people”, give “thanksgiving and praise to our beneficent Father who dwelleth in the heavens.”  
May you and your family have a Happy Thanksgiving. https://t.co/sqxmnMuRT8"
