Datetime,Text
2023-01-01 12:35:00+00:00,May your 2023 be blessed and filled with much success and joy! #HappyNewYear https://t.co/g4k0dIWdpd
2022-12-31 18:45:30+00:00,"We're closing the book on 2022 and looking forward to 2023. Thanks to all those helping ensure we can have a safe and fun time welcoming in the new year.

#NewYearsEve https://t.co/hOKdHgZC9X"
2022-12-30 16:15:19+00:00,"Constituent services might not be glamorous, but they make a huge difference in the lives of Arkansans. And they’re an important part of representing The Natural State.

Here’s a snapshot of my office’s casework wins and efforts in 2022 ⬇️ https://t.co/3hDWXLEO3y"
2022-12-29 02:53:22+00:00,#WPS 🐗
2022-12-25 13:05:30+00:00,"""Today in the town of David a Savior has been born to you; he is the Messiah, the Lord. This will be a sign to you: You will find a baby wrapped in cloths and lying in a manger.” –Luke 2:11-12

#MerryChristmas to you and yours! https://t.co/jG1tLlJ6Ll"
2022-12-24 14:35:00+00:00,"With Christmas Day drawing near, enjoy all the things that make this holiday special. May it be merry and bright. #ChristmasEve https://t.co/hCwRh5yC0F"
2022-12-23 16:15:00+00:00,"This holiday season, don't forget there are many Americans serving our country far from their homes and loved ones. Join me in thanking and remembering these patriots. We're eager to welcome them back soon. https://t.co/oib4S7ucP0"
2022-12-22 17:04:36+00:00,"Today the House passed and sent to the president's desk my bill to designate the Butterfield Trail as a National Historic Trail. I thank all those, including my colleagues @RepWesterman and @SenTomCotton, who have supported this long-overdue recognition.

https://t.co/aA1XRQeKxI"
2022-12-21 23:48:35+00:00,"Detective Newell, Sgt. Scoby and Officer Parks selflessly volunteered to protect and serve while accepting that the dangers of the job also put them in harm’s way. It takes a special person to take on that responsibility, and that fact must never be lost on us."
2022-12-21 19:13:38+00:00,"The chaotic crisis on our southern border has been growing worse by the day during the Biden administration. Its total lack of urgency or strategy is inexcusably dangerous.

Instead of fighting to end Title 42, it must double down on securing the border and enforcing the law."
2022-12-20 16:19:54+00:00,Happy Birthday @SpaceForceDoD – we appreciate your service and commitment to defending space and enhancing our national security. #SemperSupra
2022-12-19 21:25:00+00:00,"The Water Resources Development Act (WRDA) strengthens Arkansas’s waterways and ensures we have safe and reliable sources of drinking water while promoting transportation, job creation &amp; commerce. I'm proud several of my provisions were included.

More ⬇️
https://t.co/QWlAOphjF9"
2022-12-19 16:43:31+00:00,"Constituent services is one of the most important parts of representing the people of Arkansas and it's something I take to heart. READ my latest column on my team's efforts to help Arkansans get answers and resolution with federal agencies this past year.
https://t.co/JoacvpB4hR"
2022-12-18 19:30:00+00:00,"Wishing a joyous Festival of Lights to all those celebrating in Arkansas, across our country and around the world. #HappyHanukkah https://t.co/MYcQHtfXYe"
2022-12-17 19:11:21+00:00,"Cathy and I are saddened by the tragic death of Benton County Sheriff’s Office Detective Paul Daniel Newell today. His final act was in honor of others, escorting the @WreathsAcross procession in NWA. We’re praying for his family, friends and colleagues.

https://t.co/T9jvIFxmSA"
