Datetime,Text
2022-12-31 16:20:54+00:00,"Saddened to hear of the passing of Pope Emeritus Benedict XVI, a brilliant scholar and leading light for Catholics the world over. May he rest in peace."
2022-12-30 20:03:21+00:00,Appalling and illegitimate verdict from an illegitimate sham trial. Burma’s long-suffering people deserve a return to democracy and an end to the Tatmadaw’s brutal tyranny. The Biden Administration and Burma’s neighbors need to keep dialing up the pressure on the junta.
2022-12-25 11:00:30+00:00,"I hope this holiday season brings everyone a chance for prayer and family time. Today, I’m thinking especially of the brave servicemembers and Kentuckians in uniform who are giving up time with their families to keep the rest of us safe. Merry Christmas. https://t.co/09akJ1gBFZ"
2022-12-24 15:26:29+00:00,"Continuing our support for Ukraine is morally right, but it is not only that. It is also a direct investment in cold, hard, American interests. https://t.co/zlWoAVz3Kk"
2022-12-15 15:54:57+00:00,"The Biden Administration’s COVID-19 vaccine mandate for our military has hurt readiness and retention. Big win for Senator @MarshaBlackburn, Senate Republicans, and most importantly for the men and women who bravely serve our nation in uniform."
2022-12-07 18:36:23+00:00,"To avoid another December 7th or September 11th, Congress must keep focus on defending America, projecting power, and modernizing our military. The strong bipartisan NDAA named for @JimInhofe is a crucial first step. But our work's not finished. https://t.co/ET8Gdtj3JW"
2022-11-30 18:09:15+00:00,"Homicides and violent crime are exploding. And what are Washington Democrats doing, just this week? Talking about new proposals to defund police departments."
2022-11-28 22:48:25+00:00,"Since President Biden took office, prices have soared by 13.9%. Democrats’ reckless spending has pushed inflation to its highest level since the fallout from the Carter Administration."
2022-11-24 12:00:02+00:00,"Today, families and friends gather to give thanks for the blessings we share as Americans. I'm especially grateful to the men and women in uniform serving away from home to protect and ensure these blessings. I wish you and your family a very Happy Thanksgiving. https://t.co/EAnXHDCfzk"
2022-11-17 16:24:13+00:00,"I’m proud of Senators Thune, Barrasso, Ernst, Capito, and Daines, who were elected to take on critical responsibilities in our Republican Conference. It is the honor of a lifetime to serve alongside my distinguished colleagues as Senate Republican Leader. https://t.co/zZQzQFlhRB"
2022-11-16 20:44:54+00:00,I'm honored that my Republican colleagues have reelected me to lead our outstanding Conference. Our united team is full of energy and ideas. We're going to fight Democrats’ recklessness &amp; promote our commonsense conservative vision to improve families' lives &amp; strengthen America.
