Datetime,Text
2023-01-02 22:42:41+00:00,To stay quiet about Russia’s criminal behavior will not age well.
2023-01-02 22:42:40+00:00,"I hope Mr. Cohen understands that when he speaks to Russia’s Lavrov, he’s speaking to a representative of a war criminal regime that commits war crimes on an industrial scale every day. 

https://t.co/4DWp93VPFQ"
2023-01-02 22:42:40+00:00,"I’m glad to see Mr. Cohen, the new Israeli foreign minister, is prioritizing the US-Israel strategic relationship and supports continued humanitarian aid to #Ukraine. 

However, the idea that Israel should speak less about Russia’s criminal invasion of Ukraine is a bit unnerving."
2022-12-29 17:30:24+00:00,"On a personal level, Joe was one of my earliest supporters, and he and his family have become dear friends. My thoughts and prayers are with Joe’s wonderful family at this difficult time. 

Rest in Peace my good friend."
2022-12-29 17:30:04+00:00,"His time as South Carolina’s Secretary of Commerce was one of unprecedented growth for our state.  

He was also a strong and challenging voice on the Columbia City Council - always looking out for the taxpayer."
2022-12-29 17:29:02+00:00,"I was shocked and saddened to hear of the passing of my good friend, Joe Taylor. 

Joe was a force in South Carolina business and politics, and a friend to so many. 

https://t.co/w9Duch7PWv"
2022-12-22 18:53:18+00:00,"@SenWhitehouse I expect over time billions of dollars in seized assets will be sent to help Ukraine in their fight for freedom. 

Our amendment also takes pressure of the American taxpayer."
2022-12-22 18:53:01+00:00,"@SenWhitehouse This change in U.S. law allows the proceeds of seized assets to support Ukrainian war efforts, which is a win-win for the people of Ukraine and the American taxpayer."
2022-12-22 18:52:01+00:00,"I’m very pleased the Senate unanimously adopted my amendment with @SenWhitehouse to allow assets seized from sanctioned Russian oligarchs and entities supporting Putin to be used to the benefit of the Ukrainian people.

https://t.co/1MGH2VjZF2"
2022-12-22 02:23:43+00:00,"@SenMikeLee If this bill fails because Senator Lee was not allowed a vote on extending Title 42, it will be one of the lowest points in the history of the United States Senate."
2022-12-22 02:23:22+00:00,"@SenMikeLee However, if the omnibus – which dramatically increases military spending and funds the government – fails because Democrats care more about letting Title 42 lapse than funding the federal government, so be it."
2022-12-22 02:22:51+00:00,@SenMikeLee I support the omnibus bill – even though the process is broken and it is bigger than it should be – because it meets our national security needs.
2022-12-22 02:22:10+00:00,"@SenMikeLee Republicans are willing to work with Democrats, but not at all costs."
2022-12-22 02:21:22+00:00,"It is outrageous that Senate Democrats are refusing to allow a vote on @SenMikeLee amendment to extend Title 42 expulsion authority. 

The Lee amendment is relevant to the underlying legislation and represents good policy for the United States.

#Omnibus"
