Datetime,Text
2023-01-02 22:41:35+00:00,"The shortage of affordable housing is nothing short of a crisis. In 2023, I plan to work to address housing supply issues and better meet the needs of folks across VA."
2023-01-01 23:32:52+00:00,"BIG NEWS: As of TODAY, those on Medicare will have their insulin capped at $35/month."
2023-01-01 00:14:39+00:00,"As we prepare to ring in the new year, I’m reminded of Zelenskyy’s address to Congress and his wish of a “happy, victorious new year.” We will and we must continue standing with Ukraine in the year ahead."
2022-12-31 00:52:26+00:00,"When we passed the omnibus, we passed historic protections for pregnant and pumping workers, too. I was proud to support the bipartisan Pregnant Workers Fairness Act and the PUMP Act, which will extend basic protections to millions."
2022-12-29 16:16:16+00:00,"Proud of the ways our bipartisan infrastructure law and the American Rescue Plan continue to deploy funding to impactful projects across VA. I’ll never stop fighting to grow our transit systems, improve airports, and make roads safer."
2022-12-27 16:07:10+00:00,A few favorite photos from my year of meeting Virginians across the Commonwealth! https://t.co/uGXw0mN9ok
2022-12-26 23:55:16+00:00,A few favorite photos from my year of meeting Virginians across the Commonwealth! https://t.co/Br49MOr77z
2022-12-25 16:26:35+00:00,Merry Christmas to all celebrating across Virginia!
2022-12-24 21:43:33+00:00,"In this year’s defense bill, we made historic reforms to the military justice system’s handling of sexual assault, removing commanders from all prosecutorial and judicial functions for a range of offenses. More is needed, let’s keep going."
2022-12-23 23:33:37+00:00,"No region in Virginia will be left behind. So proud to get a spending bill done that prioritizes unique needs and projects in every corner of the Commonwealth.
https://t.co/W3F4m7NCGL"
2022-12-22 22:32:00+00:00,"COVID taught us some important things: like the fact that telehealth is an important resource for a lot of people. When we passed the omnibus, we extended COVID-era flexibilities through 2024 so more Americans can utilize telehealth services."
2022-12-22 21:10:17+00:00,Have to give a big shoutout to my casework team: they returned $5.9 million to Virginians this year thanks to direct assistance with federal agencies.
2022-12-22 19:33:23+00:00,"Just voted to pass the spending bill for the year ahead. We’re averting a shutdown, funding our seismic year of legislation, and securing hundreds of millions of dollars for VA priorities. I’m proud to have worked hard to get it done."
2022-12-22 18:10:45+00:00,Virginia – your costs are falling in large part due to the extension of subsidies we got done in the Inflation Reduction Act.
2022-12-22 16:01:32+00:00,"We got a whole lot done this year – but we still haven’t taken action to protect basic voting rights. This is still a priority for me, and I’m going to keep fighting in the year ahead."
2022-12-22 01:06:00+00:00,"I am proud that the United States has led the world in support of Ukraine’s efforts to defend itself, and tonight’s address from President Zelenskyy underscored the importance of continuing that work. We will continue to stand with the Ukrainian people."
2022-12-21 22:21:00+00:00,"We fought hard for a lot of specific Virginia projects in the omnibus. Passing it means preventing homelessness in NoVa, cleaning waste water in the Valley, widening highways in SWVA, promoting resilience on the coast, and providing affordable housing in central VA."
2022-12-21 20:20:00+00:00,"Working on some year-end stuff and glad to reflect on one of the most productive Congresses ever. Boosting American manufacturing, expanding broadband, passing gun violence legislation, protecting marriage, building bridges – we got it all (and so much more) done."
2022-12-21 18:20:00+00:00,"I was proud to write and pass the Ashanti Alert Act to help find missing adults faster.
 
To make sure that this law lives up to its full potential of saving young lives, I’m asking Gov. Youngkin for more data and answers about the state’s implementation practices."
2022-12-21 16:14:00+00:00,"We need to build an economy that works for working parents.
 
Working to get the omnibus done and secure $8 billion in investments to expand affordable child care."
2022-12-20 20:27:00+00:00,"I was on the floor of the Senate on Jan. 6 – I’ll never forget that day, and I’ll never stop fighting for democracy.
 
It’s time to pass our bipartisan Electoral Count Act and protect the peaceful transfer of power."
2022-12-20 18:42:56+00:00,The federal funding we pushed for – made possible by the bipartisan infrastructure law – is to thank for this announcement. Let’s get this done for Virginians ASAP. https://t.co/K83BmEd0KB
2022-12-20 18:00:01+00:00,"Gun violence is the leading cause of death for American kids. When will we say enough is enough?
 
Our Bipartisan Safer Communities Act was an excellent start, but we need to keep passing more legislation to address this crisis."
2022-12-20 15:50:00+00:00,"Glad to see the FTC crack down on Fortnite for deploying manipulative design tricks, or “dark patterns,” to dupe millions of players into making unintentional purchases. Next, let's pass my DETOUR Act so companies can’t use dark patterns to snag your private data."
2022-12-20 03:46:10+00:00,Thrilled to see my longtime friend Kevin Rudd answer the call to serve. His years of leadership &amp; expertise on Asia policy will be crucial in reinforcing the partnership between our two nations — particularly during this time of increased strategic competition with China.
2022-12-19 23:35:00+00:00,"Week after week, the infrastructure law is paying dividends. It’s expanding highways like I-64, upgrading airports, fixing crumbling bridges, and building new bike paths. It’s revitalizing our communities and making every travel day better."
2022-12-19 22:20:12+00:00,The attack on the Capitol was a crime with lasting implications for democracy. The Jan. 6 Cmte has put in countless hours to get to the bottom of what happened &amp; I trust that any decisions on criminal referrals are rooted in the facts uncovered by this thorough investigation.
2022-12-19 20:33:00+00:00,"Getting an omnibus done means full funding for all the critical bills we passed this year – I’m ready to get it to the finish line and deliver on infrastructure, veterans benefits, manufacturing funding, and so much more for Virginia!"
2022-12-19 15:56:29+00:00,A fun birthday gift from my team last week – a semiconductor necklace in the shape of Virginia. The CHIPS Act is the real gift that keeps on giving though – it’ll be boosting American manufacturing and protecting our national security and supply chains for decades. https://t.co/xKYPpdJRuL
2022-12-19 14:18:16+00:00,Happy Hanukkah to all celebrating across Virginia! Wishing you a holiday filled with light and loved ones.
2022-12-18 23:11:00+00:00,"A good week for mental health funding – we got investments for our servicemembers in the NDAA, and Friday we announced another $1 mil to expand the 988 crisis hotline in Virginia."
2022-12-17 16:08:00+00:00,"There’s a gap on I-64 between Richmond and Hampton Roads where the road narrows to two lanes in each direction. That’s unacceptable for such a critical thoroughfare, so I secured $25 million to address it and I’ll keep pushing until the project is fully funded."
2022-12-16 22:58:43+00:00,I’m glad to see that Virginia has banned TikTok on government devices. It poses a serious national security threat due to its data collection practices and its ability to reach and manipulate Americans.
2022-12-16 22:28:00+00:00,"For years, I’ve worked on addressing food insecurity among our servicemembers and military families. I’m proud that our annual defense bill continues to work towards solving it. Military communities deserve every resource we’ve got."
2022-12-16 18:34:00+00:00,I’m very disappointed to see journalists suspended from Twitter without warning or a clear explanation. Punishing professionals for doing their jobs while reinstating accounts that promoted hate and violence is a dangerous precedent for a platform that influences millions.
2022-12-16 18:12:00+00:00,Let’s get an omnibus done ASAP. https://t.co/emHmAp3wya
2022-12-16 16:15:00+00:00,What a coincidence – I too am releasing digital trading cards! Here are some of things we’ve gotten done for Americans this year. https://t.co/qZ4BCExvT4
2022-12-16 15:12:05+00:00,I applaud Japan’s new National Security Strategy as a key step in elevating Japan’s commitment to our alliance and the defense of democracy globally. PM Kishida is taking bold and timely action to promote national security in the Pacific.
2022-12-16 02:51:29+00:00,Voted for the week-long CR because government shutdowns are pointless and painful. Let’s get the full omnibus done ASAP so we can fully fund all of the seismic investments we’ve made this year in one of our most historic stretches of legislative accomplishments ever.
2022-12-16 00:48:03+00:00,"NEW: To close out a seismic year of progress for military communities (including one of the largest-ever expansions of benefits for vets)… we got another one done!
 
Proud to vote to pass a bill to increase pay, housing support, and health resources for our servicemembers!"
2022-12-15 22:04:43+00:00,Grateful to spend my birthday eating a quick slice of cake with my team and then getting back to work on laws that will really help Virginians. Let’s get our defense bill and an omnibus spending bill passed! https://t.co/xtJmvwFaH5
2022-12-15 19:53:00+00:00,Virginia has one of the fastest-growing military and veteran populations in the country. We need to deliver for them and get our annual defense bill done ASAP.
2022-12-15 18:00:02+00:00,"I stand firmly with the Junior Senator and his leadership on this issue!
https://t.co/MsL1SDvTtS"
2022-12-15 16:04:00+00:00,"Even a decade ago, passing protections for gay marriage at a federal level would have been unthinkable. This week, it’s law. Love wins!"
2022-12-14 23:40:00+00:00,"Folks, starting Jan. 1, seniors will have access to FREE shingles (+ other!) vaccines. Insulin for those on Medicare will be capped at $35/month. And premiums won’t spike due to the end of the federal subsidies. These are real savings for Virginians, brought to you by the IRA."
2022-12-14 22:00:01+00:00,"It’s been a good year for:
 
USPS reform
Job creation
Protecting gay &amp; interracial marriage
Saving 4,000 Virginia beagles
Lowering health care costs
Expanding benefits for vets
 
More to do. Ready to get our defense bill done."
2022-12-14 20:00:01+00:00,Passing the Electoral Count Act means protecting democracy and the transition of power. It is past time to get it done.
2022-12-14 18:00:01+00:00,Not having a full omnibus spending bill jeopardizes the implementation of so many of the critical bills we passed this year. A CR just won’t cut it – we’ve got to pass a full omnibus soon.
2022-12-14 16:00:00+00:00,"Ten years ago, a shooting at Sandy Hook Elementary School took 26 lives – an unconscionable tragedy. Our Bipartisan Safer Communities Act was a good start, but we must pass further gun safety legislation."
2022-12-14 13:45:29+00:00,"Thrilled to see my bill to designate September as African Diaspora Heritage Month pass the Senate! The African diaspora adds so much to our nation’s culture, government, history, and business communities. Let’s commemorate their tremendous contributions!"
2022-12-13 23:08:00+00:00,We have to stop the silly CRs – Americans and especially federal workers need assurance that they won’t have to endure the massive inconvenience of a government shutdown. I’m pushing to get a full spending bill done ASAP and to reform our ridiculous method of funding.
