Datetime,Text
2023-01-02 16:15:16+00:00,Proud to join NM’s 32nd AG for his swearing in. https://t.co/LaXt0VAnzH
2023-01-01 15:05:17+00:00,This is a no-brainer. Water is our most valuable resource and we need to steward our water supplies with the greatest of care. The Trump-era rule eliminated protections from vast swaths of New Mexico like the Mimbres Basin. We can do better and we will. https://t.co/ophnZYo6zi
2022-12-29 19:40:19+00:00,"The University of New Mexico’s Project ECHO has shown true leadership in providing care for rural and underserved communities and has served as a bridge to connect resources and training for medical professionals.
https://t.co/1khHioUSUI"
2022-12-29 19:40:18+00:00,"Families across New Mexico, including in our rural and tribal communities, deserve access to high-quality health care no matter where they live."
2022-12-26 18:16:10+00:00,Happy Kwanzaa! https://t.co/PUAJsLyQXF
2022-12-25 13:25:23+00:00,Merry Christmas! https://t.co/3L11PbJhoh
2022-12-24 16:14:31+00:00,"Congratulation to our award recipients at Navajo Tech and New Mexico Tech!
https://t.co/PSjkctRIGk"
2022-12-22 22:25:49+00:00,What a major win for To’Hajiilee!
2022-12-22 19:26:48+00:00,Proud to deliver for New Mexico! https://t.co/hcaUYwDMq5
2022-12-22 17:24:55+00:00,Many people are unaware of the high level of dangerous indoor air pollutants emitted by gas stoves. That’s why I joined @SenBooker and a number of our colleagues in urging the Consumer Product Safety Commission to help protect Americans from these hazards. https://t.co/jxBw5QC4pv
2022-12-22 16:17:30+00:00,It was an incredible opportunity to headline the first White House Electrification Summit! https://t.co/bUc4MCgoEi
2022-12-21 23:02:55+00:00,"Senator Chávez, the first American-born Hispanic Senator, worked to further civil rights, education, conservation, and economic development in New Mexico and across the nation."
2022-12-21 23:02:55+00:00,"I am proud that my legislation to rename the U.S. Post Office located at 400 North Main Street in Belen, New Mexico, is reaching the finish line to commemorate Senator Chávez’s service."
2022-12-21 23:02:54+00:00,"During his decades-long career in public service, former U.S. Senator Dennis Chávez worked tirelessly to advance the interests of every New Mexican. His legacy continues to impact and inspire my work in the Senate today."
2022-12-20 20:47:59+00:00,"Electrifying the transportation sector is among our greatest opportunities to tackle the climate crisis, clean up the air in our neighborhoods, and provide a responsible return on taxpayer dollars."
2022-12-20 20:47:59+00:00,"Pleased that the U.S. Postal Service has listened to our calls to electrify its mail delivery fleet.
https://t.co/I5zV1rol2H"
2022-12-20 12:38:54+00:00,"Despite the continued opposition of Congresswoman Herrell, we will continue to do everything in our power to get this legislation over the finish line and follow the will of the people of New Mexico. The future of our state will be brighter because of it."
2022-12-20 12:38:32+00:00,"We successfully secured language to unlock major investments in early childhood and K-12 education in New Mexico in the bipartisan Omnibus Appropriations Agreement for FY 2023, which was just released."
2022-12-19 21:01:57+00:00,"Need assistance?
Come to my Luna County Mobile Office Hours at the Deming Public Library TOMORROW from 10-11 AM MT for my staff to assist you! https://t.co/clyLkkDJO3"
2022-12-19 17:36:04+00:00,Happy Hanukkah! https://t.co/3HWBM7ZjJP
2022-12-18 21:28:34+00:00,"As proud parents and products of public schools, @Rep_Stansbury, @RepTeresaLF and I are urging Congresswoman Herrell to stop delaying passage of legislation concurring with Constitutional Amendment One. The future of our state depends on it. https://t.co/uYTyHxx5pY"
