Datetime,Text
2023-01-02 23:09:48+00:00,"For seniors on Medicare, the $35/month cap on insulin costs we included in the Inflation Reduction Act is now in effect! This is going to be life-changing for so many people in Washington state who need insulin to survive."
2023-01-02 14:49:50+00:00,"Good morning. It’s 2023 and Republicans are still working to stop women from having control over their own bodies.

The year may have changed, but my commitment to protecting this fundamental right for women in all 50 states hasn’t. I’ll keep fighting."
2023-01-01 15:03:30+00:00,"Happy #NewYears, Washington state! I am honored to continue serving the great people of our state in the Senate and look forward to all the things we can accomplish together this year."
2022-12-31 18:30:56+00:00,"We’re wrapping up one of the most productive years in recent Senate history. For the people of Washington state, the victories are clear. https://t.co/b50eKNGZqO"
2022-12-30 22:45:35+00:00,"✅help families afford child care
✅protect our democracy
✅raise our servicemembers’ pay
✅address sexual assault in the military
✅lower energy costs
✅fund local projects in WA state

...and so much more. It’s been a historic, productive year—and I’m not done fighting yet."
2022-12-30 22:45:35+00:00,"✅care for our veterans
✅curb gun violence
✅reduce the deficit
✅manufacture semiconductor chips in the U.S.
✅save the Postal Service
✅recover WA state’s salmon populations
✅protect pregnant &amp; nursing workers
✅fight the mental health &amp; substance use disorder crises"
2022-12-30 22:45:34+00:00,"In 2022, Senate Democrats passed legislation to...

✅tackle the climate crisis
✅lower health care costs
✅cap insulin &amp; prescription drug costs for seniors
✅create good-paying manufacturing jobs
✅strengthen our public health &amp; preparedness systems
✅protect marriage equality"
2022-12-30 17:01:18+00:00,"WATCH: I’m taking a look back at what we accomplished in 2022, the stories I heard from people in Washington state, and more. It’s been a productive year, and I’m ready to keep fighting for the people of our state in the new year and new Congress. https://t.co/dTvSZCbcl7"
2022-12-30 01:48:28+00:00,"With @POTUS's signature, our end-of-year government spending bill is now law! This is a huge win for Washington state!"
2022-12-30 01:01:30+00:00,I'm honored to have helped confirm the first Black woman to the Supreme Court this year. Justice Jackson is already making waves on the Court—and inspiring so many women and girls across the country in the process. https://t.co/J5nqeB2NE9
2022-12-29 21:35:30+00:00,"✅ Bold climate action
✅ Lower health care costs
✅ Action to lower the deficit
✅ Good-paying jobs for WA state

The Inflation Reduction Act of 2022 will go down as one of the most important pieces of legislation we’ve ever passed."
2022-12-29 16:34:30+00:00,"This year, we took major steps to lower health care costs for patients by letting Medicare negotiate drug costs, capping Medicare beneficiaries’ out-of-pocket costs at $2,000/year &amp; insulin a $35/month, &amp; more. This is going to make a big difference for patients &amp; families."
