Datetime,Text
2023-01-02 21:27:39+00:00,"I always enjoy being on the Pete Mundo Morning Show. Congrats to Pete and his team. Hard work, honesty, and professionalism are still recognized by the American public!"
2023-01-01 19:34:46+00:00,"Proverbs 15:22 “Without counsel, plans go awry, But in the multitude of counselors they are established.”

We honor and appreciate the counsel, loyalty, and friendship of so many friends and family!

Blessings for you and your family in 2023!!"
2023-01-01 06:00:10+00:00,Happy New Year!
2022-12-31 22:02:17+00:00,"Today, the tide rolled indeed!
Congrats to @AlabamaFTBL and all their fans!"
2022-12-31 17:21:55+00:00,Rooting for the Cats in New Orleans. #EMAW https://t.co/IsgzQ7WjcX
2022-12-31 14:02:41+00:00,I'll always choose my Wildcats over @Sen_KatieBritt’s Crimson Tide...although I do appreciate the Elephant mascot! @KStateFB #EMAW https://t.co/Sf2mXHaOL1
2022-12-30 19:39:55+00:00,Extremely disappointed the EPA announced today's WOTUS rule before the U.S. Supreme Court reviewed the Trump-era rule. This significantly flawed rule will allow the EPA to operate outside its jurisdiction and is another land grab by this Administration. https://t.co/bHmay3btj2
2022-12-30 02:34:04+00:00,The problem isn’t just that Congress spent nearly $2 trillion- it’s what’s not in the latest spending bill: funding to secure our border. That is the most immediate national security threat our country faces. https://t.co/zIslVPMTSF
2022-12-25 20:08:34+00:00,Merry Christmas! https://t.co/fsl7zsDU29
2022-12-23 23:08:34+00:00,"Great rescue! A special thank you to our Kansas first responders this week. Everyone, please be careful during this severe winter weather. https://t.co/BXp0fdVR1m"
2022-12-23 21:49:41+00:00,Glad to get USTR Chief Ag Negotiator confirmed as well as USDA undersecretary for trade. Look forward to working with them to expand and defend market access for Ag commodities.
2022-12-23 15:53:16+00:00,"When you decorate your Christmas tree, enjoy a cup of hot apple cider or cut into that slow cooked beef tenderloin this Christmas, give thanks for the men and women across Kansas who make these rich traditions possible and make our state an ag powerhouse. https://t.co/3KjYqsqgzF"
2022-12-22 20:06:27+00:00,Another $1.7 trillion borrowed from our grandkids. https://t.co/ToONU8HhN2
2022-12-22 18:23:27+00:00,📺 Tune in! I’ll be on @FoxBusiness shortly with @TeamCavuto discussing all the waste and inflationary spending that’s tucked into the $1.7 trillion spending package.
2022-12-22 16:59:35+00:00,"In the worst year of inflation on recent record, America was more than generous to the Ukraine. 

Now politicians are forcing American families fork over another $46B to Ukraine while the US border remains overflowing, wide open, and underfunded. 

This has to stop."
2022-12-22 15:36:06+00:00,Winter weather is here and I want to be sure all Kansans are taking every precaution necessary. My team has put together a few resources and tips to help keep you safe and warm this winter: https://t.co/dNzvqUEWVj https://t.co/6wMeCQ96qZ
2022-12-21 18:03:13+00:00,$370 billion on Green New Deal style handouts to “green” industries.
