Datetime,Text
2022-12-31 20:01:03+00:00,"2022 recap:
 
✅ Pass historic climate legislation
✅ Lower drug costs for seniors
✅ Protect marriage equality
✅ Eat strawberry shortcake
 
Thanks for a great year everyone, and here's to continuing the good fight in 2023. https://t.co/2E62Va49si"
2022-12-30 22:09:22+00:00,🫶 https://t.co/GLA5iTBJqf
2022-12-30 22:09:16+00:00,"I’ve been to every Fred Meyer in Oregon, and I can say with confidence that no where else can you buy world-class rotisserie chicken and new sneakers in one go. Thanks to Freddie’s for bringing 100 years of joy to Oregon. https://t.co/pK92wwiolt"
2022-12-26 16:22:15+00:00,"Looking forward in 2023 to continue teaming up on the fast break to secure a WNBA franchise for Portland. With great women advocates like ex-hoopster Jenny Mowe, @TheSportsBraPDX &amp; many others, our team can win big with a new franchise for all of Oregon."
2022-12-24 02:59:28+00:00,You can’t build a sustainable economy without putting workers first. I’m proud to have secured an extension of Trade Adjustment Assistance in the omnibus. TAA is essential to helping workers succeed and strengthening our nation’s economy.
2022-12-20 02:46:39+00:00,"Huge congrats to @Dame_Lillard for passing Clyde Drexler as the all-time scorer in @trailblazers history, and providing all of us fans in #RipCity with a class act to cheer for on and off the court."
2022-12-16 17:22:56+00:00,Reporters are a big part of Twitter’s value. Elon Musk spent billions to buy this platform just to ban his critics who try to shed light on the truth. His childish actions are a fast track to Twitter becoming obsolete.
2022-12-15 15:43:37+00:00,"Republicans are hell-bent on gutting your Social Security and Medicare. As Chair of @SenateFinance, I'm all in to do whatever it takes to protect these lifelines for the next generation."
2022-12-14 20:10:29+00:00,Reminder for all Oregonians to tune in to today's event with @FCC and @NTIAgov to help draw our state's new broadband maps to expand internet access. You can join via this link: https://t.co/lMibE4kC9F
2022-12-14 19:12:15+00:00,"My bipartisan PRESS Act was just BLOCKED on the Senate floor. 

This bill is a no-brainer to protect free press in America, but I'm not giving up. I'm going to keep fighting until we get this across the finish line."
2022-12-14 16:25:05+00:00,I’m about to head to the Senate floor to call for immediate passage of my bipartisan PRESS Act. This bill is vital to protect journalists and their sources from government overreach. Let’s get this done.
2022-12-13 20:46:34+00:00,Oregonians: tomorrow at 12:30 PM PT I'll be hosting an event with @FCC and @NTIAgov on the new broadband maps for our state. Your input in this discussion is vital to ensure Oregon gets the funding our state needs to expand internet access. Join us: https://t.co/lMibE4BFbF
2022-12-13 15:05:50+00:00,"The Trump Administration spied on reporters to identify their sources and prevent the American people from learning the truth about Trump’s lawlessness and corruption. We need strong laws to protect reporters and their sources, and my PRESS Act is the way to do it."
2022-12-12 22:27:39+00:00,"Announced at today’s 20th annual Oregon Leadership Summit today in Portland that @SenJeffMerkley &amp; I will be co-chairing a state task force in 2023 on food, beverage &amp; ag so we can grow these iconic job-creating Oregon sectors to new heights. https://t.co/xfbpmmfYQP"
2022-12-12 16:33:35+00:00,Here’s why now is the time for Oregon to act with urgency on the economic opportunity of a lifetime to build a stronger domestic semiconductor industry that continues generating good-paying jobs in the Silicon Forest and statewide: https://t.co/EydTXPqOlx
2022-12-12 01:52:18+00:00,What a game. Thanks @BeaverWBB &amp; @OregonWBB for today’s thriller here in Eugene — and showing the entire country how good women’s hoops is in our state. #GoBeavs #GoDucks https://t.co/DnEvPAtyB8
2022-12-12 01:01:20+00:00,Enjoyed meeting today with Mayor @ChrisHoy4Salem here at the Governor’s Cup in the @cityofsalem. Good chance to catch up and talk about areas where we can team up to make Salem an even better place to live and work. https://t.co/3zvCxGYKOs
2022-12-12 00:05:38+00:00,Ready for tip-off here at @MattArena — and a great game ahead between @BeaverWBB and @OregonWBB #GoBeavs #GoDucks https://t.co/SrXImCZRd1
2022-12-11 22:13:41+00:00,Getting some holiday shopping done at the craft market here in Salem—an event celebrating 20 years of spreading holiday cheer! https://t.co/4G3twg2qJ1
2022-12-11 16:09:50+00:00,"Great to catch up with my friend Kamelah CEO of Mimi’s Fresh Tees, and check out the amazing holiday pop-up she organized with other women-owned businesses for the holiday season and beyond. https://t.co/wRQkfppPsI"
2022-12-10 22:30:35+00:00,Looking forward to Monday’s Oregon Leadership Summit here in Portland &amp; sharing more about the Commerce Secretary‘s 2023 visit — and the urgent need for Oregon to take advantage of the CHIPS Act’s economic opportunity of a lifetime.
2022-12-10 22:30:26+00:00,Glad @SecRaimondo has accepted my invitation to come to Oregon early next year to meet with our state’s semiconductor companies &amp; discuss how investments from the CHIPS Act will keep generating jobs in the Silicon Forest &amp; statewide.
2022-12-10 21:24:38+00:00,"Kudos to @KGWNews for its annual Toy Drive this holiday season. Saw today when I stopped by for an interview with @TimGordonPDX just how generous Oregonians are. If you want to donate a gift for local kids, here’s how: https://t.co/MV92mPkfAx https://t.co/iz8BxgEQBY"
2022-12-10 20:21:26+00:00,"Great visit to @orosapparel here in Portland’s Central Eastside. Their high tech, innovative engineering for insulating everything from clothing to piping is the future for keeping people warm in extreme temps https://t.co/CyOb85kmYP"
2022-12-09 22:32:45+00:00,"Heard from the great folks at @AmpereComputing here in Portland about ways Oregon can lead nationally in chip research and development. I will continue to pursue policies that enable the research, design and manufacturing of advanced semiconductors right here at home. https://t.co/oy2wfyqoYC"
2022-12-09 21:17:14+00:00,"Proud to stand at the @oregonfoodbank today in Portland with this all-star team of advocates working on a full menu of proven strategies like child nutrition investments, an enhanced child tax credit &amp; more to fight poverty &amp; hunger. https://t.co/HM7zdJguap"
2022-12-09 17:55:59+00:00,Happy to see @uoregon’s Ballmer Institute approved for a four-year degree program to train child mental and behavioral health specialists. This is a big step in the important work to get young Oregonians the mental health services they need.
2022-12-08 20:09:28+00:00,"While Americans continue to get mugged at the pharmacy counter, Big Pharma is raking in record profits and failing to pay its fair share. Today, I’m continuing my investigation into whether @Amgen is dodging billions in taxes in Puerto Rico."
