Datetime,Text
2022-12-30 14:58:09+00:00,"It’s been the honor of a lifetime to represent Missouri in Congress.

What we do here is more important than who we are. I’m proud of all we’ve accomplished together and incredibly grateful for the opportunity to serve.

Thank you.

https://t.co/nzbfQbCK80"
2022-12-25 14:21:56+00:00,Wishing you and your loved ones a very Merry Christmas! https://t.co/cUlmTkSiuO
2022-12-19 13:22:08+00:00,Proud to join President @ClifSmart and the MSU community at this groundbreaking and humbled by this incredible honor. https://t.co/qKbzf2CWJF
2022-12-19 13:22:06+00:00,STEM education creates opportunities and prepares students for innovative careers of tomorrow. This building's cutting edge labs and classrooms will ensure @MissouriState continues to lead the way in educating the next generation of the American workforce.
2022-12-17 16:27:16+00:00,"Japan’s decision to build a more powerful military sends a strong message to the region and the region’s biggest security challenge, China. Japan’s determination to defend itself and have new capabilities to help others is an incredibly important decision."
2022-12-17 01:22:44+00:00,"Great to be at @FlySGF today – a place that has been a huge part of my life and career as I’ve traveled to and from Washington. Having a reliable and convenient airport is a big reason why Springfield is a fantastic place to live, work, and visit. Thank you. https://t.co/Dep1Hf1gp5"
2022-12-17 00:10:47+00:00,Great to be back at @MissouriState and have the opportunity to speak to all the #BearGrads at commencement. Your futures are bright because of the strong foundation you built here at MSU. I wish you all the best. #GoMaroon 🐻 https://t.co/xM1KQ4Vgaz
2022-12-16 22:52:56+00:00,I was proud to be there yesterday to help dedicate the new Center for Family Health and Wellness in Springfield.
2022-12-16 22:52:55+00:00,".@JordanValleyCHC does amazing work to provide Missourians with affordable, quality care. Supporting their mission and the mission of all of our state’s community health centers has been a priority during my time in Congress. https://t.co/Ap017HVDOO"
2022-12-08 21:29:41+00:00,"I appreciate the comments from my good friend from Maryland, @LeaderHoyer. We often didn’t vote the same way but when something had to get done we almost always did vote the same way. I thank my friend Steny for his service to our country. And with that, I yield the Floor."
2022-12-06 22:46:06+00:00,"Today, I delivered my farewell address on the Senate floor. Thank you to Missouri for allowing me to work for you, it’s been an honor. https://t.co/vg4vzQxrvc"
2022-11-29 13:56:54+00:00,"Happening soon – I’ll be speaking with @APalmerDC about news of the day, electoral reform, and more. Tune in here ⤵️
https://t.co/e7uxHNI3WE"
2022-11-24 14:44:26+00:00,Wishing you and your family a happy Thanksgiving! And thank you to our service members here and stationed overseas who are spending the holiday away from home. https://t.co/SuLe5DPdSY
2022-11-22 14:54:21+00:00,Democracy is best defined by advocating for what you believe and finding the place where compromise moves the country forward. No one understands that better than Congressman Steny Hoyer.
2022-11-22 14:54:21+00:00,"During the almost 10 years we served together as the Republican &amp; Democratic Whips in the House, we often didn’t vote the same way, but when something had to get done we almost always did vote the same way. Steny has always understood that doing the best you can is a good thing."
2022-11-22 14:54:20+00:00,"An editorial in today’s Washington Post referred to House Majority Leader Steny Hoyer as a ‘beloved, admired giant on Capitol Hill.’ I couldn’t agree more."
2022-11-11 14:06:14+00:00,We owe our freedom and safety to the brave men and women who answered the call to serve. Thank you to our veterans in Missouri and across the country for your courage and your sacrifice. https://t.co/fVnxuuWtj0
2022-11-01 15:30:55+00:00,"I will continue working to make the NMTC program permanent, creating more opportunities and improving the quality of life in underserved areas."
2022-11-01 15:30:55+00:00,"The NMTC program drives investment in areas that need it most. In MO, the more than 500 projects that have benefited from the NMTC program include everything from after school programs &amp; affordable housing to research hubs &amp; small businesses."
2022-11-01 15:30:54+00:00,Great news – Missouri received $290 million in the latest round of New Markets Tax Credit allocations: https://t.co/IDjRyqhdcV
