Datetime,Text
2023-01-02 23:19:55+00:00,"For too long, Americans have paid the highest prices in the world for prescription drugs. Thanks to legislation we passed to allow Medicare to negotiate lower drug prices, help is on the way."
2023-01-01 19:12:08+00:00,"Happy New Year, Minnesota! 🎆"
2022-12-31 16:28:59+00:00,"From receiving pay checks to accessing prescriptions and staying connected to family and friends, Minnesotans rely on @USPS every day. I'm pushing the Postal Service for solutions to the mail delays we are seeing in the Twin Cities and Duluth. https://t.co/0wJCC1XeNb"
2022-12-31 14:58:24+00:00,"My bipartisan bill to restructure outdated merger filing fees and help us more effectively enforce our antitrust laws passed Congress. This is good news for consumers, competition, and our economy. 
https://t.co/NN7LrUzo8x"
2022-12-29 23:49:16+00:00,We reformed the outdated Electoral Count Act to improve the process for counting electoral votes in Congress and ensure something like January 6 never happens again. This is huge for our democracy!
2022-12-29 16:39:30+00:00,"The end of year budget we passed is a big deal for our state. Minnesota is getting funding for infrastructure improvements, public safety, expanding access to affordable child care, and more. I know this is going to have a big impact on our communities."
2022-12-28 16:11:51+00:00,Our farmers are essential to the fabric of our state and I’ll always have their backs. One of my top priorities for next Congress? Passing a strong Farm Bill.
2022-12-27 21:00:19+00:00,"Investments in our infrastructure serve as down payments on the long-term economic wellbeing of the region. Proud to have worked to secure this federal funding for Moorhead's 11th Street underpass project!
https://t.co/ye5GCwwl6s"
2022-12-26 15:08:12+00:00,We passed end of year legislation that includes bipartisan updates to the antiquated Electoral Count Act! I fought for these reforms to help protect our democracy and ensure the will of the voters prevails in presidential elections.
2022-12-25 19:30:45+00:00,"Merry Christmas from my family to yours! 🎄
 
Wishing everyone a happy holiday filled with joy and loved ones."
2022-12-24 22:32:48+00:00,"I welcomed President Zelenskyy to Washington this week. The brave Ukrainians have defended their homeland in a way that few expected would be possible when Vladimir Putin’s unprovoked invasion began almost ten months ago. 
 
We will continue to stand with Ukraine. 🇺🇦🇺🇸"
2022-12-24 01:04:36+00:00,"We just passed bipartisan end of year funding legislation. With investments to boost manufacturing, expand access to affordable child care, and more, we're bolstering our state’s economy, strengthening our supply chains, and lowering costs."
2022-12-23 00:33:39+00:00,"We passed the PACT Act to make sure our veterans get the care they have earned and deserve. 

As the VA gets ready to start processing PACT Act claims in January, learn more about this new law and what it means for your benefits:
https://t.co/IwNDP0c2yk"
2022-12-20 22:56:01+00:00,"“Roosevelt High School's Operation Holiday Basket delivers 300 holiday meals to Minneapolis families”

This is what the holidays are truly all about. Thankful for these students and their amazing work!
https://t.co/0QYz21Xnxk"
2022-12-19 17:21:23+00:00,"Paul Wellstone was a friend, a mentor, and an inspiration to many. I’m proud that our bipartisan legislation to rename the Federal Building in Minneapolis in his honor passed the House, and is heading to @POTUS’ desk for a signature."
2022-12-18 23:15:28+00:00,Happy Hanukkah to everyone across Minnesota celebrating! Wishing you and your family peace and joy.
2022-12-17 23:45:26+00:00,"The Respect for Marriage Act is about dignity, equality, and love. We passed this legislation in the Senate, and last week it passed through the House.
 
This week, it became the law of the land!"
2022-12-15 22:29:43+00:00,"With catalytic converter theft on the rise, we need to do more to protect drivers. I have a bill to ensure law enforcement has the tools they need to hold perpetrators accountable and crack down on these thefts.
https://t.co/aCM6LNzInz"
2022-12-14 02:35:35+00:00,"👋 Hey, Minnesota! Reminder that @MNsure’s open enrollment period is happening now! Visit https://t.co/tonA9bfYfc to make sure you and your family know what you need to #GetCovered for 2023."
2022-12-13 00:24:48+00:00,"In order to prevent carbon monoxide poisoning, we need common sense safeguards in place. That’s why I was glad to see my bipartisan legislation to help address this issue and save lives signed into law earlier this year.
https://t.co/BJHdtk7Wok"
2022-12-12 15:35:59+00:00,"A well-deserved honor. President Zelensky has inspired his country and the world with his courage in the face of Russia's brutal invasion. We will continue to stand with him and the brave people of Ukraine. 🇺🇸 🇺🇦
https://t.co/vcfJqEF4Zk"
