Datetime,Text
2022-12-25 13:05:16+00:00,"From my family to yours, Merry Christmas and Happy Holidays! https://t.co/WZ3x6NB2fB"
2022-12-22 19:25:36+00:00,"This is not a complete list of the good news in the bill for Maine people. As we enter the holiday season, this bill reminds me what a true honor and privilege it is to serve the people of Maine."
2022-12-22 19:25:36+00:00,"As Maine people face rising costs of living, the omnibus legislation makes housing more accessible and affordable for people across our state through grant programs and provisions that assist with large home heating bills."
2022-12-22 19:25:35+00:00,The Maine Delegation and Governor Mills also secured provisions to protect our iconic lobster industry from arbitrary regulations based on no scientific evidence. 🦞
2022-12-22 19:25:35+00:00,"In addition to the Electoral Count Reform Act to protect our democracy, the bill includes more than $250 million in direct investments for specific Maine community organizations and local governments. It also includes funding to support staffing at our National Parks."
2022-12-22 19:25:34+00:00,The Senate just passed a forward-thinking annual spending bill with many provisions that will support Maine jobs and bolster our national defense. There is so much worth celebrating in this legislation and I am eager to continue doing bipartisan work that will help Maine people.
2022-12-22 01:06:47+00:00,"President Zelenskyy’s address to Congress is a powerful testimony to the stakes and sacrifices of Ukraine’s fight against Russia’s brutal, unprovoked invasion. He reaffirmed why we must continue to support the brave Ukrainians in their battle for freedom. https://t.co/hKF81TD2wi"
2022-12-21 19:25:16+00:00,The Electoral Count Act is a ticking time bomb underneath the infrastructure of our democracy. Fixing it in a bipartisan fashion and protecting our elections is the most important thing this Congress will consider. It's time to get this done. https://t.co/zgbpMKj4ua
2022-12-21 15:14:25+00:00,Looming lobster regulations would be nothing short of an economic death sentence for thousands of Maine families -- and not rooted in the best available science. I explained a provision in the budget that will pause these arbitrary regulations and protect our iconic industry. https://t.co/6aXgb2szXr
2022-12-20 20:33:49+00:00,"Maine leaders were able to secure a regulatory pause for our lobster industry in the annual spending bill. 

Without it, the iconic industry faced a complete shutdown, devastating Maine communities statewide and harming thousands of families. 

https://t.co/MtyGuqWUH2"
2022-12-18 15:49:08+00:00,"Great news: two Maine organizations are receiving $22 million to install fish ladders in our rivers and aid migration. 

These river improvements will help preserve species that have long had cultural and economic significance to our state.

https://t.co/Cq58LAIcwq"
2022-12-17 19:44:25+00:00,"Summer may feel like a long way off right now, but it’s planning season for many Maine businesses. These additional work visas will help hotels, shops, and the tourism industry hire the staff they need to keep their doors open. https://t.co/E6jMihDoTS"
2022-12-16 00:59:42+00:00,"All told, I’m proud of the bipartisan efforts that went into making this bill possible. It’s a testament to the importance of a strong national defense and the selfless service of our Armed Forces."
2022-12-16 00:59:42+00:00,"As threats from our adversaries EVOLVE, we must continue to invest in strong cyberdefenses. Included in the 2023 NDAA are critical provisions to improve the Pentagon’s cyber coordination and ensure that @US_CYBERCOM has the tools it needs to successfully deter any foe."
2022-12-16 00:59:41+00:00,"Our military's greatest asset has always been our servicemembers. That's why the bill provides pay raises for our troops and also includes support for the transition from active duty to veteran status. When we say we support our troops, we mean it."
2022-12-16 00:59:41+00:00,"Also included is authorization for 3 DDG-51 destroyers that Bath Iron Works can compete to build. Thanks to this bill, the Best-Built destroyers will continue to be the workhorses of our Navy and support thousands of good Maine jobs for years to come."
2022-12-16 00:59:40+00:00,"The Senate just overwhelmingly passed the 2023 National Defense Authorization Act (NDAA). This annual bipartisan bill supports our troops, invests in Maine businesses, and sends a strong message to adversaries like Russia and China that we will continue to lead the Free World."
2022-12-15 17:10:41+00:00,The bipartisan Cyberspace Solarium Commission I chaired with @RepGallagher has a batting average of .667. Pretty good for a team working across the aisle to secure America's cyberspace. Read more about our success in @timstarks’s Cyber 202 today. https://t.co/TMrLkLgC7M
2022-12-13 20:58:07+00:00,"National Parks like @AcadiaNPS don’t run themselves – it takes hundreds of dedicated staff to help visitors and preserve these beautiful attractions. As tourism numbers spike dramatically, I'm calling on @Interior to increase hiring using new resources provided by Congress. https://t.co/bFpMyTuval"
2022-12-12 21:27:28+00:00,America's presidential transfer of power is a ticking time bomb at the heart of our democracy. The Electoral Count Reform Act would make bipartisan fixes to the outdated process before it's too late. @SenSchumer and @LeaderMcConnell both support the bill – let's get it done. https://t.co/rWv2TrJ6dw
2022-12-12 12:56:24+00:00,Heads up: I’ll be joining @CNNThisMorning in the studio at 8:15 AM to discuss the latest news from Ukraine and what’s ahead for Congress in the last few weeks of the year.
2022-12-12 00:55:20+00:00,"My thoughts and deepest condolences are with the students, families, and entire Maine Maritime Academy Community. May their memories be a blessing. https://t.co/GysFZGZh7P"
2022-12-11 20:30:39+00:00,"Cyber is a national security imperative, essential to protecting Maine infrastructure—like our electric grid and healthcare system—from bad actors. 

That’s why this year’s defense bill includes new provisions to support our cyber defenses around the globe.https://t.co/ZoPfZs3tbT"
2022-12-11 00:40:22+00:00,Head Start provides thousands of Maine families transformative childhood development and educational opportunities. This new funding will build on the program’s record of success in rural areas so that more families have a chance to succeed. https://t.co/T7HZDA8AL0
2022-12-09 15:40:31+00:00,"Russia’s gold supply is one of the few remaining assets that Putin can use to bankroll his country’s bloody assault on Ukraine. Sanctioning these reserves is another important step to make sure the dictator feels the consequences of his heinous actions.
https://t.co/PxGG5PIuwn"
2022-12-08 14:16:34+00:00,"It's always great to put my professor hat back on, especially when it's with a fantastic group of students like the ones at Southern Maine Community College. I'm thankful for the opportunity and hope they enjoyed it as much as I did! https://t.co/7LtWM3BknA"
2022-12-07 16:42:49+00:00,"Bath Iron Works’ hard-working shipbuilders have long been a cornerstone of Maine communities. This report reaffirms just how vital and irreplaceable the shipyard is to Maine's economy and America's national security. Proud to call BIW our own!
https://t.co/A7IavYoiAg"
2022-12-06 14:02:44+00:00,"To prevent cyberattacks from Russia, China and other foes, we must work closely with our allies. The new @StateDept cyber bureau, led by Maine's @ncfick, is a first step to reaching this goal. Appreciate the @ReaganInstitute letting me share my thinking on this national priority. https://t.co/fjyExucoUu"
2022-12-05 14:02:41+00:00,".@UMaine is bringing fresh thinking and new approaches to address the nation's affordable housing crisis.  Its 3-D printed home—made entirely of bio-based, recyclable materials—is exactly the kind of innovation we need. 

Read more in @ArchDigest ⬇️

https://t.co/QTpkO0jhAj"
2022-12-04 16:23:35+00:00,Putin’s number one priority right now is to divide the West and halt our support for Ukraine. We can't fall for it — the only thing more expensive than supporting Ukraine is a World War and the possibility of American troops on the ground. More from earlier on @FoxNewsSunday. https://t.co/DOnCOsJVYw
2022-12-03 19:26:22+00:00,"Thank you @ReaganInstitute for the opportunity to speak on the importance of cyber deterrence, and the role of private industry in protecting our nation from foes like Russia and China. It was a pleasure to join @nancyayoussef @SecAFOfficial @CYBERCOM_DIRNSA for the conversation. https://t.co/0ME8zQl4xr"
2022-12-03 13:00:37+00:00,Winter is right around the corner so we need to take proactive steps now to ensure Maine stays warm. The Biden administration should develop a plan that will prevent price hikes or blackouts — no matter what the winter brings. https://t.co/EAXkqB1bzE
2022-12-02 21:44:51+00:00,Hope you can tune in this Sunday on your local Fox station!
2022-12-01 22:11:00+00:00,"As NATO stands united against Putin's aggression, today's state visit from @EmmanuelMacron sends a powerful message. I hope this visit – and the delicious Maine lobster dinner 🦞 – will strengthen our nations' ties and reinforce our commitment to the Free World. https://t.co/e8FQ1a5UZf"
2022-11-30 21:35:19+00:00,"Glad @POTUS and @EmmanuelMacron are supporting Maine lobstermen and the thousands of small businesses that work our waters. There is no better meal than sustainable, delicious Maine🦞to represent our country on the world stage."
2022-11-29 23:25:04+00:00,"The Respect For Marriage Act is a long-overdue, necessary step to ensure Americans can marry the person they love without government interference. I’m deeply grateful that the Senate was able to come together to pass the commonsense, bipartisan law. https://t.co/fkqOhTHLYF"
2022-11-29 14:04:35+00:00,"In WWII, the world stood by while Hitler marched across Europe – we cannot afford to relive this mistake of history with Putin’s brutal assault on Ukraine. My full thoughts in @Defense_News on how this year’s defense bill can protect global stability. https://t.co/N3aCOrF3qb"
2022-11-28 20:17:33+00:00,Great news for Maine’s ski industry: the Biden administration is speeding up winter work visas after calls from a bipartisan group led by @SenatorHick and me. This will help outdoor recreation businesses across Maine hire the essential workers they need. https://t.co/Ozkb5KJTg0
2022-11-28 14:08:00+00:00,"It's an unfortunate reality that the Arctic is warming, bringing new challenges and opportunities for Maine. On this month’s episode of ‘Inside Maine’ my guests and I discuss how America can meet this moment and improve our strategy in the shifting region. https://t.co/UFd8dWRAlO"
