Datetime,Text
2023-01-02 22:47:57+00:00,First major bowl victory for the @GreenWaveFB since 1934. One of the best stories in college football. Proud of the entire Tulane community. #RollWave
2023-01-02 22:12:49+00:00,Dominant win and great season! #GeauxTigers
2023-01-02 22:10:58+00:00,Great day for Louisiana football.
2023-01-01 13:55:21+00:00,"“Praise be to the God and Father of our Lord Jesus Christ! In his great mercy he has given us new birth into a living hope through the resurrection of Jesus Christ from the dead.” 

- 1 Peter 1:3"
2023-01-01 13:49:29+00:00,"Happy New Year, Louisiana! Wishing you all a safe and happy new year. https://t.co/qRJthjJ6Eh"
2022-12-31 18:25:32+00:00,"Pope Benedict XVI dedicated his life to spreading Christ’s love, mercy, and light. He was a servant of God and shepherd to many. My heart is with the Catholic community today. https://t.co/ivcOAsLwQr"
2022-12-31 15:33:59+00:00,"Even NPR occasionally gets an immigration story correct. Ending Title 42 would be a disaster.
https://t.co/nv0v0wWEUJ"
2022-12-30 18:03:36+00:00,"In December 1783, George Washington resigned as Commander-in-Chief and brought stability to our young republic. His commitment to our country should serve as an example to us all. https://t.co/rSHu9vbpOz"
2022-12-29 18:53:01+00:00,Big news for Lake Charles: https://t.co/fMxu9bLbdV
2022-12-29 16:52:38+00:00,"This funding makes a new I-10 bridge and a stronger Lake Charles a reality. 

I was specifically thinking of this project as I worked with others on the Bipartisan Infrastructure Bill. This is just the beginning of good news for Calcasieu Parish. #lagov #lasen https://t.co/kzIm6kU5td"
2022-12-29 04:22:13+00:00,Great win for the @PelicansNBA tonight! https://t.co/9Ci2aE2viO
2022-12-28 20:26:57+00:00,My grandson loves the @WWIImuseum in New Orleans. I am sure you would too. https://t.co/JHUnmGLa61
2022-12-28 16:00:50+00:00,Europe’s energy crisis reminds us of the result of pushing too fast towards green energy. We need an Energy Operation Warp Speed to make sure families don’t have to break the bank to heat their homes. https://t.co/1VlqLpfaN4
2022-12-27 22:01:34+00:00,"Removing Title 42 would have made our border crisis worse, and the White House seemed willing to let that happen. Glad to see the Supreme Court step in to preserve it, but we need a permanent solution."
2022-12-27 16:03:40+00:00,"Biden has been in office for nearly two years, and we still have a crisis at the border."
2022-12-25 16:38:05+00:00,https://t.co/PRvSxRs8mA
2022-12-25 13:14:51+00:00,Laura and I are wishing you all a Merry Christmas! https://t.co/iJk0ZG55w3
2022-12-24 00:59:15+00:00,The Iranian regime is afraid and cowardly murdering its own people that choose to stand for their freedom. The regime has lost any shred of legitimacy it may have once clung to. #AmirNasrAzadani https://t.co/lL0lDlyh6S
2022-12-23 16:27:49+00:00,https://t.co/QNN4WSiM4g
2022-12-22 19:36:40+00:00,"Hopefully, with Republicans in charge of the House next Congress, this pattern of procrastination will change."
2022-12-22 19:36:39+00:00,Waiting to take up critical spending bills until days before a Christmas deadline is chaos by design. Over a trillion dollars in taxpayer dollars are being spent with little to no notice or public discussion.
2022-12-22 17:52:04+00:00,"The Pregnant Workers Fairness Act should have and could have passed overwhelmingly long ago with an up or down vote. Regardless, this amendment ensured pregnant mothers will have the workplace accommodations they need. This is pro-mother, pro-life, and pro-family. #PWFA"
2022-12-22 17:14:58+00:00,"Just voted for Senator Lee’s amendment to cut funding to Sec. Mayorkas unless the Biden administration reinstates and enforce Title 42. We have a crisis at the border and the White House is content with letting it get worse. Unfortunately, Democrats blocked this amendment."
2022-12-22 15:38:54+00:00,Ending Title 42 would make our #BorderCrisis worse. Even Texas Democrats acknowledge that. https://t.co/9GD3aXKuje
2022-12-21 21:25:01+00:00,"Thankfully, the Supreme Court delayed the expiration of Title 42 which would have caused the ongoing crisis at the southern border to explode. What’s worse, the Biden administration was willing to just let it happen. https://t.co/VW2ydhCEX2"
2022-12-21 18:56:09+00:00,The border is out of control. Ending Title 42 would only make it worse.
2022-12-20 19:38:42+00:00,"Congratulations to New Orleans native Sgt. Maj. Carlos  Ruiz on his appointment as the command senior enlisted leader for U.S. Space Command. Thank you for your service.
https://t.co/bYDkQrjYUu"
2022-12-20 16:10:04+00:00,"Removing Title 42 would make our border crisis worse and put more families in harm’s way. The White House was willing to just let it happen. Glad to see SCOTUS temporarily block this disastrous Biden administration order, but we need a permanent solution."
2022-12-20 00:36:39+00:00,The New Orleans Corps of Engineers District today approved permits to move forward on the Mid-Barataria Sediment Diversion Project. This is a major victory in our effort to rebuild and preserve Louisiana’s eroding coastline.
2022-12-19 21:39:28+00:00,"President Chaves is right to seek admission to USMCA. It would benefit Costa Rica &amp; the US. Expanding USMCA+ to promote prosperity, rule of law, &amp; market access is a pillar of my Americas Act, that we will introduce next year. We must work together to build a stronger hemisphere."
2022-12-19 13:54:46+00:00,There still is a crisis at the border.
2022-12-19 02:31:53+00:00,Laura and I are wishing a #HappyHanukkah to all who celebrate. https://t.co/dU7kgB0zrC
2022-12-18 13:05:24+00:00,"“In the same way, let your light shine before others, that they may see your good deeds and glorify your Father in heaven.” 

- Matthew 5:16"
2022-12-16 16:36:14+00:00,For those affected by the tornadoes across Louisiana this week. #tornado #NewOrleans https://t.co/EA3e6ap6bL
2022-12-15 15:28:58+00:00,We need to end the assault on US workers and unleash American energy. https://t.co/7vyC2azBxF
2022-12-14 23:14:06+00:00,Terrible weather ripping through South Louisiana. Please stay safe. #NOLA #Tornado https://t.co/wnRrEkRv1u
2022-12-14 22:35:06+00:00,Tornadoes touching down in the #NOLA area. Stay safe &amp; listen to local officials for further guidance.
2022-12-14 15:03:15+00:00,"Closely monitoring reports on the severe storms that hit North Louisiana last night. Praying for those who lost their lives, were injured and the families impacted. Storms expected to continue across Louisiana today. Listen to local authorities and stay safe."
2022-12-13 19:50:40+00:00,"Judge Douglas will serve with honor and integrity. She has the judicial temperament, education, and legal experience to sit on the Fifth Circuit Court. This is a wonderful day for Judge Douglas and her family."
2022-12-13 15:43:07+00:00,Happy birthday to the National Guard! Grateful for every member of the National Guard for keeping our communities safe.
2022-12-12 20:29:47+00:00,Using US taxpayer money to create mining jobs overseas and not in the US! https://t.co/ioPEoo2Hzs
2022-12-12 18:12:29+00:00,"To the Iranian people, we stand with you. https://t.co/bXqeA94oEU"
2022-12-12 13:57:19+00:00,There still is a crisis at our border.
2022-12-11 14:03:51+00:00,"“And do not forget to do good and to share with others, for with such sacrifices God is pleased.”

- Hebrews 13:16"
2022-12-10 19:36:26+00:00,Christmas season in Natchitoches https://t.co/KBBBWtMDyo
2022-12-09 18:11:26+00:00,President Biden’s assault on American energy is costing families. We need an Energy Operation Warp Speed to lower energy bills this winter. https://t.co/K6TmljXxNZ
2022-12-08 01:27:54+00:00,Sometimes sorrow cannot be expressed. Our hearts are with these student’s families and with the Southern Band. https://t.co/Z2e93VkiMZ
2022-12-07 21:40:30+00:00,"The International Trade Commission made the right call by keeping pressure on #China for its unfair labor practices &amp; ignoring environmental norms. 

Louisianans will have jobs and the Lake Charles community will benefit thanks to the continued work and ingenuity at KIK. https://t.co/NaI3s3oVAg"
2022-12-07 19:20:23+00:00,Great to see Peru’s institutions hold strong. Congratulations to @DinaErcilia who is set to become Peru’s first woman president.
2022-12-07 17:19:52+00:00,Paying close attention to what is happening in Peru. Peru’s constitutional order must be respected.
2022-12-07 14:42:04+00:00,December 7th is a solemn reminder of the sacrifice the Greatest Generation made to keep America free. Thankful for our WWII veterans and their dedication to our freedom. https://t.co/7o4mMeDOKR
2022-12-06 23:33:38+00:00,"When recovering from a hurricane, every bit helps, and this is a big help. https://t.co/zJi4sqf9hl"
2022-12-06 16:02:22+00:00,Unleash Louisiana energy &amp; support American jobs.
2022-12-05 22:03:54+00:00,Huge win for parents
2022-12-05 21:55:31+00:00,This administration cannot call something a “Parents and Families Engagement Council” when it is full of partisan organization that do not represent the majority of parents. The disbanding of this council is a major victory for parents. https://t.co/e188hZsA9Z
2022-12-05 13:56:19+00:00,There still is a crisis at the border.
2022-12-05 13:35:03+00:00,First conference championship since 1998. First major bowl berth since 1940. The @GreenWaveFB keeps making Louisiana proud. Onto the Cotton Bowl! #RollWave
2022-12-04 13:48:13+00:00,https://t.co/Wt7OpBD4dH
