Datetime,Text
2023-01-01 23:12:59+00:00,Citizens are terrified of being shot while grocery shopping or attending church. Parents worry about raising children who won’t be able to breathe clean air or drink clean water.
2023-01-01 23:12:59+00:00,"After recent Court decisions, women live in fear of getting pregnant &amp; dying because they can’t receive medical care."
2023-01-01 23:12:57+00:00,This Court repeatedly &amp; cavalierly upends settled law to rip away cherished &amp; long-held constitutional rights &amp; freedoms.
2023-01-01 23:12:57+00:00,"Failure to address these problems, coupled w/extremist, activist opinions, will lead to continued declines in the Court’s credibility. Congress must pass financial disclosure requirements for SCOTUS &amp; help prevent conflicts of interest that he ignores. There’s bipartisan support."
2023-01-01 23:12:56+00:00,"The Chief Justice’s “hear no evil, see no evil” Annual Report is a huge missed opportunity—ducking key institutional problems at SCOTUS like glaring conflicts of interest, leaked draft opinions, &amp; inappropriate speeches. https://t.co/nMAQBpAgeD"
2023-01-01 05:08:13+00:00,"A wonderful #NewYear to all! As we ring in 2023, I’m more grateful than ever to serve the people of CT &amp; fight for a better, healthier, safer tomorrow."
2022-12-31 18:02:14+00:00,"A well-deserved honor for Michael Raucci. Thanks to his—&amp; his U.S. Air Force flight crew’s—bravery, quick action was taken to evacuate survivors after the Hamid Karzai Airport suicide bombing. A true hero. https://t.co/1ANZenn7g1"
2022-12-30 14:11:47+00:00,This investment marks another highly significant step toward bringing our infrastructure into the 21st century &amp; we will continue working for more progress.
2022-12-30 14:11:46+00:00,"This massive, historic investment in an iconic CT structure will make travel safer, speedier, &amp; more reliable. The competition for funding was cutthroat, &amp; our delegations fight for it was steadfast &amp; unstinting. https://t.co/L5VdRyRnlx"
2022-12-30 00:14:36+00:00,"Big Oil’s doubling &amp; quadrupling profits should prompt windfall profits penalties early this Congress. I’m hoping for Administration support. Profiteering by energy companies is insanely unfair—insult &amp; injury to consumers &amp; small businesses, rippling costs economy-wide."
2022-12-30 00:14:36+00:00,Congress should muster the same backbone as European countries—standing up to Big Oil &amp; energy companies with windfall profit penalties &amp; other pro-consumer measures. The legislation I’ve championed would also provide rebates—money back in your pocket.
2022-12-29 00:40:28+00:00,"I’ll work to assure immediate attention &amp; favorable consideration of Sikorsky’s challenge. Our nation deserves the best helicopters &amp; Sikorsky’s world class work force can make them. 
https://t.co/OqsaA1fbdy"
2022-12-28 23:54:03+00:00,"Monopolistic power concentrated in too few companies allows airlines’ overcharging, &amp; underperformance."
2022-12-28 23:54:02+00:00,"Congressional hearings &amp; action on Southwest’s catastrophe should be broader than one airline. An entire industry lacking any real competition enabled Southwest to rely on antiquated, vulnerable systems."
2022-12-28 23:54:01+00:00,"Let’s see whether Southwest’s Board is capable of real governance—accountability for C-suite executives, order no cost switching to competitors’ flights, full compensation for expenses, &amp; revamp all systems. 
https://t.co/YgfqL8kloD"
2022-12-27 23:54:55+00:00,Matthias Wirtz is a true hero—selflessly sacrificing to keep our community safe. My heart is with his loved ones during this deeply difficult time. https://t.co/VQ1hPhb2gd
2022-12-27 19:17:57+00:00,"The historic storm was an act of nature, but consumers deserve major remedies for acts of massive mismanagement—air travel malpractice. Southwest must allow customers to switch to other airlines—&amp; provide refunds right away. https://t.co/LQJqStaN4r"
2022-12-25 14:03:43+00:00,Warmest wishes on this bright &amp; joyful holiday. May the gifts of love &amp; peace be yours during this wondrous Christmas season.
2022-12-24 19:09:54+00:00,"A warm, heartfelt thanks to the hearty crews out on this frigid day repairing Eversource &amp; UI power lines around CT. You’re a holiday blessing for our state. Stay safe!
https://t.co/XdwmRm2Hw6"
2022-12-24 00:24:01+00:00,"This Omnibus bill is a historic investment to keep America strong &amp; safe. We are fulfilling promises to CT veterans, families, &amp; workers to meet strategic challenges. This package is a huge victory for our state &amp; America. https://t.co/5Gi9koTlZf"
2022-12-23 22:41:54+00:00,The massive new Columbia subs are a stealthy giant of American defense—key to deterring dictatorial aggressors like Putin &amp; assuring allies that our nuclear shield will protect them. CT should be proud of the world’s greatest workforce making them here. https://t.co/FfFhPKxP6v
2022-12-23 18:44:31+00:00,Congratulations Bob on this well-deserved recognition. Naming a future oceanic survey ship the USNS Robert Ballard is a rightful honor for America’s premier oceanographer. Your steadfast commitment to education &amp; exploration is truly inspiring. https://t.co/Dp13ldOoXc
2022-12-22 22:08:47+00:00,"Along with critical support for our allies in Ukraine, this comprehensive legislation will help our state address the challenges of tomorrow. https://t.co/pkJ9hOAjv5"
2022-12-22 22:08:45+00:00,"I’m especially proud to have fought for measures that will address our veteran mental health crisis, support survivors of domestic violence, &amp; improve reporting of hate crimes with double the funding for Jabara-Heyer NO HATE Act grants."
