Datetime,Text
2023-01-01 14:41:07+00:00,Happy New Year! I’m proud of what we were able to accomplish in 2022 and I look forward to continuing to work for the people of Pennsylvania this year.
2022-12-30 23:22:57+00:00,Congratulations to @Pitt_FB on their win in the #SunBowl! #H2P
2022-12-30 20:13:22+00:00,"When a Philadelphia fire killed 12 people, including 9 children, in a public housing unit, I took action with @RepDean to ensure that families are protected from this kind of tragedy in the future. Simply put, this legislation will save lives. https://t.co/pRUOjqcyxJ"
2022-12-27 00:13:07+00:00,"To all who celebrate, I wish a joyous Kwanzaa to you and your family!"
2022-12-25 15:30:23+00:00,"From my family to yours, Merry Christmas!
 
Wishing all those who celebrate a peaceful, merry, (and warm!) holiday. God bless. https://t.co/qvi70aHIfm"
2022-12-22 22:33:21+00:00,"I secured $111.5 million for 92 community projects across Pennsylvania. Projects include:
🏘️building affordable housing 
👩‍🏭career training and workforce development
🎒educational and youth mentorship programs
🚰clean water infrastructure 
➕and so much more."
2022-12-22 22:33:21+00:00,"With this spending bill, we are working toward an America where our children are safer and provided more opportunities in life, where seniors and people with disabilities are taken care of, and where we can have faith in our Democracy and our elections. 🧵https://t.co/YcuvvOxc2U"
2022-12-22 21:05:27+00:00,"If a woman requests a stool to sit on or bathroom breaks—employers don’t have to provide them.

The Pregnant Workers Fairness Act ensures a pregnant worker has basic accommodations so she can do her job and have a healthy and safe pregnancy. https://t.co/z8bD0OOET8"
2022-12-22 17:25:41+00:00,"The Pregnant Workers Fairness Act ensures that pregnant women can have reasonable accommodations at work, including a water bottle, a stool, or extra bathroom breaks. Passing this law will help women maintain healthy pregnancies while continuing to work. 

Let's get it done."
2022-12-22 02:00:22+00:00,It was an honor to hear Ukrainian President @ZelenskyyUa speak tonight in front of Congress. The United States remains steadfast in our support for the Ukrainian people in their war against Vladimir Putin.
2022-12-21 23:29:55+00:00,"Congratulations to @Jim_Gardner on a legendary career at @6abc. I’m in Washington trying pass a spending bill, but I couldn’t miss your last broadcast. https://t.co/bLcCOlloas"
2022-12-21 22:23:58+00:00,"Last month, I visited the site of the deadliest attack on the Jewish community in American history: the Tree of Life synagogue in Pittsburgh. In the wake of rising threats of antisemitism, it's on all of us to speak out against hatred and extremism. https://t.co/1SinhlNuf0"
2022-12-21 19:05:01+00:00,Rebuilding the Fern Hollow Bridge in under a year was no small feat and it couldn’t have happened without the infrastructure law. This is a testament to Pittsburgh’s resiliency and to our bold investment in rebuilding critical infrastructure in Pennsylvania and across the Nation.
2022-12-21 16:27:32+00:00,"This Friday marks the 50th anniversary of the Immaculate Reception, one of the most iconic moments in sports history. As the Steelers retire his number this weekend, it will be a fitting, but bittersweet, tribute to a Pittsburgh legend. Rest in peace, #32."
2022-12-21 16:27:32+00:00,"Franco Harris left an indelible mark on Pittsburgh and Steelers fans around the world. A true son of Pittsburgh, he devoted his life, on and off the field, to the Steel City.  My deepest condolences to his wife Dana and his son Dok."
2022-12-20 21:49:24+00:00,"With funding from @POTUS’s infrastructure law, the Kinderhook Road Bridge over Chiques Creek between Rapho and West Hempfield Townships will be replaced. #PAMapSpotlight https://t.co/mcLkKR7VU9 https://t.co/nGxHNqNzbr"
2022-12-20 18:01:20+00:00,"The COVID-19 booster is safe, free, and effective. It’s our best defense against the virus this winter. Get yours now if you haven’t: https://t.co/rtkDflLCT8"
2022-12-19 21:25:43+00:00,"The CVST is a critical link in central PA. It connects our rural communities, creates jobs and allows businesses to thrive. I have fought for this project for more than a decade because the people of the Susquehanna Valley deserve this vital connection. https://t.co/YyF775SHCF"
