Datetime,Text
2022-12-26 16:28:04+00:00,Happy Kwanza! May the coming days bring you joy and peace.
2022-12-25 18:01:50+00:00,"For those who celebrate, Merry Christmas! I wish you a joyful day, full of light and love."
2022-12-22 22:00:20+00:00,"I’m proud to vote for this critical funding bill that builds on the incredible progress this Congress has made.
https://t.co/iLC7eSAvgu"
2022-12-22 21:35:03+00:00,"The work @SenatorMenendez and I have done, along with our New Jersey partners in the House, will bring tax dollars back to New Jersey for critical and innovative projects. https://t.co/LblBlKTGEL"
2022-12-22 01:46:01+00:00,It was an honor to attend Ukrainian President Zelensky's joint address to Congress. We must continue to support the Ukrainian people’s fight for freedom and peace.
2022-12-21 23:08:31+00:00,Nearly half of all Americans would struggle to cover an unexpected $400 expense. The Emergency Savings Act will help workers build savings for short-term costs while also putting them on a pathway for a more financially secure retirement. https://t.co/JbXM4vBWta
2022-12-21 21:26:25+00:00,"We must continue our efforts to pass the EQUAL Act, ending the crack and powder cocaine sentencing disparities. The struggle for justice can be challenging, but we know we will ultimately prevail. https://t.co/5Y81wZsgPP"
2022-12-21 19:20:03+00:00,"Fusion energy has the potential to be a safe, clean, &amp; sustainable energy that can provide the US with energy independence &amp; a nearly limitless energy supply. Investing in fusion energy is a critical step toward meeting our nation’s long-term climate goals.https://t.co/RNIojJSUym"
2022-12-19 21:28:57+00:00,https://t.co/wSyurpkDAo
2022-12-19 21:28:55+00:00,It was a privilege to work with Judge Salas and @SenatorMenendez to better protect those who serve our federal judiciary. Honored to mark the passage of the Daniel Anderl Judicial Security and Privacy Act today. https://t.co/qKgKGGPqJ7
2022-12-18 22:38:02+00:00,Wishing everyone celebrating the start of Chanukah a happy and joyous celebration of light.
2022-12-16 22:45:51+00:00,"The sentencing disparities between crack and powder cocaine are unscientific and unjust. The Attorney General’s announcement is a step toward parity, but we must continue to press to pass the bipartisan EQUAL Act to eliminate the disparity.
https://t.co/JFcRlNk5mh"
2022-12-16 19:57:34+00:00,I am proud the Senate has passed the Daniel Anderl Judicial Security and Privacy Act. This bill strengthens our democracy and ensures that federal judges can perform their solemn duty of administering equal justice under the law without fear of retaliation.https://t.co/Ya8rRlkz97
2022-12-14 17:25:21+00:00,It’s ten years after 26 innocent souls were horrifically taken at Sandy Hook. We have so much more work to do to ensure our nation’s schools are not the sites of senseless gun violence.
2022-12-13 21:23:17+00:00,I was proud to vote for the Respect for Marriage Act which will protect your right to marry who you love. Honored to stand next to @POTUS &amp; witness this bill signed into law. I thank my Senate &amp; House colleagues for their work on this historic legislation https://t.co/hgWhmjQeEN
2022-12-13 15:58:09+00:00,"Right now, our dietary guidelines tell us that 50% of the food we eat should be fruits and vegetables – but less than 10% of our Farm Bill subsidies currently go to fruits and vegetables. The 2023 Farm bill will be an important opportunity to change this. https://t.co/44HQgnSfT8"
2022-12-13 15:05:21+00:00,"I’m chairing a subcommittee hearing on food as medicine and how connecting people to healthy food can yield benefits to public health, reduce healthcare costs, and help our farmers. Watch now: https://t.co/TwOS0uL3HD"
2022-12-10 00:43:17+00:00,"Anti-Muslim harassment has no place in New Jersey — or anywhere. We must stand together to reject acts of hate anywhere they happen.
https://t.co/GYkZooXvoy"
2022-12-08 15:35:22+00:00,"I remain concerned about the proposed merger between Kroger &amp; Albertsons, including its impacts on Black and Brown communities. I urge them to prioritize diversity &amp; inclusion during this merger, from their own workforce to supplier diversity. 
https://t.co/Lwa2zkaSaY"
2022-12-07 19:51:52+00:00,"On Pearl Harbor Day we reflect on one of our nation’s darkest moments – and finest hours. Remembering those who made the ultimate sacrifice on December 7, 1941, and all those who’ve answered the call to defend our freedoms."
2022-12-07 17:00:38+00:00,"This is a moment where we must make a lasting commitment, not just in Congress, but as a nation, to saying that not one child growing up in the richest country on the planet should be growing up in poverty. We must restore the expanded Child Tax Credit."
2022-12-07 16:35:29+00:00,"We're in the midst of a plastic production crisis that is contributing to climate change &amp; harming environmental justice communities. Last week, I introduced a bill with @RepHuffman, @SenJeffMerkley &amp; @RepLowenthal to help tackle this challenge.
https://t.co/ZxERiJzmLU"
2022-12-05 21:14:50+00:00,Congratulations Old Tappan Golden Knights! So proud of my home town high school team for their phenomenal win against the previously-unbeaten Delsea and becoming the first NJSIAA Public champion from North Jersey. https://t.co/vR4Acxcnv7
2022-12-05 17:47:32+00:00,"We have an opportunity to bring back one of the largest tax cuts for working Americans ever. We must act to restore the expanded Child Tax Credit.
https://t.co/s180jMAVWs"
2022-12-05 16:46:57+00:00,"I’m so proud of the work our team does to support those who served like Bruno Teixeira. We need to honor them not just with our words, but with our actions. https://t.co/OgR8JROgu0"
2022-12-02 19:34:46+00:00,"We have an opportunity to bring back one of the largest tax cuts for working Americans ever. We must act to restore the expanded the Child Tax Credit.
https://t.co/s180jMSxl2"
2022-12-01 20:51:11+00:00,"Before the end of the year, we must act to protect DACA. Congress cannot continue to put off ensuring protections for these members of our communities–essential workers, friends, and neighbors."
2022-12-01 18:42:14+00:00,"We have made so much progress, but there is work left to do in the fight to end AIDS. On #WorldAIDSDay and every day we must commit to funding vital programs that improve access to life-saving treatments and reach underserved populations in America and across the world."
2022-12-01 16:51:05+00:00,"We must vote to protect workers. Providing paid sick days is both morally just and the right thing to do.
https://t.co/FcpCkqPoj3"
2022-12-01 14:49:49+00:00,Investing in our health care infrastructure is necessary to protect public health. I am proud to secure funding to ensure our local health departments are well equipped and have the resources necessary to protect our communities’ health and well-being. https://t.co/uqITHR6qSI
2022-11-30 17:03:20+00:00,"It is an honor to know and work with @RepJeffries. He’s an exceptional leader, and our country is better following his historic election as the first Black leader in Congress."
2022-11-29 23:25:16+00:00,"Today the Senate lived up to our nation’s highest ideals, voting to protect the rights of all Americans regardless of who they choose to marry. No one in a same-sex or interracial marriage should ever worry about whether or not their marriage will be invalidated in the future."
2022-11-29 21:04:32+00:00,"It is no surprise that New Jersey leads the U.S. to victory. Congratulations to Jersey natives Matt Turner, Brenden Aaronson, and Coach Gregg Berhalter – and of course, to the entire @USMNT."
2022-11-29 18:15:19+00:00,"We have the power not only to prevent families from slipping into poverty, but to lift  them out altogether. We must restore the expanded Child Tax Credit and make it permanent.
https://t.co/wZCcCLf8Jq"
2022-11-28 20:42:35+00:00,"The demonstration by the Iranian National Soccer team at the World Cup shows that this movement is not fading and that it will take more focus, more voices to bring an end to these brutal crackdowns.
https://t.co/443ZjQXqw8"
2022-11-28 20:42:35+00:00,"The actions to suppress these voices for change not just in Iran, but around the world demands our attention and our solidarity with these protestors.
https://t.co/17FWPCpdRv"
2022-11-28 20:42:34+00:00,"I have been closely following the weeks of protests in Iran, and am inspired by the bravery of the protestors, especially the women and young people standing for liberty. I stand shoulder to shoulder with the Iranian people in the face of brutal repression."
2022-11-24 14:41:25+00:00,Wishing everyone a day filled with joy and gratitude. Happy Thanksgiving!
2022-11-23 21:48:10+00:00,"Another horrific mass murder. No one should face senseless violence just going shopping or to work. My heart breaks for the families and community.

I remain deeply committed to acting on gun violence prevention, I hope all of my colleagues feel the same. https://t.co/x49Cq4GWVw"
2022-11-23 17:23:57+00:00,"I am proud that the administration, in spite of partisan GOP attacks, made the right decision. We must continue to press for relief for the Americans carrying crushing debt just for seeking education, despite those trying to stymie our efforts.
https://t.co/JM9aZVTt5F"
2022-11-22 23:21:45+00:00,"What next, are they going to ask us to rein in @NJGOV? I celebrate the creative, and very Jersey, efforts to make our roads safer.
https://t.co/wXgAptc8PF"
2022-11-22 20:01:38+00:00,"Our hyper-consolidated industrial livestock and poultry system is putting our food supply at risk. The Industrial Agriculture Accountability Act places liability for disaster mitigation where it belongs–on the big companies who are making record profits.
https://t.co/6BXQv66X9b"
2022-11-18 20:29:08+00:00,It is great to see @USDA’s new proposed rule increase WIC’s fruit and vegetable benefit. The new WIC package will strengthen a program that is proven to help mothers and babies flourish.
2022-11-18 19:33:31+00:00,Studies suggest some Schedule I substances such as MDMA &amp; psilocybin could serve as potential lifesaving drugs. My bill would remove regulatory red tape that impedes researchers from studying &amp; patients from accessing these potential drugs. https://t.co/z34NSR5L7h
2022-11-18 17:37:28+00:00,Immigrant communities have been unfairly denied access to health coverage. Health care shouldn’t depend on one’s immigration status. I urge the @HHSGov to remove barriers that prevent DACA recipients from accessing health coverage. https://t.co/aFnFelkfP9
2022-11-16 17:00:38+00:00,"The COVID booster keeps kids in school and prevents hospitalizations. Please–if you have not already, look into getting an updated booster for you and your children.
https://t.co/sQkcfyhKGk"
2022-11-16 14:51:25+00:00,ICYMI: My office has updated our annual Veterans Handbook. My team and I are eager to connect those who served to the resources they need and deserve. https://t.co/rQZuEjzOAi
2022-11-15 20:15:01+00:00,"Today is your last chance to get your expanded Child Tax Credit by going to https://t.co/bi98EoqBJx! If you haven’t received your 2022 CTC, you can claim it in minutes. Please share this information with those who need it."
2022-11-11 18:07:57+00:00,"My parents taught me that I drink deeply from wells of freedom that I did not dig &amp; that we must always endeavor to honor the heroes who have served our nation. 

On this Veterans Day, we share appreciation for veterans and their families for their sacrifice and selfless service."
2022-11-04 15:28:49+00:00,"That means expanding the Child Tax Credit, improving access to a quality education, and improving health outcomes over their lifetime. I’m going to continue fighting for policies and legislation that make children a priority in our nation. #InvestInKids"
