Datetime,Text
2023-01-02 18:50:11+00:00,"Our family kicked off 2023 by welcoming the newest member of the family: Thomas Moore Macleod. Congrats to Shelley, Colin, Macaulay, and Lewis! 🎉 https://t.co/0FmgBDR5XQ"
2023-01-01 12:59:00+00:00,"Happy New Year, West Virginia! https://t.co/CBzYyLFTi6"
2022-12-28 17:30:00+00:00,"ICYMI: Looking forward to working with the visionary leadership of Form Energy as they ramp up their production in West Virginia! More details via @WVNews247 ⬇️

https://t.co/exUSjb7tfA"
2022-12-27 22:00:15+00:00,"Without a plan from the administration and as we face a potential overwhelming situation at our border, I’m glad the Supreme Court has ruled Title 42 can stay in place."
2022-12-27 15:28:30+00:00,"Can you believe it’s already been 2 years since the @NewRiverNPS became a National Park and Preserve? If you haven’t already, come visit us in the new year! https://t.co/pPCz61CzzJ"
2022-12-25 13:13:30+00:00,"Merry Christmas, West Virginia! https://t.co/Epfq7PoCgE"
2022-12-23 20:40:27+00:00,"This week, I offered an amendment delaying the onerous 1099-K regulation for one year. I’m glad the IRS has followed with that very action. My full statement ⬇️  https://t.co/VduCIEkNwz"
2022-12-23 15:00:03+00:00,"#CapitoConnect Update: @SenJackyRosen and I led an effort to ensure the @FCC’s national broadband maps satisfy the goals of the Broadband DATA Act and provide a reliable depiction of broadband availability across the nation.

Read the letter: https://t.co/ssMVtVSNCu"
2022-12-22 21:12:05+00:00,"🚨🚨🚨 Great news! My Equal Pay for Equal Play legislation w/ @SenatorCantwell passed the House last night and now heads to the president’s desk to be signed into law. This is a historic win for women’s equality in sports!

DETAILS ⬇️https://t.co/Bx0XEtQwbD"
2022-12-22 20:05:12+00:00,"Voted in favor of 2023 government funding package, which includes many priorities that are important to WV I have advocated for. Details here: https://t.co/S9E8lQmOa8 https://t.co/vBIs2QvMKw"
2022-12-22 18:18:51+00:00,Opioids are one of the leading causes of death for Americans. I’m glad to see resources available to counter overdoses on campuses across West Virginia to save lives and make sure every seat at Christmas is filled with healthy family and friends. https://t.co/9jhlRbRRrK
2022-12-22 15:33:06+00:00,"West Virginians traveling for the holidays: Be careful! We are expecting freezing temperatures, rain, and snow the next 2 days. Check your local forecast and drive safely! https://t.co/6uOp3LB2Vj"
2022-12-21 20:49:57+00:00,"The Taliban’s total ban on the education of women and girls is heartbreaking and appalling. Everyone deserves the right to an education.  I stand with women in Afghanistan and condemn this inexcusable decision.

https://t.co/s13AHlEx8L"
2022-12-21 18:59:20+00:00,"Wreaths Across America is a great holiday tradition and an important way to honor America’s veterans. 

I’m glad to see it continue in West Virginia.  https://t.co/MyWOu6PIpj"
2022-12-21 15:33:21+00:00,"Last night, the Senate passed the National Heritage Area Act, which I am a proud cosponsor of. WV’s 4 National Heritage Areas preserve our state’s rich Appalachian history, and this bill ensures that they will continue to do so. I urge the House to pass this beneficial bill."
