Datetime,Text
2023-01-01 18:46:00+00:00,"#HappyNewYear! Paul and I would like to wish every Nevadan a joyful, peaceful, and prosperous 2023. I’m looking forward to another year working to deliver for the people of the Silver State! https://t.co/yzgei6JcQW"
2022-12-31 20:54:30+00:00,"It’s important to begin the year safe and healthy. Right now, free COVID-19 tests are available for every household in Nevada.
 
You can order them for you and your family here:
https://t.co/oM1jUGdkNb"
2022-12-30 19:46:30+00:00,"Earlier this month, the Senate passed my bill to ensure military sexual trauma assault survivors have trained professionals from @DeptVetAffairs by their side when they file for critical benefits. I have always stood with survivors as they work to heal, and I always will. https://t.co/PW0wLRgjOn"
2022-12-29 21:29:00+00:00,"I made sure this year’s funding bill would benefit hardworking Nevadans. From additional funding for behavioral health services to the expansion of affordable housing, I am working every day to meet the needs of those in the Silver State. https://t.co/I1ijOsNdFm"
2022-12-29 01:07:28+00:00,"It’s been a year since we lost my friend and mentor Harry Reid. His legacy of strong leadership, kindness, and service continues to inspire me and countless Nevadans. My thoughts are with Landra and the rest of the Reid family today."
2022-12-28 21:03:30+00:00,"I voted to pass the PACT Act so we can ensure veterans receive the quality care they need and deserve. Starting on January 1, @DeptVetAffairs begins processing PACT Act benefit claims, so make sure to file soon if you qualify. https://t.co/lbCO7SO9Hc"
2022-12-27 20:52:30+00:00,Manufactured housing is an important source of safe and affordable homes in Nevada. My bill I just passed as part of the government funding package will create a new program to preserve and revitalize manufactured housing communities.
2022-12-26 20:13:00+00:00,"Wishing a very happy birthday to @GovSisolak! You’ve done so much good for the Silver State, and I’ll always be proud to work beside you."
2022-12-26 15:55:30+00:00,"Happy Kwanzaa to all Nevadans lighting the kinara to celebrate African-American heritage and culture. Kwanzaa’s principles of unity, creativity, and faith are a useful light for all of us to follow into the new year."
2022-12-25 18:02:00+00:00,Feliz Navidad a cada familia que celebra hoy en Nevada y por todo el país. Espero que todos los nevadenses puedan disfrutar de la paz de la temporada navideña. https://t.co/PZTM9uO7Wg
2022-12-25 18:01:30+00:00,Merry Christmas to every family in Nevada and across the country celebrating today. I hope all Nevadans can enjoy the peace of the holiday season. https://t.co/AeXYmrlmYX
2022-12-24 20:53:00+00:00,"I was proud to vote to pass the Electoral Count Reform Act in this year’s omnibus package. This commonsense, bipartisan legislation will help modernize our electoral count system and help prevent another attack on our democracy."
2022-12-24 00:12:40+00:00,"Evelyn was a Reno icon who always led with warmth, spirit, and tenacity. She helped thousands of Nevadans, and I know her legacy will live on. Paul and I are sending our prayers to her family and loved ones."
2022-12-23 22:57:35+00:00,"As 2022 draws to a close, I look back at a year of delivering for Nevadans all across the Silver State. I fought to lower prescription drug costs, combat the climate crisis, expand access to affordable housing, and more! https://t.co/ELkhHTH1fX"
2022-12-23 20:23:00+00:00,I’m thrilled my bills to give us new tools in the fight against human trafficking are part of a bipartisan anti-trafficking package headed to the president’s desk. I’ll keep up this important work.
2022-12-23 18:37:00+00:00,"I’ve been dedicated to mental health issues throughout my time in the Senate, and I pushed for measures in the omnibus to expand mobile services and virtual peer support services. This will make an important difference to Nevadans navigating mental health crises."
