Datetime,Text
2023-01-02 20:45:52+00:00,"New year, new chance to sign up for a quality ACA healthcare plan.

Before January 15, take some time to find a plan that works for you and #GetCovered in 2023 at https://t.co/YFvaIQsuwW."
2023-01-01 14:08:22+00:00,"Happy New Year, folks!

I'm so proud of everything we were able to accomplish in 2022, and I'm looking forward to keeping up this progress in 2023."
2023-01-01 03:13:28+00:00,"In just a few hours, 2022 will come to a close.

As we ring in the new year, please celebrate safely so we can start 2023 on a safe, healthy note. 🎆"
2022-12-31 22:13:58+00:00,Another year delivering for working families. https://t.co/crYcMfT9Wp
2022-12-31 17:10:05+00:00,"Every American has the right to breathe clean, unpolluted air.

For the last five decades, the Clean Air Act has helped us protect that right and deliver cleaner air for all Americans—but we're not done. We must keep working to ensure the next generation can enjoy this right."
2022-12-29 17:42:34+00:00,"Today, 132 years ago, members of the Lakota Tribe were horrifically massacred at the hands of the United States government at Wounded Knee. 

That moment in our nation’s history can never be taken back, but it falls on all of us to never let up our work to right this wrong."
2022-12-26 16:44:34+00:00,Wishing a happy and healthy Kwanzaa to all those celebrating across Illinois and around the globe.
2022-12-25 14:08:54+00:00,"Merry Christmas! Wishing joy, love and holiday cheer to all.🎄"
2022-12-22 18:42:51+00:00,"One in four married women struggle with infertility—a stat that doesn’t include the countless LGBTQ+ or partnerless couples who need just a little medical help to have a child.

Just days ago, Republicans blocked my bill to protect their right to become a parent through IVF. https://t.co/X5qkFhSD7t"
2022-12-22 14:24:27+00:00,"Our country and the world remain in awe of the bravery of President Zelenskyy and the Ukrainian people who are so effectively defending their homeland against Putin’s unjustified and unjustifiable attacks.

The United States remains with you.🇺🇦 https://t.co/lxJjj9Ys47"
2022-12-21 23:07:48+00:00,"With reports of a severe winter storm coming, I urge all Illinoisans to take precautions, travel safely and follow the guidance of your local officials.
 
Let's all get to our holiday destinations safe and sound."
2022-12-21 15:47:33+00:00,"It was an honor to work alongside @SenatorLeahy. His decades of service to the people of Vermont and our entire nation will long be remembered.

Cheers to your next chapter!
https://t.co/CN4qoCrsAh"
2022-12-20 22:47:38+00:00,"Yep, you're reading this right. The same Republicans who claim to “defend family values” just blocked my bill to protect the right to start a family through IVF.

And yes, it's the ultimate, nightmarish blend of hypocrisy and misogyny that you think it is."
2022-12-20 21:56:37+00:00,"Without the miracle of IVF, my two beautiful girls might not exist.

Tonight, I’m urging my colleagues to pass my Right to Build Families Act so we can protect IVF and every American’s right to choose how they build their own family. https://t.co/HR6GfaHPGJ"
2022-12-20 21:30:14+00:00,"Let's be clear: they're coming for our right to access IVF next.

Soon, I'm going to the floor to ask for unanimous consent to protect IVF by passing my Right to Build Families Act.

If Republicans truly cared about being ""pro-life,"" they wouldn't try to stop us from creating it."
2022-12-20 18:24:07+00:00,I worked so hard to include the All Station Accessibility Program—or my ASAP Act—in the Bipartisan Infrastructure Law and I couldn't be prouder that it's already helping make Illinois and our nation a more inclusive place for the disability community. https://t.co/FtFwhcAQXy
2022-12-19 20:51:33+00:00,"Reminder: you have until January 15 to sign up for healthcare coverage under the ACA for 2023. 
 
Visit https://t.co/Exlg5xdc1G to find a plan that's right for you."
2022-12-19 15:18:45+00:00,"Every American has a right to clean drinking water—and with these environmental justice provisions I led in the Water Resources Development Act, we will continue to protect that right and make disadvantaged communities a priority.

Next up, the President's desk. https://t.co/KHLPGOxVEy"
2022-12-18 21:48:46+00:00,"Amid the horrifying rise in anti-Semitism across the nation and globe, I hope this year's Festival of Lights is a happy one for all those who celebrate. In darkness, let us remember to bring in the light—hate has no place here.

Happy Hanukkah and Chag Sameach!"
2022-12-17 21:41:08+00:00,"The expanded Child Tax Credit in the Democrats' American Rescue Plan was a lifeline to so many families—including the families of our servicemembers and Veterans. 
 
We must bring it back."
2022-12-17 05:28:52+00:00,"Absolutely tragic. My heart goes out to these kids’ families and loved ones, and to the entire Juarez HS community. Tonight, I am more convinced than ever that while we’ve made important progress Congress, we must do more to end senseless and preventable gun violence like this."
2022-12-17 01:16:20+00:00,"Today I visited one of @fly2ohare new @MAMAVA pods, thinking of nursing parents who have to figure out how to feed their hungry baby in a busy airport. I’ve been that mom before.

I'm so proud that through my FAM Act, I can help make air travel more seamless for families. https://t.co/CXwm25rzlG"
2022-12-16 23:17:17+00:00,"Proud to have the support of Captain Sullenberger, the Allied Pilots Association and the Association of Flight Attendants-CWA on my EVAC Act. We must act to make flying as safe as we know it can be—and as safe as Americans deserve. https://t.co/QyTRHQRt4j"
2022-12-16 19:58:23+00:00,"I can’t remember the last time I was on a flight like that—and I’d bet you can’t either.

That's why I introduced my EVAC Act to require the FAA to finally establish an evacuation standard that takes into account the actual, real-life scenarios we all face every time we fly."
2022-12-16 19:58:22+00:00,"These FAA tests are ignoring:
 
👉Passengers like me who live with a disability
👉Seniors who might take longer to get down the aisle
👉Kids and infants
👉Those who don't speak English fluently
 
And they aren’t adequately considering the ever-decreasing size of seats. And more."
2022-12-16 19:58:22+00:00,"Right now, the FAA requires that passengers be able to evacuate an aircraft within 90 seconds. But the simulation tests that help set this standard were only conducted with 60 able-bodied adults.

60 able-bodied adults.

That’s just not the reality of flying in America today."
2022-12-16 19:01:04+00:00,"I’m heading to O’Hare Airport to speak about my EVAC Act with @CaptSully, fellow pilots and flight attendants who know how important it is to bring our aircraft evacuation standard up to date—especially this busy holiday season.

This simply cannot wait. We must get this right."
2022-12-16 17:42:35+00:00,"There’s a reason they say FAA regulations are written in blood…

Let’s break down why we need to update the FAA’s aircraft evacuation standard. My EVAC Act is a proactive solution so we can keep the flying public safe. https://t.co/hwVKZuXp4T"
2022-12-16 16:14:48+00:00,"NEWS: The Senate passed the FY2023 NDAA!

While this bill isn’t perfect, it’s a strong bipartisan bill that’s now heading to @POTUS’s desk, and I'm proud it includes a well-deserved pay raise and several of my provisions that send a message to our troops: we have their back. https://t.co/CbGS0CrBCr"
2022-12-16 15:01:30+00:00,"I applaud Prime Minister Kishida’s strong leadership amid challenging security dynamics in the region, and I look forward to working together to help make Japan’s bold National Security Strategy a reality. Here’s my full statement: https://t.co/8yqEwmaipJ"
2022-12-15 20:31:17+00:00,"NEWS: With Roe thrown out by the Supreme Court, I’m proud to introduce the Right to Build Families Act with @PattyMurray and @RepSusanWild to protect every American’s right to access IVF and other assisted reproductive technology—no matter where they live.
https://t.co/8SYpRhMn90"
2022-12-14 14:30:35+00:00,"Holding every single one of those little ones and their teachers in my heart today as we mark the 10th anniversary of Sandy Hook.

For these 26 lives and every victim of gun violence, we must ensure a tragedy like this never happens again. https://t.co/uH5yH6QCMw"
2022-12-13 23:41:19+00:00,"The men and women of the @USNationalGuard never fail to answer the call to serve and selflessly commit themselves to the motto of “Always Ready, Always There.”
 
Always proud to have served with this family in the Illinois Army National Guard.
 
Happy 386th birthday!"
2022-12-13 21:24:06+00:00,"Today, love wins. 🏳️‍🌈♥️

With the Respect for Marriage Act now signed into law, every American can rest assured that their marriage has the same protections as other marriages under federal law. Exactly as it should be."
2022-12-12 20:35:11+00:00,"🚨HURRY: there are just 3 days left to sign up for a plan under the ACA that begins on January 1, 2023! 

Start the new year prepared and #GetCovered at https://t.co/Exlg5xuNqg."
2022-12-10 17:00:26+00:00,"Everyone—regardless of where they’re born—deserves to live in an equal and just world free from discrimination against their gender, race, religion or sexual orientation.

This Human Rights Day and always, I'm committed to protecting and expanding basic human rights everywhere."
2022-12-09 23:09:12+00:00,Saddened to hear State Senator Scott Bennett has passed away—he was always always a kind and helpful friend to me. Thinking about his family and loved ones today.
2022-12-09 22:44:37+00:00,"Access to reproductive care shouldn't be limited by the state you're in.

I'm so proud of what these healthcare workers are doing in Carbondale to provide care for those who need it.

Every woman everywhere deserves access to full reproductive care.
https://t.co/ATaysl88B5"
2022-12-09 00:04:38+00:00,"This Latina Women’s Equal Pay Day is the last Equal Pay Day we'll mark this year. 

That means, as hard as Latinas work, it still takes them nearly a full extra year to earn what their white male counterparts earned last year.

Enough. All women deserve equal pay for equal work."
2022-12-08 21:58:25+00:00,"Today, I'm proud to announce my EVAC Act with @SenatorBaldwin to require the FAA to finally establish evacuation standards that consider not just seat size, pitch and configuration, but also carry-on bags and passengers of different heights, weights, ages and abilities."
2022-12-08 21:58:25+00:00,"Imagine being on a crowded flight when the worst-case scenario happens: the crew tells you that you have 90 seconds to evacuate—but how can more than 150 passengers actually safely evacuate in less time than it takes to brush your teeth?

The flying public deserves better. https://t.co/On3GvDSacP"
2022-12-08 21:35:44+00:00,So grateful to hear Brittney Griner is on her way back home. Thank you @POTUS and your administration for your work to release Brittney from Russian custody. We must continue these efforts to secure the release of Paul Whelan and all other Americans wrongfully detained.
2022-12-08 16:21:49+00:00,"BREAKING: The House just passed the Respect for Marriage Act—officially sending it to the President's desk! 🏳️‍🌈

Every American should be able to marry who they love and know their marriage will have the same protections as other marriages.

What a great day for love and equality."
2022-12-08 01:36:46+00:00,"Proud my colleagues and I officially advanced David Capozzi’s nomination to the Amtrak Board of Directors today! If confirmed, he'll serve in the designated disability advocate seat on the board that I helped create through the Bipartisan Infrastructure Law.

Let's get this done!"
2022-12-07 20:56:32+00:00,My statement after being diagnosed with COVID-19 today: https://t.co/wgv7JBhEYM
2022-12-07 15:00:57+00:00,"No American should ever forget the horrific attack on Pearl Harbor—a date that forever lives in infamy. On the 81st anniversary of that fateful day, let us remember the patriots who lost their lives in the line of duty to our nation and honor the Greatest Generation."
2022-12-06 21:00:36+00:00,"On this day in our nation's history, the 13th amendment was ratified—finally abolishing the enslavement of Black Americans.

But racial injustice did not end there. It persists in our broken criminal justice system, police brutality and more.

Real systemic change cannot wait."
2022-12-06 20:04:57+00:00,"NEWS: the Preventing PFAS Runoff at Airports Act that I helped author is heading to @POTUS' desk to be signed into law! 

We've known for decades that PFAS chemicals pose a threat to our health, and I'm proud this bill will help us do more to reduce the spread."
2022-12-05 22:14:36+00:00,"PSA: You only have 🚨10 days🚨 left to find an affordable health insurance plan that begins on January 1, 2023 during the ACA’s open enrollment period. 
 
#GetCovered at https://t.co/Exlg5xvlfO today."
2022-12-05 17:18:36+00:00,"Today, we remember Rosa Parks and all those who set in motion the Montgomery Bus Boycott 67 years ago. While their historic demonstration lasted 381 days, we've seen the ripples of their work for racial justice and equality for generations. Let’s never lose sight of their vision. https://t.co/YzqJCK2c8e"
2022-12-03 23:48:02+00:00,"Happy 204th birthday, Illinois!🥳

Beyond proud to represent my fellow Illinoisans in the best state in the nation where we lift each other up, protect our rights and ensure everyone has an equal chance to succeed. https://t.co/seETyJa0hA"
2022-12-03 18:35:37+00:00,"This International Day of Persons with Disabilities, I'm proud of my work to help expand equal access for folks with disabilities.

With the Bipartisan Infrastructure Law, my ASAP Act was signed into law and is now helping finally make America’s transit stations more accessible. https://t.co/4siXdKF8FZ"
2022-12-02 22:42:47+00:00,"Wonderful to welcome Representative-elect Nikki Budzinski to Congress yesterday! Looking forward to teaming up to help make life easier, safer and more affordable for Illinoisans. https://t.co/vz1ybXM3T6"
2022-12-02 15:00:58+00:00,"Watch us compare wounds and talk about our recoveries in the full @CBSSunday Morning segment below 👇
https://t.co/Z5i99ES98Y"
2022-12-02 15:00:57+00:00,"After Ukrainian Soldier Oleksandr Chaika lost his leg fighting Putin's unjustifiable war of choice against Ukraine, it was an honor to share this moment with him and promise him that he will—without a doubt—be able to do everything he wants to in life. https://t.co/Wx14955dWo"
2022-12-01 22:37:05+00:00,"I’m glad the Senate's deal includes a 24% raise and improved healthcare benefits for union rail workers, but I am profoundly disappointed that we were unable to provide them with adequate paid sick leave.

No one should have to choose between their health and their paycheck."
2022-12-01 15:30:39+00:00,"This #WorldAIDSDay, we've made great progress toward improving education and treatments. But there's still more to do—together, we must continue working to improve the lives of the 38 million folks around the world living with this virus and eliminate the stigma for good."
2022-11-30 16:38:23+00:00,"One year ago, President Biden signed my bipartisan Protecting Moms Who Served Act to help address our nation's maternal health crisis and ensure the pregnancy complications of our women Veterans—including women of color—are not ignored or overlooked. Our work is far from over. https://t.co/yFLDkuj7zM"
2022-11-29 23:40:11+00:00,Love is love. https://t.co/QMa7xL6fvR
2022-11-29 21:32:39+00:00,"Heartbreaking news.

It was an honor to work with Rep. McEachin to address environmental injustices across the country and help protect those communities. He will be missed. 

Sending my condolences to his family, friends, staff and constituents as they mourn this loss."
