Datetime,Text
2023-01-01 19:11:18+00:00,Wishing everyone a happy and healthy New Year!
2022-12-31 21:35:24+00:00,"Wishing everyone a happy and safe New Year celebration tonight. Whatever your plans may be, please celebrate responsibly and don’t drink and drive."
2022-12-31 16:53:54+00:00,"Saddened to learn of Barbara Walters’ passing. She was a pioneer for women journalists and had a truly remarkable career. My thoughts are with her friends, family and loved ones."
2022-12-28 20:23:50+00:00,"Congress last week passed (and President Biden signed) a bill to update standards for personal care products like shampoo, deodorant &amp; cosmetics – the first safety update since 1938! Proud we got this bill passed to protect consumers from toxic chemicals.

https://t.co/rwHzaPZnXX"
2022-12-27 18:21:30+00:00,"Very pleased that Congress reauthorized the Trafficking Victims Protection Act last week. For more than two decades, this landmark law has provided much-needed resources to law enforcement and nonprofits around the country to prevent human trafficking and protect survivors."
2022-12-27 00:33:35+00:00,Wishing a happy Kwanzaa to all celebrating this week!
2022-12-25 19:36:33+00:00,Wishing everyone celebrating Christmas a very happy holiday!
2022-12-22 19:21:26+00:00,"California won big in this year’s government funding bill. It includes robust funding for several issues important to our state such as fighting wildfires, mitigating drought, ending homelessness and combating climate change.

https://t.co/2DjQsov2a1"
2022-12-21 18:46:22+00:00,"Yesterday’s 6.4 earthquake in Northern California is a good reminder to all Californians to review your emergency preparation plans. Secure your home. Be sure to have an emergency kit packed. 

Find more info on earthquake preparedness here: https://t.co/oMS3nkseQr"
2022-12-20 22:01:40+00:00,"Personal care products like shampoo, deodorant and cosmetics are inextricable parts of Americans’ daily lives. Yet the law governing their safety standards hasn’t been updated in more than 80 years. I’m delighted we will finally update it this week.

https://t.co/0yg9ktCUgR"
2022-12-20 19:18:43+00:00,"I’m excited our bill to phase out harmful drift gillnets was included in the omnibus and will become law. We must be better stewards of our oceans and fisheries and help transition the fishing industry to more sustainable and profitable alternatives.

https://t.co/WP1q4vhywH"
2022-12-20 16:55:55+00:00,I’m monitoring the situation in Northern California following this morning’s earthquake and will be sharing resources to assist those in need as they become available. This is a good reminder for all Californians to review their earthquake preparedness.
2022-12-18 22:28:58+00:00,Wishing everyone celebrating in California and all around the world a very happy Hanukkah!
2022-12-16 19:40:55+00:00,"The defense bill contains funding critical to bolstering California’s water infrastructure. It will help protect waterways, improve and maximize flood control and water storage, prevent stormwater pollution and advance important restoration projects.

https://t.co/HDAmpfHzeq"
2022-12-16 17:03:56+00:00,"The annual defense bill we passed last night included many California priorities. Importantly, it contains language to finish the job of repurposing the West LA VA campus to house homeless veterans. More on the provisions that will benefit California here:
https://t.co/rTNPH2zsgn"
2022-12-15 19:18:35+00:00,"We passed legislation this year with significant money for climate-smart agriculture. As the West’s megadrought continues to hurt farmers, I joined @SenAlexPadilla and our Western colleagues in calling on the USDA to use that funding to also address drought. https://t.co/YocdnHKNOu"
2022-12-14 19:34:00+00:00,It was a pleasure to meet with San Francisco DA Brooke Jenkins earlier this week to discuss public safety and ways we can best support local partners in law enforcement.
2022-12-14 17:39:18+00:00,"I worked closely with President Biden when he was in the Senate to pass the first Assault Weapons Ban. I remain hopeful that one day soon we’ll reinstate that law because it worked. It saved lives. Now, 10 years later, we owe it to the children and families of Newtown to do so."
2022-12-14 17:39:17+00:00,"The common thread between so many mass shootings is the use of military-style assault weapons. Since the Assault Weapons Ban expired in 2004, these weapons have proliferated across the country, all for the profit of gun manufacturers and the gun lobby.

https://t.co/lGzZHjh1SU"
2022-12-14 17:39:17+00:00,"As we reflect on the Sandy Hook massacre, let’s remember these children should be in high school today. They should be thinking about college and their future. Instead, 20 innocent children and six educators were brutally murdered by someone armed with AR-15 style assault weapon. https://t.co/kDyHVZjKWq"
2022-12-13 21:20:56+00:00,"Today is a historic day. Marriage equality has been reaffirmed, giving families peace of mind knowing their marriages will be protected by federal law. https://t.co/sbZz85h5ae"
2022-12-13 19:00:17+00:00,Happy 386th birthday @USNationalGuard!  Thank you for keeping California and our nation safe and secure.
2022-12-13 16:22:43+00:00,"This incredible achievement — conducted at California’s Lawrence Livermore National Laboratory — is a historic scientific breakthrough and key milestone for fusion research. To everyone involved on this project, great work!"
2022-12-12 17:22:46+00:00,Congratulations Mayor Bass! This is a terrific moment for Los Angeles and I can’t wait to work with you in this new role.
2022-12-09 19:00:01+00:00,"This bill will finish the job, allowing funds generated by any easements on campus to help build housing for homeless veterans. This is another step in our mission to repurpose the West LA VA campus, address homelessness and ensure veterans receive the care they deserve."
2022-12-09 19:00:00+00:00,"Congressman Lieu and I enacted a law last year allowing the VA to use funds generated on the West LA VA campus for new veteran housing, but the portion of that bill giving easement revenue the same treatment was not included.

https://t.co/TNgmbG989y"
