Datetime,Text
2023-01-02 17:22:22+00:00,"Happy New Year! As we look forward, let's take a moment to reflect on the 117th Congress, and celebrate everything that we’ve accomplished for Michigan and the American people over the last two years. 

#CongressInReview https://t.co/uw62lOKhVQ"
2023-01-01 18:31:58+00:00,"Today we celebrated the beginning of @GovernorWhitmer’s second term with @LtGovGilchrist, @MIAttyGen Nessel and @MichiganSoS Benson – and ushered in a historic new era of leadership for Michigan! https://t.co/oPbO5fBAre"
2023-01-01 00:22:54+00:00,Wishing everyone a safe and happy #NewYearsEve tonight! Enjoy celebrating!
2022-12-31 19:49:07+00:00,"This Congress, I'm proud that the Senate confirmed well qualified and diverse judges to the federal bench, including four highly-qualified Michiganders. Their legal experience and dedication to upholding the rule of law will serve Michigan and our country well. #CongressInReview https://t.co/p8R2iM1D4g"
2022-12-30 19:08:59+00:00,"We have a solemn obligation to care for all our men and women in uniform after they complete their service. 

The PACT Act will help fulfill that promise by providing  health care for veterans who were exposed to toxic chemicals during their service. #CongressInReview https://t.co/Xsi9zItXQK"
2022-12-29 16:24:57+00:00,"I'm proud to have helped author and pass the CHIPS Act, which includes a provision @SenStabenow and I secured that will boost the American auto industry's manufacturing of semiconductor chips and strengthen our economy. 

#CongressInReview https://t.co/A6k4Sx1qt2"
2022-12-28 21:43:10+00:00,"The Inflation Reduction Act is historic legislation that's already working to cut costs for folks in Michigan &amp; across the country, create jobs, and tackle climate change.

#CongressInReview https://t.co/cn7MTHBhyU"
2022-12-28 17:52:36+00:00,"Four years ago Russian authorities detained Michigander Paul Whelan. It’s devastating that his wrongful imprisonment continues.

I’ll keep pushing for efforts to safely bring him home and end this nightmare for Paul and his family."
2022-12-27 19:13:13+00:00,"The bipartisan infrastructure package we passed into law is allowing us to make urgently needed investments in Michigan's aging infrastructure, support good-paying jobs, including union jobs, and protect our Great Lakes. 

#CongressInReview https://t.co/83NOO4AjsK"
2022-12-26 22:38:06+00:00,"The last two years have been historic –– we've passed landmark legislation that creates jobs, strengthens our economy &amp; domestic manufacturing, and supports our veterans. 

I'm excited to take a look back at the 117th #CongressInReview. https://t.co/tYrG5qAhfU"
2022-12-26 18:59:33+00:00,Wishing all the Michiganders observing a Happy Kwanzaa full of celebration and joy!
2022-12-25 17:40:27+00:00,"To everyone celebrating: Merry Christmas, from my family to yours!🎄"
2022-12-24 22:49:22+00:00,"This Christmas Eve I’m thinking of everyone who serves our fellow citizens and country –– whether at home or abroad –– especially the folks who are working or aren’t home for the holidays. 

We owe them &amp; their families our gratitude."
2022-12-23 19:18:59+00:00,"The critical investments in this year’s national defense bill will support Michigan’s defense sector and the men &amp; women in uniform across our state.
 
It includes a well-deserved pay raise for our troops — and will bolster our national security. https://t.co/TAC6KUlNQq"
2022-12-23 16:14:38+00:00,Great partnering with you @FEMA_Deanne to get the STORM Act program started!
2022-12-22 22:20:33+00:00,As Michiganders we know how to handle a big storm — but be sure to stay safe out there during your holiday travels! https://t.co/UTPT31uMll
2022-12-22 19:48:39+00:00,"We just passed a funding bill that helps improve the lives of Michiganders! It includes federal resources for important local projects, helps protect the Great Lakes, invests in manufacturing, upgrades infrastructure &amp; supports Michigan’s defense footprint.https://t.co/FtxISvpCNm"
2022-12-22 01:58:40+00:00,My statement following Ukraine President Zelensky’s address to Congress: https://t.co/2FXcQgAirN
2022-12-20 22:52:54+00:00,"The government funding bill includes investments that will benefit Michigan, including:
 
🌊Great Lakes restoration
🏗️Resources for high-impact public projects around the state
👷Funding the CHIPS Act &amp; bolstering manufacturing
🪖Supporting veterans and our national defense"
2022-12-20 21:46:23+00:00,"My bipartisan bill to help reduce PFAS contamination is now law! It’ll make it more affordable for airports to prevent the spread of PFAS chemicals - which will help protect our environment, Michigan families, first responders and the Great Lakes.
https://t.co/hzMl7dse5Q"
2022-12-19 21:59:51+00:00,"I joined @AHammoudMI &amp; Dearborn Station 2 today to highlight the need to pass my bipartisan bill to extend federal grant programs for local fire departments. Communities count on these resources to hire firefighters, purchase vehicles &amp; equipment, and keep first responders safe. https://t.co/cCDLNqjwto"
2022-12-18 21:02:25+00:00,Happy Hanukkah to all those beginning their celebrations tonight in Michigan and across the country!
2022-12-18 18:52:35+00:00,"Foreign lobbying that seeks to influence our political process can pose a serious national security threat, and my bill to help prevent that will soon become law."
2022-12-18 00:50:14+00:00,"Go @FerrisFootball!

https://t.co/SVVXEZEdpT"
2022-12-17 17:08:32+00:00,"Attacks &amp; threats against houses of worship in Michigan &amp; across the country are increasing –– spurred on by hate like white supremacy, anti-Semitism &amp; Islamophobia. The national defense bill that will soon be law renews a key security funding program to protect our communities."
