Datetime,Text
2023-01-01 04:59:58+00:00,2022 has been an incredible year — but I'm determined to make 2023 even brighter. Wishing you all a very happy New Year!
2023-01-01 01:25:24+00:00,2022 has been one of my most productive years in Congress ever. Here's just a few of the victories I'm proudest of. https://t.co/3cCxz9t2Kf
2022-12-30 20:12:56+00:00,"This year, @JoeBiden signed two of my bills protecting survivors of sexual assault and harassment into law — the #SpeakOutAct and the #EndForcedArbitration Act. We're sending a message loud and clear: Survivors will no longer be silenced. https://t.co/CcSnQICwCj"
2022-12-29 20:02:39+00:00,"Even if it takes nearly a decade of hard work, the most important fights will always be worth it. So despite all the hurdles we faced, I refused to back down from the fight to reform our military justice system — and this year, we finally won. https://t.co/OJrlwGPeCP"
2022-12-28 19:18:30+00:00,"Nyasia Pryear-Yard was just 17 when she was killed by a stray bullet. For nearly a decade, her mother Jennifer and I worked together on a bill to make gun trafficking a federal crime. This year, she and I got to go to the White House together to watch @JoeBiden sign it into law. https://t.co/rhFT4b5yY9"
2022-12-27 18:10:21+00:00,I worked alongside veterans and families for years on the #PACTAct. The fight to pass it into law this summer was tougher than we ever expected. But they were willing to give everything to defend our country—so I wouldn't back down from the fight to get them the care they earned. https://t.co/09z8AVqOq4
2022-12-27 00:02:27+00:00,So grateful I get to spend this time with my boys. I hope you all had a wonderful Christmas with your loved ones! https://t.co/W0x1s8bWJl
2022-12-26 20:44:40+00:00,"Devastated for the families of those we've lost during the blizzard in New York. Our hearts are with you.

Stay safe, stay off the roads. Let snow plows and first responders do their jobs.

Thank you @JoeBiden for promising to sign our emergency aid request. Relief is coming."
2022-12-25 20:28:33+00:00,"May this holiday season bring you peace, joy, and much love! From my family to yours, we wish you a very merry Christmas. https://t.co/px4mJCEYEt"
2022-12-24 22:58:25+00:00,"Proud to join @TheRevAl at the #NANSaturdayActionRally for their Christmas Dinner. Thank you all for sharing the gift of generosity, kindness, and love today. May this holiday bring many blessings to us all. Wishing everyone a very Merry Christmas! https://t.co/KJBTwyCdaX"
2022-12-22 23:53:27+00:00,"✅ Fighting SNAP skimming and fraud and allowing families to reclaim benefits that were stolen from them
✅ Expanding access to summer meals for kids"
2022-12-22 23:53:27+00:00,"✅ Establishing a Maternal Mental Health Hotline and expanding lifesaving grants
✅ Protecting pregnant workers and ensuring they're given reasonable accommodations at work
✅ Helping low-income families heat their homes"
2022-12-22 23:53:26+00:00,"The Senate passed our end-of-year funding bill!

I'm especially proud that my amendment to help close the funding gap for the 9/11 Health Program passed, ensuring lifesaving care for our heroes won't be cut off.

Here are some of the other major wins I fought for:"
2022-12-22 22:48:48+00:00,"And we're very proud of it! Thanks for sharing, Chip. If you're ever interested in joining me and @AOC to create good, high-paying jobs for your constituents too, give us a shout!"
2022-12-22 21:50:28+00:00,"The Senate just passed my amendment to help close the funding gap for the 9/11 Health Program.

Lifesaving health care for our heroes won't be interrupted.

We still have a lot of work to do, but families can rest easier over the holidays knowing their loved ones are cared for."
