Datetime,Text
2023-01-02 21:10:14+00:00,Congrats to @HailStateFB on a great win against @IlliniFootball in the @ReliaQuestBowl! It goes without saying Coach Mike Leach would be very proud. #HailState #SwingYourSword
2023-01-01 15:00:02+00:00,"2022 certainly had its challenges… from economic turmoil, to the war in Ukraine, to a crisis at our border, and more. Still, I remain optimistic that we, as a nation, have better days ahead in #2023. #HappyNewYear! https://t.co/KDEeBmOUu5"
2022-12-31 19:02:00+00:00,Let the countdown to a #NewYear and new beginnings commence! Hope everyone in Mississippi and around the country stays safe as they gather to celebrate #NewYearsEve! https://t.co/83Aeo0rHtA
2022-12-28 16:05:00+00:00,"On #PledgeOfAllegianceDay, we reflect on the importance of the words in our pledge, and everything it stands for: 'One nation under God, indivisible, with liberty and justice for all.' https://t.co/BoyV0sG65e"
2022-12-25 13:30:30+00:00,"This #Christmas, we must remember that we can worship freely thanks to the service of our country’s brave men &amp; women in uniform, many of whom are sacrificing their own holidays to keep our nation safe &amp; free. May God fill your life with His many blessings! #MerryChristmas 🎄🎁 https://t.co/QFfqm9WWP9"
2022-12-24 19:00:00+00:00,"“She will bear a son, and you shall call his name Jesus, for he will save his people from their sins.” Matthew 1:21. Wishing all Mississippians a very Merry #ChristmasEve! Stay warm, and God bless you all! https://t.co/6N1mKh917u"
2022-12-23 15:30:00+00:00,👇
2022-12-22 14:45:00+00:00,"As Christians, our celebrations may differ from home to home, enlivened with our own special family traditions. But we're united in what it is we're celebrating: the birth of our savior, Jesus Christ. I hope everyone enjoys a warm &amp; safe #Christmas, surrounded by loved ones.🎄 https://t.co/Nd924PNKGv"
2022-12-21 22:53:37+00:00,"Good news for Mississippi: The Senate has confirmed Bill Renick to serve on the @TVAnews Board, restoring Mississippi representation. I look forward to Bill’s service on this important body, and know he will work hard for Mississippi, TVA, and its customers."
2022-12-21 17:34:22+00:00,"It's past time we return to policies that were actually working for our border security. 
✅Resume construction of the border wall
✅Resume 'Remain in Mexico'
✅End 'Catch &amp; Release' 
✅Ensure our border agents have the resources they need to successfully carry out their jobs"
2022-12-21 16:00:01+00:00,"A heartwarming story about beautiful families finding their beginnings. Adoption is such a blessing, not only for the children who find a loving home, but for the parents, too. ❤️"
2022-12-21 14:54:15+00:00,"My heart is with those gathering today to honor the lives of Sgt. Steven Robin and Officer Branden Estorffe, who were killed in the line of duty. I am humbled by their service and sacrifice, and pray for their families and loved ones during this trying time."
2022-12-20 22:30:00+00:00,"Mississippi is going to be affected by dangerously cold temperatures this week. Now is the time to get prepared! Stay safe, and stay WARM! 🥶"
