Datetime,Text
2023-01-02 20:54:48+00:00,"As the calendar turns to 2023, now is the time to save both money and energy. Learn how: https://t.co/55ICli7X3z"
2023-01-02 20:49:31+00:00,"New year, new Mayor of Providence! Congrats to Brett Smiley on becoming the 39th mayor of @CityofProv! Looking forward to working together w/ @PVDMayor to deliver sustainable solutions &amp; positive results. https://t.co/o9xPqrOwic"
2022-12-31 23:48:30+00:00,Happy 2023! Hope you all have a safe &amp; joyous celebration this New Year’s Eve and that the coming year brings hope &amp; prosperity for you &amp; your loved ones. #HappyNewYear #NYE2022 https://t.co/scX1TXTZr1
2022-12-30 19:22:50+00:00,"We need to take urgent action to address the growing need for behavioral &amp; mental health services across RI &amp; the nation. Thanks to Tides Family Services &amp; @CCare_RI, Pawtucket now has accessible &amp; affordable services through the NEXO Center.
https://t.co/tV2vg2VPYG"
2022-12-30 17:07:03+00:00,"Last month I helped welcome @SecRaimondo back home to unveil a $5.5M broadband grant to upgrade RI’s network &amp; provide affordable, reliable, &amp; high-speed internet for all RIers. Expanding &amp; improving internet access helps expand opportunity for all!
https://t.co/0XCveHvC2U"
2022-12-30 15:56:33+00:00,"The @AutismProjectRI does tremendous work supporting neurodiverse RIers &amp; I was glad to deliver $100,000 federal grant to help TAP create training videos for first responders to gain info &amp; insight on helping those w/ autism &amp; developmental disabilities.
https://t.co/hRZH4nCQJc"
2022-12-29 19:56:22+00:00,"I really ❤️ RI’s bike paths.
Was happy to help deliver federal funds &amp; cut the ribbon in September to replace the bridges crossing the Barrington &amp; Palmer Rivers on the East Bay Bike Path.
https://t.co/pSo6oVmZ8u"
2022-12-29 18:35:15+00:00,"The PACT Act was a huge victory for our veterans, with largest expansion of the @DeptVetAffairs in recent history. I was proud to be with some of RI’s veterans as the bill became law &amp; we made progress in fulfilling our moral obligation to care for veterans in need. https://t.co/FuSBbluWIy"
2022-12-29 17:29:12+00:00,"In July, I rallied w/ health experts &amp; seniors to lower Rx drug costs. Soon thereafter, we passed historic drug pricing reform to lower Rx drug prices &amp; empower Medicare to negotiate directly with drug companies. This new law benefits taxpayers, seniors, &amp; working families. https://t.co/B84G6XNJY4"
2022-12-28 21:25:29+00:00,"I’ll miss my colleague @JimLangevin in Congress next year. Back in June, we highlighted how federal historic tax credits we worked together to secure are helping breathe new life into West Warwick’s storied Arctic Mill.
https://t.co/yi7Lu301VJ"
2022-12-28 17:57:15+00:00,"Preserving, protecting, &amp; revitalizing RI’s waterways is critical to our environment &amp; economy. In May, we delivered more than $40 million in federal funds through EPA’s Southeast New England Program for coastal watershed restoration. https://t.co/bFpUahPewR"
2022-12-28 16:17:29+00:00,"Apprenticeship programs help many RIers find pathways to a brighter future. In April, @AS220 showed me how their Creative Apprenticeship Program connects folks with hands-on, paid opportunities to learn new skills &amp; build towards a creative career.
https://t.co/Ah2EnPYUJx"
2022-12-27 21:02:48+00:00,"Throughout this past year, RIers have shown tremendous support for the people of Ukraine. Back in March, I joined @NIROPE, @OSJobLot, @RhodyTrans, @ArpinVanLines, &amp; others to package &amp; deliver supplies &amp; humanitarian aid for Ukraine. https://t.co/leKjIzvHlN"
2022-12-27 17:32:11+00:00,"In February, @POTUS signed a law to rename the Slatersville Post Office in honor of North Smithfield’s Spc. Matthew Turcotte, who was tragically killed in the line of duty in 2017. It was my honor to join Matthew’s friends &amp; family at the ceremony in July.
https://t.co/91LkzskfOw"
2022-12-27 16:34:27+00:00,"In January, I welcomed @SenatorTester &amp; @SecNav around Newport’s Naval Undersea Warfare Center. Got to boast about RI’s vital contributions to our nat’l defense – I’m proud of our talented workers!
https://t.co/E8So7EYodI"
2022-12-27 16:30:05+00:00,"It’s my honor to rep RI in the U.S. Senate. As the New Year approaches, I wanted to reflect on 2022 and some of the tremendous progress we’ve made together. Here’s a look back on some of my favorite small moments throughout the year: 🧵"
