Datetime,Text
2023-01-01 17:48:30+00:00,"Hello 2023! 🎉 Wishing a very happy New Year to all Nevadans. May it be filled with health and happiness.

¡Le damos la bienvenida al 2023! 🎉 Les deseo a todos los nevadenses un año nuevo muy feliz. Que sea lleno de salud y felicidad."
2022-12-31 00:49:08+00:00,"Each month, we highlight a Nevada woman in STEM who is breaking down barriers and serving as a role model for young girls and women across our state.

Check out the 12 incredible #WomenInSTEM we highlighted this year! https://t.co/g59ZRwffZj"
2022-12-30 17:50:58+00:00,"ICYMI: My bipartisan bill to strengthen tourism in NV &amp; across the country is now law.

Travel &amp; tourism are key to our state’s economy &amp; workforce, &amp; now there will be someone in the federal government tasked with implementing a national strategy.
https://t.co/cyNjfTUE5m"
2022-12-30 00:33:51+00:00,"Thank you to my friend 
@yairlapid for your service &amp; leadership as Israel’s Prime Minister. I know you’ll continue working to strengthen the U.S.-Israel relationship, promote regional peace &amp; security, defend democracy, combat antisemitism, &amp; fight rising bigotry &amp; intolerance."
2022-12-29 01:52:34+00:00,"Sam Lionel dedicated his life to  bettering NV – he saw Las Vegas’ potential and invested in growing our city. He served his country and his community with pride. He was a friend and a leader. My thoughts are with his family and loved ones.
https://t.co/svpCS9OUgw"
2022-12-28 23:35:00+00:00,"Nevada is home to incredible wildlife that makes our state special.

On the anniversary of the enactment of the Endangered Species Act, we must recommit to protecting threatened and endangered wildlife for generations to come."
2022-12-28 15:30:00+00:00,"Harry Reid was a poor kid from Searchlight who went on to transform Nevada &amp; the country during his decades of service in the Senate.

It's been one year since we lost him, but his memory &amp; his legacy continue to live on.

Sending my love to Landra &amp; the entire Reid family today. https://t.co/suK3XG4f48"
2022-12-27 19:34:30+00:00,"ICYMI: Better access to stable, high-speed internet is coming to Nevada thanks to the Bipartisan Infrastructure Law I helped write and pass.

These broadband investments will make life a little bit easier for Nevadans across our state.
https://t.co/9N5cVWQmGW"
2022-12-26 21:56:58+00:00,"Happy Birthday, @GovSisolak! Thank you for everything you’ve done to support Nevada families &amp; make our state a better place to live."
2022-12-26 17:00:01+00:00,"To all those celebrating in Nevada and across the country, happy first day of #Kwanzaa!

I hope you have a joyful holiday. https://t.co/HuJvNNGokD"
2022-12-25 15:30:00+00:00,"Merry Christmas! 🎄 May your day be full of joy and time with the ones you love.

¡Feliz Navidad! Que hoy día esté lleno de alegría y tiempo para compartir junto a sus seres queridos. https://t.co/DPFRZ89RlY"
2022-12-24 23:00:02+00:00,"Wishing a Merry Christmas Eve to those celebrating. I hope it's full of family, food, and a @Raiders win!

Les deseo una Feliz Nochebuena a todos los que celebran hoy. Espero que la pasen en familia y con sus seres queridos. Y esperemos que los @Raiders ganen!"
2022-12-24 20:41:04+00:00,"¡Encantada de celebrar los 200 años de relaciones bilaterales entre los Estados Unidos y México!

Espero que sigamos trabajando juntos durante muchos años más."
2022-12-24 20:41:04+00:00,"Glad to join in celebrating 200 years of U.S.-Mexico bilateral relations!
I look forward to continuing to work together for many years to come. https://t.co/P9MOWzlnrL"
2022-12-23 19:13:29+00:00,"As we look back on 2022, I’m proud of everything my office and I were able to accomplish for Nevadans through casework, bipartisan legislation, and community outreach.

Here are some of our accomplishments by the numbers. ⬇️ https://t.co/n1M5yP7pff"
2022-12-23 17:26:27+00:00,"2022 was a big year! We accomplished so much for NV – creating good-paying jobs, lowering health care costs, tackling gun violence, supporting our military, and so much more. https://t.co/IUbVSwUthC"
2022-12-22 20:07:34+00:00,"The 2023 bipartisan government funding bill has passed the Senate!
 
It includes major wins for NV I helped secure, including provisions for:
✅Travel &amp; tourism
✅Affordable housing
✅Veterans
✅Mental health
✅Law enforcement
✅Fire suppression
✅Cybersecurity
✅STEM education"
2022-12-22 14:29:51+00:00,"Ukrainian President @ZelenskyyUa has shown immense resilience, bravery, and valor in the face of unprovoked Russian aggression and brutality.

It's an honor to welcome him to the United States Capitol and show him that we continue to stand firmly with Ukraine. https://t.co/UPuKzBqJ7M"
2022-12-21 22:59:35+00:00,"NEWS: The Senate has *passed* my bipartisan bill with @MarshaBlackburn, the Civilian Cyber Security Reserve Act, to ensure @CISAgov is able to quickly mobilize qualified civilian cybersecurity personnel in times of crisis. This is a big cybersecurity win for our nation."
2022-12-21 21:23:16+00:00,"🚨 My bipartisan Data Mapping to Save Moms’ Lives Act is now law!

Here's how this bill works to improve outcomes for expecting mothers and save lives. ⬇️ https://t.co/lWqC8aCPtt"
2022-12-21 20:08:24+00:00,"As a member of @SASCDems, I was proud to help shape this year's national defense bill and secure some key bipartisan wins for Nevada and our national security.
https://t.co/FXiLlulIbu"
2022-12-21 18:50:25+00:00,"We're proud to share that this year's bipartisan funding bill includes over $167 million for 85 projects across Nevada. These projects will invest in public safety, clean water, mental health services, infrastructure, and more."
2022-12-20 23:46:25+00:00,"Excited to share that @NTIAgov has awarded $5.7M to help ensure all Nevadans have access to high-speed internet!

The grants, which come from the Bipartisan Infrastructure Law I helped write and pass, will help with the planning, deployment, and adoption of broadband across NV."
2022-12-20 20:56:37+00:00,"We must do everything we can to protect our veterans’ personal information and medical records.

I'm glad to see the Senate pass my bipartisan bill with @MarshaBlackburn to ensure the VA addresses this issue.

Next stop: @POTUS desk to be signed into law!"
2022-12-20 20:21:44+00:00,"Today we bid farewell to my friend @SenatorLeahy as he retires after serving the state of Vermont for decades.

His wisdom and steadfast leadership will be missed in the Senate. Wishing him a wonderful retirement!"
2022-12-20 18:25:40+00:00,".@ChrisMurphyCT learned the hard way – never bet against Las Vegas!

Thank you friend for paying up on our WNBA bet, and congratulations again to the @LVAces on an incredible season. 🏀

Victory sure is sweet! https://t.co/LQ9kmDTW4j"
2022-12-20 17:47:53+00:00,"This is a huge win for NV: my bipartisan bill to strengthen U.S. travel and tourism is included in this year’s government funding legislation.

This industry and its workforce are the backbone of our state’s economy and I will keep fighting until this bill is signed into law."
2022-12-19 19:55:05+00:00,"Awesome to see @unevadareno students once again clinch a top spot in the @NatlCyberLeague Fall 2022 competition season! Investing in our nation's cybersecurity workforce is critical, and I'm glad to see the future of Nevada's cyber workforce is so strong."
2022-12-19 18:58:52+00:00,"Amidst a wave of anti-Jewish bigotry &amp; violence, @gillibrandny, @SenGaryPeters, &amp; I are calling on Senate leaders to robustly fund @FEMA's Nonprofit Security Grant Program to protect communities from violence. As a former synagogue president, I know how critical this funding is."
2022-12-19 16:58:51+00:00,NEWS: Our bipartisan bill to help tackle human trafficking by requiring the posting of the national human trafficking hotline in public transit areas and restrooms is on its way to @POTUS to be signed into law.
2022-12-19 02:00:00+00:00,"From my family to yours, happy Hanukkah!

To all those celebrating, I hope your Hanukkah is a joyous holiday filled with love and light."
2022-12-18 17:52:50+00:00,"Built in 1860 to provide protection for early settlers, Fort Churchill State Park is located in Lyon County &amp; makes for a great trip to learn more about our state's rich history. #TeamRosen recently stopped by Buckland Station to learn more. https://t.co/JXlUuRjF5Z"
2022-12-16 20:26:21+00:00,"I was proud to help pass the bipartisan PACT Act to ensure all toxic-exposed veterans have access to the health care they deserve. Don't miss the @VALasVegas North Las Vegas VA Medical Center town hall to help vets seeking benefits under this new law.

HAPPENING TOMORROW! ⬇️⬇️"
