Datetime,Text
2023-01-01 14:07:43+00:00,Wishing everyone a happy New Year from Bobbi and me. https://t.co/VMsbxsSIki
2022-12-30 21:07:24+00:00,Let’s go cowboys! #ArizonaBowl #GoWyo
2022-12-30 17:07:38+00:00,".@POTUS is raising from the dead the failed policies of the Obama admin. The #WOTUS rule is one of the worst offenders. Make no mistake, this isn’t about protecting waterways. Americans deserve clean water and clear rules – not more government overreach.
https://t.co/yOK8tcJVP7"
2022-12-25 14:29:24+00:00,Bobbi and I wish you and your family a very Merry Christmas. https://t.co/7d4L7HHSgT
2022-12-21 20:12:02+00:00,Congrats to Riverton’s Ruby Calvert on being confirmed by the Senate to serve a second term on the Corporation for Public Broadcasting board. Ruby will continue to represent Wyoming &amp; rural America well on the CPB board. https://t.co/3h1T6cAAEY
2022-12-21 18:06:47+00:00,"The House needs to take up and pass this bill as soon as possible.
https://t.co/IlwJlD2cBA"
2022-12-21 18:06:47+00:00,My bill with @SenTinaSmith to improve rural health care passed the Senate. We are one step closer to ensuring Wyoming’s State Office of Rural Health has the critical resources needed to give our patients in rural settings the quality of care they deserve.
2022-12-20 01:32:07+00:00,"Great news from @UR_Energy about their plans to restart the Lost Creek uranium facility in Wyoming. The more uranium we mine in America, the less we depend on Russia. This is a win for American energy workers and our national security."
2022-12-17 19:36:19+00:00,Casper took part in National Wreaths Across America Day. The Natrona County GOP Women do an incredible job organizing the ceremony &amp; making sure there are enough wreaths to lay on veterans graves in every cemetery in Casper. Thanks to the volunteers who make this event possible. https://t.co/WQkX0yWC57
2022-12-15 19:47:34+00:00,"As we prepare to celebrate Christmas, please remember our service members stationed overseas. This includes the Wyoming Marines &amp; Airmen I spent Thanksgiving with 16 time zones away in Japan. The people of Wyoming are proud and grateful for what they’re doing for all of us. https://t.co/cZh0zEJN8R"
2022-12-14 18:44:48+00:00,"As a doctor, I know how critical it is for Medicare to meet the health care needs of American seniors. That’s why @SenWhiteHouse &amp; I introduced a bipartisan bill to extend a key incentive program for health care providers through Medicare.  https://t.co/xAONbBOkbp"
2022-12-14 15:18:25+00:00,Clearly the president is lying about his record on drilling. Even the president's own @interior staff couldn't spin their way out of it.  https://t.co/r6dk1Vhgjx
2022-12-13 23:12:38+00:00,"Wasteful Washington spending has brought 40-year high inflation. Since @POTUS took office, the American people’s savings are at all-time low, credit card borrowing and rates are up, and Americans just feel that there’s no end in sight. https://t.co/EciwXPDbsL"
2022-12-13 23:05:05+00:00,I’ve introduced legislation to make this a reality &amp; I’ve repeatedly called on DOE to accelerate &amp; expand its efforts. The Biden admin must consider &amp; implement every option to make sure @TerraPower’s Natrium reactor is fueled with American-made fuel. https://t.co/kgfJs8C8X0
2022-12-13 23:05:05+00:00,".@TerraPower’s announcement underscores what I’ve been saying for years: America must reestablish itself as the global leader in nuclear energy. Instead of relying on our adversaries like Russia for uranium, the United States must produce its own supply of advanced nuclear fuel."
2022-12-13 19:37:28+00:00,"It's 12 days till Christmas and @JoeBiden is the Grinch who stole Christmas. This year for Christmas, families are spending $5,000 more than they were right before Joe Biden became president. The solution is to cut Washington wasteful spending and unleash American energy. https://t.co/Wa5s39mgFm"
2022-12-13 18:31:22+00:00,"Sad to hear the news about Coach Leach’s passing. Husband, father, coach, innovator, and @CodyHighSchool graduate. A larger-than-life character whose contributions on and off the field won’t be forgotten."
2022-12-13 14:14:00+00:00,"Holiday cheer is coming at a much higher cost this year because of Joe Biden’s fiscal insanity. From ornaments and lights to electricity and groceries, Americans are paying more while getting less. 
https://t.co/NKnpeeGrT5"
2022-12-10 17:04:57+00:00,"On December 10, 1869 Wyoming Territorial Governor John Campbell signed the first bill into law in the U.S. granting women the right to vote. We recognize today as #WyomingDay and take pride in being a leader in women’s suffrage. Photo credit: @librarycongress https://t.co/QFLaXQQnJj"
2022-12-09 20:48:51+00:00,Congratulations to Judge Ed Buchanan for his appointment to Wyoming‘s Eighth Judicial District. Ed’s dedication to public service and leadership experience gives him a unique perspective and will allow him to serve with integrity and honor. https://t.co/sArzOYrSab
2022-12-09 20:17:10+00:00,Senator Lummis is a champion for western issues and devoted to defending the multiple-use of our public lands. She will represent Wyoming and the West well in her new role as chairman of the Senate Western Caucus.
2022-12-09 19:16:37+00:00,"Christmas is in full swing in downtown Torrington! While stopping in for a sweet treat at The Bread Doctor Bakery, several students from Lincoln Elementary, Torrington Middle and High Schools popped in to share the holiday spirit with handmade ornaments for downtown businesses. https://t.co/HTHP6tJFgd"
