Datetime,Text
2023-01-01 14:31:43+00:00,"Today as we turn our calendars to 2023, Mikey and I would like to wish you much health and happiness in the year ahead. https://t.co/M8jR58pVSn"
2022-12-31 17:23:43+00:00,"The Biden admin’s Green New Deal agenda threatens the reliability of the grid, which is a real danger as we face severe winter weather. President Biden needs to take the handcuffs off U.S. energy producers and stop undermining baseload power sources, incl coal. https://t.co/A4L6uwF6hG"
2022-12-29 21:00:55+00:00,"Along with @SenatorTester, we are leading our northern border state colleagues in urging OMB Dir. Young to prioritize including resources to properly staff and secure the northern border as part of the FY24 President’s Budget Request for DHS. https://t.co/N2JdwQrTK0"
2022-12-28 20:20:47+00:00,"This SCOTUS ruling to keep Title 42 in place is a step in the right direction, but the Biden admin needs to change course and take real action to address the illegal immigration crisis at our southern border.  https://t.co/e7DOi1d9YH"
2022-12-25 13:33:03+00:00,"Merry Christmas! Mikey and I would like to wish our very best to everyone across North Dakota. As we gather with family and friends, may we all experience peace and joy as we remember the true spirit of Christmas and reflect on the real reason we celebrate. https://t.co/BkiuvoY633"
2022-12-23 16:21:44+00:00,"Not only are we urging Sec. Austin to drop it, but I’ve introduced legislation to block the costly environmental regulations on federal contractors and will lead a Congressional Review Act (CRA) to rescind the rule should it be finalized. https://t.co/94g6ebJx7v"
2022-12-23 16:21:44+00:00,"DoD’s proposed rule on contractors’ GHG emissions disclosures is self-defeating. It undercuts our industrial base, drives up costs &amp; puts environmentalism over national security. That's why I am leading my colleagues in calling on Sec. Austin to rescind the rule immediately."
2022-12-22 19:58:26+00:00,My statement after opposing the $1.7 trillion omnibus spending bill: https://t.co/dh33f5kEM9
2022-12-20 20:05:18+00:00,"We congratulate Tammy Miller on her appointment as Lieutenant Governor, and look forward to working with her on behalf of the people of North Dakota."
2022-12-20 20:05:17+00:00,"For more than a decade, Brent Sanford dedicated his time and efforts to bettering our state and helping the people of North Dakota. We are grateful for his service, and Mikey and I wish him the best of luck on his next chapter."
2022-12-20 17:13:49+00:00,"Abby is from Jamestown and spent her fall semester in DC participating in the U.S. Senate Page Program’s fall 2022 session. This prestigious, academically rigorous program provided her with the unique opportunity to study the democratic process from within the halls of Congress. https://t.co/MheKmLYNXG"
2022-12-20 00:19:25+00:00,"With the surge of illegal crossings at the border, CBP needs all available tools to do their job. SCOTUS blocking the end of Title 42 is a good step, but the Admin needs to enforce our laws instead of incentivizing illegal immigration. Border security is national security."
2022-12-19 19:19:25+00:00,It was an honor to participate in Wreaths Across America this weekend. We had a tremendous turnout to help place wreaths on headstones at the Fargo National Cemetery for the holidays. We owe our fallen heroes so much &amp; it was a great opportunity to pay our respects. https://t.co/45mSgz2NnZ
2022-12-17 14:54:34+00:00,"El Paso was starting to become the new hot spot for illegal immigration when I last visited &amp; now it is. With Title 42 set to expire next week, we’ll cont. to push the Biden admin to enforce our laws&amp;stop this crisis. With the House flipping, hoping we can get the border secured."
2022-12-16 19:30:51+00:00,"After cheering the @NDSUfootball team to a victory last Friday night, we’re looking for another win tonight against Incarnate Word. To all of #BisonNation, good luck in the semi-final #FCS playoff game. #GoBison🤘 https://t.co/yNl9LIDirQ"
2022-12-16 16:16:18+00:00,"At our @EnergyGOP hearing this week, we secured a commitment from Interior Deputy Secretary Tommy Beaudreau to expedite review of a new federal mine plan for BNI’s Center Mine, which is important for advancing Project Tundra. https://t.co/RQUbEARh3M"
2022-12-16 01:52:59+00:00,"This NDAA authorizes modernization of our nuclear systems for Minot AFB, the Global Hawk and satellite missions at Grand Forks AFB, and our Guard’s Reaper mission. As a member of the Senate Defense Appropriations Committee, now we’ll work to fund these vital programs."
2022-12-16 01:52:59+00:00,"We need to support the men and women who defend our nation, and that’s exactly what this NDAA does. We worked to end the DoD COVID vaccine mandate as part of this legislation &amp; to provide our troops with a pay raise. https://t.co/AmjqSns5bX"
2022-12-13 16:30:03+00:00,My team and I appreciate Patrick’s hard work this fall and wish him the best of luck as he heads off to @ASU to study business law. https://t.co/oDspHyzs17
2022-12-13 15:14:31+00:00,"Happy Birthday to the @USNationalGuard. The men and women of the @NDNationalGuard are the best of the best, always ready, always there. Today and every day we are grateful for their service to our state and nation. https://t.co/eAB4LFGrnP"
2022-12-12 02:11:13+00:00,Running for student council takes initiative and drive and I always enjoy visiting the @NodakStuco convention as these student leaders will one day take the reins of business and government from their local communities all the way up to the national level. https://t.co/Vbk4bTbKzV
2022-12-10 21:24:37+00:00,"Swung by the @NDFarmersUnion annual meeting today to discuss the cattle contract library we worked to establish, year-round sales of E15, private property rights + more as we begin working on the next #farmbill. https://t.co/hjcuyVBHWe"
2022-12-10 20:09:24+00:00,Congratulations to the University of Jamestown Women’s @UJVolleyball team on clenching the 2022 NAIA National Championship. Their perseverance led them to a 3-2 win over Corban University and U of J’s first national volleyball title in school history.
2022-12-09 19:12:27+00:00,Sat down with @StPaulUSACE Commander Col. Swenson this week to discuss flood protection projects we’ve worked to advance in both the Minot and Fargo regions. https://t.co/czwoD0tQo4
2022-12-09 16:32:15+00:00,"U.S. Army Air Forces SSgt. Walter Nies was 23 years old when he was killed in a German POW camp during WWII. Through the important work of the @dodpaa, he is accounted for &amp; will receive a proper funeral in Ashley, North Dakota today. https://t.co/AZbD9FbxJa"
2022-12-09 16:00:21+00:00,"While our adversaries are trying to build weapon systems that can defeat ours, POTUS wants to put Green New Deal mandates on our military &amp; defense industry that will drive up costs. 

Our men and women in uniform need to have the most effective defense systems available. https://t.co/w633VqrZH6"
