Datetime,Text
2023-01-02 17:42:17+00:00,"Americans are struggling under Pres. Biden’s bad economic policies, so I wrote a bill to give small businesses more flexibility to create and sustain jobs. 

Glad to see it become law and protect American jobs.

https://t.co/DH5fdbpcNi"
2023-01-01 17:31:24+00:00,"Becky, Preston, and I are wishing Louisianians a blessed and prosperous #NewYear!

I hope 2023 is Louisiana’s best year yet! https://t.co/H5LzSWjyRU"
2022-12-30 19:37:36+00:00,"Now that the Unclaimed Savings Bond Act is law, the Treasury will finally have to help Louisiana and other states reunite Americans with $29 billion of their hard-earned savings.

https://t.co/TdQXunmfVc"
2022-12-30 01:30:10+00:00,"Companies that are beholden to the Chinese Communist Party have been putting Americans’ retirement savings at risk. 

Now that my bill is law, we can kick fraudulent foreign companies off U.S. exchanges more quickly and keep Americans safer. 

https://t.co/MW3kFnzzRf"
2022-12-27 16:45:39+00:00,"Biden’s open-border policy has turned a humanitarian crisis into a national security crisis: Border Patrol counts more than 600,000 got-aways this year alone."
2022-12-25 13:07:14+00:00,"My Christmas wish for Louisianians is that they have hope when they get up every day and peace when they go to sleep every night.

Merry Christmas, Louisiana!"
2022-12-24 19:31:53+00:00,"Merry Christmas, Louisiana!

Becky and I hope you and your family are enjoying God’s blessings this Christmas as we celebrate the gift of our Savior. https://t.co/t7Ib0safpC"
2022-12-23 22:38:47+00:00,It’s okay to say Merry Christmas!
2022-12-23 17:22:21+00:00,"Becky, Preston, our two pups—Charlie and Jack—and I wish you a very Merry Christmas!  
 
We hope that this holiday season brings you peace and joy. https://t.co/ULTgT23WWy"
2022-12-23 02:13:23+00:00,"Santa’s going to have to supply his own milk and cookies this year . . . With cookies 19% more expensive thanks to inflation, Americans can’t really afford an extra mouth to feed. https://t.co/U4Q9u6QMpl"
2022-12-22 21:18:29+00:00,Inflation is a cancer on the American dream—and we’re not going to get control of it until Congress stops spending so much money.
2022-12-22 20:52:08+00:00,I voted against the $1.7 TRILLION omnibus spending bill. Here’s why: https://t.co/K0AqtMbkwu
2022-12-22 18:09:52+00:00,"Hurricanes Katrina, Laura and Ida devastated too many Louisianians in New Orleans and Lake Charles. I’m thankful this $63.7 million will support the ongoing recovery in their communities.

https://t.co/86XIKxdYr9"
2022-12-21 22:53:29+00:00,My wish for Louisianians this Christmas is that your sunrises are full of hope and your sunsets full of peace. https://t.co/HLmBVEPtGW
2022-12-21 18:38:02+00:00,Christmas dinner will cost Americans more this year: Ham is up 17% due to #Bidenflation. https://t.co/euyM7pUSSb
2022-12-21 17:25:41+00:00,"The $1.7 TRILLION omnibus bill gives $400 MILLION to Jordan and other Mid East counties to help secure their borders . . . while Pres. Biden leaves ours wide open. 

#BorderCrisis https://t.co/Q7UKG9r2G0"
2022-12-21 15:52:00+00:00,"Door 1: The current $1.7 TRILLION omnibus
 
Door 2: Wait for a Republican House to get a better budget bill
 
I’m going to choose Door #2. https://t.co/iqBnVW0Hff"
2022-12-20 19:45:58+00:00,"This $1.3 million will support Calcasieu Parish as it works to rebuild part of its airport from hurricane damage.
 
https://t.co/ekU214dFur"
2022-12-20 18:58:51+00:00,"If the Big Govt Republicans and the Ritz-Carlton Democrats have to take out a reverse mortgage on Alaska to get the money and spend it, they’ll do it. https://t.co/EIPEtQmcpD"
2022-12-20 17:07:56+00:00,"Thanks to #Bidenflation, Americans are paying 15% more for a simple Christmas wreath this year. https://t.co/2cm6dw1RXQ"
2022-12-20 16:22:24+00:00,The $1.66 TRILLION omnibus is going to fuel inflation and hurt Louisianians. https://t.co/2kaGdcWhoi
2022-12-20 14:18:39+00:00,"Thanks to #Bidenflation, food prices are stretching Louisiana budgets thinner this holiday season: Groceries for Christmas dinner are 16% more expensive."
2022-12-19 22:36:13+00:00,"I’m grateful to see this $6.2 million go to improve broadband access at Southern University and A&amp;M College.

Broadband expansion is key to providing Louisiana students with the tools they need to succeed after college.

https://t.co/3ur10Ru6G2"
2022-12-19 21:07:30+00:00,"Under Pres. Biden’s watch, there have been more than 4 MILLION illegal crossings into America via our southern border.

Without Title 42, that number is going to increase dramatically—because the president has no plan to stop it."
2022-12-19 18:48:53+00:00,"Not even holiday decorations are safe from the Biden admin’s failed economic policies.
 
Ornaments cost 15% more this year. https://t.co/A9aAyzp0tg"
2022-12-19 16:34:59+00:00,"The American people pay the salaries of the people of @FEMA, and the people of Louisiana deserve to know how FEMA is pricing their flood policies—and why those prices are skyrocketing.
 
Why won’t FEMA give them an answer? https://t.co/Aujk46AHYl"
2022-12-19 16:00:03+00:00,Wishing my friends a joyful and bright #Hanukkah.
2022-12-16 21:18:45+00:00,"President Biden’s attempt to use Americans’ retirement plans to bankroll the woke agenda is fiscally irresponsible and morally wrong. 

Congress must reverse this.

https://t.co/xa4cGRP6hj"
2022-12-16 19:29:06+00:00,Prices for just about everything in Pres. Biden’s America are on the rise—even gift wrap costs up to 13% more this year thanks to rampant inflation. https://t.co/wU1emCqhzq
2022-12-16 17:37:12+00:00,"American producers can supply all the oil, natural gas, gasoline, and diesel that we need and still have more to sell to our allies—if the Biden admin would just let us produce that energy. https://t.co/XVxKJuC8Mx"
2022-12-16 16:04:10+00:00,"What good is flood insurance if you can’t afford it?
 
FEMA’s SECRET Risk Rating 2.0 algorithm makes Louisianians’ flood insurance just that: unaffordable. https://t.co/99GtJPpl2e"
2022-12-16 01:47:29+00:00,"This year’s national defense bill contains important wins for Louisiana &amp; America. 

As China &amp; Russia grow more aggressive, Republicans have made sure that the U.S. will upgrade our ships &amp; planes while giving our troops a much-deserved pay raise. https://t.co/SmHsIMdj4K"
