Datetime,Text
2022-12-31 22:27:04+00:00,Grandson Hewitt turned 5 two days ago. What better way to celebrate than with his first trip to Frost Arena for a big New Year’s Eve @GoJacksMBB⁩ win. Wishing you and your family a Happy New Year! #futurehooper https://t.co/UWJXAPjFfb
2022-12-30 20:03:52+00:00,"Like President Obama before him, President Biden is trying to greatly expand the reach of the federal government into the lives of farmers and ranchers.
 
My full statement on the Biden administration’s over-reaching WOTUS rule. ⬇️ https://t.co/ZS5rpxXOEp"
2022-12-29 22:08:00+00:00,Been married to this timeless beauty 38 years today. Happy Anniversary Kimberley! #blessed #luckyguy #lovineveryminuteofit https://t.co/rj7arGl7mV
2022-12-28 01:02:50+00:00,Brock is on his way to Ft Leonard Wood for basic training before heading off to OCS. This former staffer is a young leader who will be a difference maker for our country. We were grateful to be on hand for his sendoff. #purposedriven #sdstrong 💪🇺🇸🇺🇸 https://t.co/nPbblFhVVY
2022-12-26 21:58:05+00:00,My hometown is often in the middle of some of SD’s toughest winter storms and the good people of Murdo always respond to the challenge of caring for stranded travelers. #hometown #sdproud  https://t.co/g9QMwjzBev
2022-12-25 17:06:04+00:00,"Grateful for the wonder of the Christmas story and for the blessing of family, especially these precious grandkids. Merry Christmas from our family to yours! https://t.co/qSoa5z9XlN"
2022-12-22 15:08:36+00:00,It was an honor to meet @ZelenskyyUa and hear his historic address to Congress. https://t.co/jKM37fcNrZ
2022-12-21 19:56:26+00:00,The @109RSG of the @SD_Guard recently mobilized for a deployment to Iraq and Kuwait for the counter-ISIS mission. I want to thank them and their families for their sacrifices and I wish them a safe and successful mission. 🇺🇸
2022-12-21 18:40:41+00:00,"Oversight of how federal broadband dollars are being spent is necessary to ensure that agencies aren’t mishandling billions of taxpayer dollars and, most importantly, to make sure the funding is going to areas that are actually unserved. https://t.co/tsZnqw0PbU"
2022-12-20 23:14:36+00:00,"Many of the lower tax rates for families &amp; small businesses will start to expire in the coming years. I hope that Dems will work with us to make the Tax Cuts and Jobs Act permanent – and continue efforts to make the tax code simpler, fairer, and more competitive. https://t.co/Z6mWBQdg6Y"
2022-12-20 22:04:52+00:00,"Providing for our nation’s defense is one of the most serious and consequential responsibilities for members of Congress.

If we don’t get national defense right, the rest is just conversation. https://t.co/fFijp2jtjU"
2022-12-20 19:07:11+00:00,"The Tax Cuts and Jobs Act put more money in American families’ pockets and it fueled one of the best economies in U.S. history. 

We must make these pro-growth policies permanent. https://t.co/2gO1fJ6Mv2"
2022-12-20 18:34:57+00:00,.@GoJacksFB is on fire. Let’s bring it home. #FriscoBound #GoJacks https://t.co/OIyWxxLRKF
2022-12-17 22:12:08+00:00,Game day in Brookings. Let’s go Jacks! @GoJacksFB https://t.co/ckLHOr92MC
2022-12-16 00:48:38+00:00,https://t.co/hcgbP5nGTt
2022-12-16 00:48:37+00:00,"Providing for our nation’s defense is one of the most serious and consequential responsibilities for members of Congress. I am proud to have supported the #NDAA, which will benefit S.D. and the future B-21 bomber mission at Ellsworth Air Force Base."
2022-12-15 19:57:05+00:00,".@SenToomey is going to be missed in the Senate – and on the @SenFinance Committee in particular – for his knowledge, experience, and for his practical approach to getting things done for the American people. Thank you for your service, Pat. https://t.co/EMXF9kDacs"
2022-12-15 18:33:34+00:00,.@SenShelby has an incredible record of service to the people of Alabama and the country. Congrats on a well-deserved retirement. https://t.co/SnVat4b2Ca
2022-12-14 23:06:07+00:00,"An outdoorsman.
 
A great handyman.
 
An outstanding legislator. 
 
And my good friend. 
 
It’s difficult to imagine serving in the Senate without @SenatorBurr. Thank you for your service, Richard. We’re going to miss you. https://t.co/QiWWi2FDiP"
2022-12-13 21:33:27+00:00,"Congress has allocated an unprecedented $80 BILLION in federal broadband investments. 

I’m leading the effort to ensure that there is stringent oversight of how these funds are being spent to prevent agencies from misusing billions of taxpayer dollars. https://t.co/1nFLy3Kb5p"
