Datetime,Text
2023-01-02 19:12:30+00:00,"The DEFEND Act will take crucial steps to directly combat the malign threat from Iran and its proxies. I’m incredibly proud to have led this important, bipartisan effort and look forward to our continued work to strengthen the historic Abraham Accords. https://t.co/4Awz4zFBH7"
2023-01-02 15:31:48+00:00,"ICYMI: I introduced the BUILD IT Act with @SenRickScott to provide border states with unused materials to construct a border barrier. This was a commonsense, cost-saving effort that was BLOCKED by Senate Dems. https://t.co/zytKlzBKR1"
2023-01-01 13:00:02+00:00,"Wishing Iowans and Americans a happy, healthy, and prosperous 2023! #HappyNewYear 🎉 https://t.co/ppkXQF40It"
2022-12-31 17:21:44+00:00,"As a combat veteran and mom to a West Point graduate and current active-duty servicemember, it is my honor to nominate deserving young men and women to our service academies. Congratulations to all the Iowa students nominated this year!
https://t.co/mO9hnWpvRN"
2022-12-31 01:11:28+00:00,.@POTUS's untimely and out-of-touch new Waters of the U.S. rule is ambiguous and expansive. There’s no reason to return to the Obama-era ways of giving an unchecked federal agency and D.C. bureaucrats more authority to control what’s done on private land. https://t.co/kyyM7RcHeo
2022-12-30 23:40:09+00:00,Congrats to Alexis Taylor for being sworn in as @USDA’s Under Secretary for Trade and Foreign Agricultural Affairs! https://t.co/oMvIcdWxFQ
2022-12-30 16:27:57+00:00,We’re fighting to keep the IRS from snooping on Americans. https://t.co/TlWqTD8Gc3
2022-12-29 17:31:05+00:00,"I'm proud to announce that a number of my efforts to support our partners, end our energy reliance on foreign adversaries &amp; stand with our servicemembers were included in this year’s #NDAA. This bill helps ensure the U.S. military remains the world’s most lethal fighting force.🇺🇸"
2022-12-29 15:46:56+00:00,"#Reminder: We are more reliant on our adversaries now than we were just one year ago.
 
Unleashing American energy will create American jobs, boost our economy, and lower consumer costs. It’s a no brainer. https://t.co/eBKJcw9PVi"
2022-12-28 19:57:10+00:00,"On this day in 1846, #Iowa was founded on the motto “Our liberties we prize and our rights we will maintain.” 176 years later, Iowans still hold true to that belief. Happy Birthday, Iowa!🎂 https://t.co/DApH1LhOqR"
2022-12-28 19:18:25+00:00,https://t.co/u4lOFUzw0h
2022-12-28 19:18:24+00:00,"I am giving my December 2022 #SquealAward to “the minister of misinformation” himself, Pres Biden, for promoting blatant falsehoods while his admin is steering tax dollars into these Soviet-style propaganda tactics that target citizens &amp; media who dare question their narrative🐷"
2022-12-27 21:56:29+00:00,.@ChuckGrassley and I fought hard to bring much-needed flood control to our major #Iowa cities. We’re thrilled this effort will help bring our communities the sense of security they’ve been asking for. https://t.co/UGLk1bpuz2
2022-12-27 15:45:09+00:00,I’m continuing my fight to hold Washington accountable for abusing taxpayer dollars on batty and dangerous research. 🦠🦇 https://t.co/Enr9Lj3qrK
2022-12-26 16:19:37+00:00,The fight for our #Iowa corn growers cannot lose momentum. Mexico has an obligation to live up to their obligations under #USMCA. I hope @SecVilsack and @USTradeRep will continue to put pressure on them. https://t.co/HEfWzM2i5R
2022-12-25 14:34:34+00:00,"As families gather around the Christmas tree, I want to wish Iowans &amp; Americans across the country a Merry Christmas &amp; Happy Holidays!
 
May God bless our servicemembers who are unable to be with their loved ones today. They truly are our holiday heroes!🎄 https://t.co/wLMkBOBBKI"
2022-12-24 18:06:53+00:00,Before you make your holiday travel plans check the latest on roads in your area at https://t.co/w5tM5Kmm0p. Stay safe and watch for snow plows!
2022-12-24 17:09:25+00:00,"First #Bidenflation came for your turkey, now it’s coming for your Christmas ham! https://t.co/SVILXTq4DU https://t.co/oB2Tt7Bv9H"
2022-12-24 17:08:26+00:00,Thank you to @iowadot &amp; @iowastatepatrol for working around the clock to keep Iowans safe and up to date on the latest conditions!
2022-12-24 14:11:01+00:00,It’s Christmas Eve! What’s on your agenda today?
2022-12-23 21:15:43+00:00,"As I’ve said before, every state is a border state under President Biden. The end of Title 42 threatens safety in communities across America. #BidenBorderCrisis #FentanylAwareness https://t.co/x8lXWzGEd1"
2022-12-23 15:12:54+00:00,We don’t want the Biden administration spending our hard-earned tax dollars to encourage citizens to troll their friends with govt-generated propaganda! That’s why I’m making @POTUS #Squeal for it! 🐷 https://t.co/Qe6uVNxXmK
2022-12-22 23:00:51+00:00,I couldn’t agree more with @GrowthEnergy! @EPA Admin. Regan should come to #Iowa and hear directly from #midwest biofuel producers.
2022-12-22 20:17:13+00:00,"While I’m certainly glad to see the increase in resources for the Pentagon, continued replenishment of our depleted military stockpiles, and lethal aid to Ukraine, overall this massive, last-minute, 4,200 page spending package is a lump of coal."
2022-12-22 20:17:13+00:00,"🧵Thread on the $1.7 trillion spending package:

Washington’s budget process is completely broken."
2022-12-22 17:34:25+00:00,".@POTUS is paying more than $5M to a group called Hack/Hackers which is making lists of orgs &amp; media they think should &amp; should not be trusted.
 
They’ve basically created a naughty &amp; nice list to police the content posted by family &amp; friends. 🐷🎅 #MakeEmSqueal"
2022-12-22 14:44:55+00:00,It was a honor to greet President Zelenskyy at the Capitol last night. 🇺🇸🇺🇦 https://t.co/R1o80iyU6l
2022-12-21 21:15:28+00:00,"Iowa Roots. ISU Grad. Army Veteran.

I’m glad to see Alexis Taylor confirmed to serve as Under Sec. for Trade and Foreign Agricultural Affairs @USDA, ensuring agricultural trade is a priority. 

The success of the #IowaAg community and our state’s economy depends on it!"
2022-12-21 16:06:07+00:00,"Army winning this year’s #ArmyNavy game wasn’t our only victory! I bet @SenRickScott we would win, and scored a wonderful Florida Key Lime pie. Thanks for staying true to our deal, Senator Scott!

#GoArmy #BEATnavy 🇺🇸 https://t.co/kFFCKBgVx2"
2022-12-21 14:56:00+00:00,"With strong winds in the forecast across #Iowa, please be sure to plan ahead and let your family and friends know of your travel routes! ❄️"
2022-12-20 22:39:12+00:00,"As Iowans continue to face challenging times this holiday season, let’s give back to those in need &amp; remember our servicemembers currently abroad who are unable to be home with their loved ones. https://t.co/UH8LC7f4Wn"
2022-12-20 20:42:54+00:00,"In Nov, I led 16 senators in urging @EPA to prioritize more affordable emissions in their rulemaking.
 
Biden’s EPA ignored our request &amp; today announced extremely burdensome regulations – up to $21K per truck – for our @IowaADA &amp; truck drivers across the U.S. 

Bah humbug!"
2022-12-20 18:19:24+00:00,"In this year’s water resources bill, @ChuckGrassley &amp; I fought hard to include increased flood management, water safety, and taxpayer transparency measures. After passing the Senate, I’m eager to see @POTUS sign it into law."
2022-12-20 16:50:35+00:00,Corn growers across the U.S.—especially in #Iowa—rely on these exports for their livelihood. Ending them would be a threat to our economy and the entire Corn Belt.
2022-12-20 14:36:12+00:00,"Climate fantasies are forced on Americans every day, all the while the very people pushing them are flabbergasted by the idea of using public transportation. https://t.co/L4YGUhoEaj"
2022-12-20 01:28:07+00:00,Does canceling the border barrier constitute ‘doing the work’ ?
2022-12-19 20:41:46+00:00,It is no conspiracy theory that @NIH lost track of how taxpayer dollars were being spent on dangerous coronavirus studies in China’s Wuhan Institute. https://t.co/OKxLwM3AWq
2022-12-19 15:55:12+00:00,Title 42 expires Wednesday. What’s the Biden administration’s plan? #BidenBorderCrisis
2022-12-19 15:03:50+00:00,Our first duty is providing for the brave men and women in uniform. I am proud that this year’s NDAA gives our troops a well-deserved pay raise and a number of improved benefits. https://t.co/oTikBP59Wb
2022-12-19 01:01:15+00:00,Wishing a Happy and Healthy Hanukkah to all who celebrate! May your holiday be filled with light and blessings. https://t.co/Uqy7YYloWe
2022-12-16 21:00:51+00:00,The pressure is on for the Biden admin to support our corn growers. My colleagues and I raised our concerns AGAIN this week and expect Mexico to hold up their end of the USMCA. #IowaAg https://t.co/of2YhB0mK3
2022-12-16 19:18:36+00:00,#Bidenflation has turned the season of giving on its head. https://t.co/BJ299wp7MC
2022-12-16 18:04:11+00:00,"Bundle up and slow down! 🚘❄️ With snow in the forecast across the state, please be sure to prepare accordingly and make sure to check on friends and family!"
2022-12-16 15:58:46+00:00,"Instead of playing in a bat cave, next year the president of @EcoHealthNYC will find himself in front of Congress answering questions about his batty studies and what was really going on inside China’s Wuhan Institute. https://t.co/Enr9Lj3qrK"
2022-12-16 01:41:36+00:00,Proud to lead this bipartisan effort with my fellow #AbrahamAccords Caucus co-chairs! #NDAA #DEFENDAct
2022-12-16 00:52:46+00:00,"Protecting the American people from adversaries is my duty. While we can be divided on so many issues, I’m glad to see a bipartisan #NDAA pass Congress for the 62nd year in a row."
2022-12-16 00:52:46+00:00,"The bill includes some of my hard-fought efforts to:
✅ Support our partners
✅ End our dependence on foreign adversaries
✅ Stand with our men and women in uniform"
2022-12-16 00:52:45+00:00,"Congress’ constitutional responsibility is providing for the common defense. This year’s #NDAA ensures that the U.S. military remains the most lethal fighting force on the planet. As a combat veteran &amp; member of @SASCGOP, I am proud to support #FY2023NDAA."
2022-12-15 23:14:31+00:00,"The only thing #Bidenflation is bringing to the holidays is Christmas fear😨🎄

Christmas Lights: up by 15%
Ornaments: up by 15%
Wreaths &amp; Garland: up by 15%
Gift Wrap &amp; Stationery: up by 13.1%"
2022-12-15 21:55:34+00:00,Great question.
2022-12-15 21:24:13+00:00,"Biden’s military COVID vaccine mandate is a readiness risk. That’s why we are fighting to end it. @SenateGOP @MarshaBlackburn 

WATCH ⬇️ https://t.co/E1XkezsQYQ"
2022-12-15 17:34:42+00:00,President Biden’s open border policies have had an impact on Iowa. Lethal drugs like fentanyl have streamed up I-35 right into our state. Title 42 is one of the few defenses we have left for protection – it must remain in place.
2022-12-15 15:03:16+00:00,"Awesome! Congrats, IWCC!"
2022-12-15 14:38:58+00:00,America needs to be aware of what the CCP is doing with the data they collect through TikTok. SEE https://t.co/BqN1gpggpl
