Datetime,Text
2023-01-02 15:22:02+00:00,Thank you Ajit! When I saw this knucklehead being given credibility by a once credible news organization I rolled my eyes and changed channels. This is why serious debate is so hard to have.
2023-01-01 14:30:00+00:00,"Happy New Year! There is so much to be thankful for in this life, and I’m especially blessed to wake up every day and work for North Dakotans. 

Thanks for your support and trust, and I look forward to serving you in 2023. Wishing you an amazing 2023! https://t.co/dftsSMU8sa"
2022-12-30 18:00:01+00:00,My statement on the Biden @EPA's new Waters of the U.S. definition ⬇️ https://t.co/vplSHnvD6n
2022-12-30 16:00:00+00:00,"Glad to see the VA Peer Support Enhancement for Military Sexual Trauma Survivors Act become law. 

Sexual assault in the military is well-documented and unacceptable. I cosponsored this bill to ensure survivors have access to effective support programs."
2022-12-30 13:07:51+00:00,"As usual, he hit the nail on the head. https://t.co/1tkq3ZRzdG"
2022-12-29 19:00:01+00:00,"Thanks @Surgeon_General for stopping by my office to check out my healing finger!

I’m glad we made time to discuss opportunities to address the youth mental health crisis across our nation and workforce issues facing every industry. https://t.co/ny5HuPoRoF"
2022-12-29 15:40:22+00:00,"With the passage of the 2023 National Defense Authorization Act, both @319thRW and Cavalier Space Force Station are expected to see benefits. 

Learn more about wins for North Dakota military assets and our defense supply chain ⬇️ https://t.co/KeUFBIOdtG"
2022-12-28 16:08:09+00:00,"Thank you to our Defense Fellow, Justin Kronenberg, for spending the past year in my office serving North Dakota constituents with his military acumen and @USMC experience.

Grateful to accept a plaque and “swagger stick” in commemoration of our time together! https://t.co/1bu2KDAhmZ"
2022-12-27 19:05:17+00:00,North Dakotan water issues often result from the Army Corps overrunning state authority. The Senate passed my and @SenJeffMerkley's bill establishing the Western Water Cooperative Committee so western states have a better way to work with the Army Corps. https://t.co/HCQM6k65en
2022-12-27 14:26:35+00:00,"In this week’s newsletter: voting against the $1.7 trillion omnibus spending bill, my WSJ op-ed on the European Union’s carbon border adjustment mechanism agreement, and @Newsmax interview on CFIUS, Fufeng, and Grand Forks. Read it here ⬇️ https://t.co/o3w0QWBYCJ"
2022-12-24 02:17:27+00:00,"Anyone who pays attention to electricity over the decades knows the wind usually doesn’t blow in frigid &amp; high temps when power is most needed, leading to market prices of several dollars per kWh.  Merry Christmas from the Green New Dealers, and many more to come. https://t.co/xmNsRGXNLd"
2022-12-23 19:30:00+00:00,"Christmas is much more than sentimentalism. Certainly opening presents from under the tree brings smiles to children’s faces, but it is the ultimate gift that brings eternal joy. 

From my family to yours, have a Merry Christmas and a blessed and happy New Year! https://t.co/DQuVtiAe0d"
2022-12-23 14:52:02+00:00,"Thank you Valley City Junior High and Senior High School students for proudly representing North Dakota at @PresParkNPS this Christmas!

I always love seeing pieces of home in Washington, D.C. &amp; the ornaments you created certainly showcase some of the best scenes in North Dakota. https://t.co/mGO099FjTh"
2022-12-22 19:39:14+00:00,"While there’s some good in the bill including fully funding our military and defense needs, I refuse to facilitate this bad behavior."
2022-12-22 19:39:13+00:00,"I continue to oppose the utter dysfunction of Congress. 

Ramming through must-pass bills like this omnibus spending package with absolutely no transparency is disrespectful to Rank and File members and the American people we represent. https://t.co/DIj9rLOQwC"
2022-12-22 15:00:44+00:00,"On January 3, I hope Congress gets back to legislating in a manner obvious to the American people, so they don’t have to be suspicious of a 4,155-page bill that has to be decided in 12 hours. 

My interview with @larry_kudlow on the $1.7 trillion omnibus spending bill ⬇️ https://t.co/QybgXyySMY"
2022-12-21 17:05:25+00:00,"Joined @larry_kudlow to talk about my @WSJ op ed on the EU’s carbon border adjustment mechanism agreement. 

Europe should join us, make a deal which rewards our excellence, and disadvantages our adversaries. Watch ⬇️ https://t.co/W692imxkTw"
2022-12-20 19:07:55+00:00,"His particular attention to the policies surrounding our energy and natural resources have made our state and nation stronger.

North Dakota is a better place because of his mark. We wish him and his family all the best in this next chapter."
2022-12-20 19:07:55+00:00,"Kris and I thank Lieutenant Governor Sanford for his work for and dedication to our great state during the past six years.

Brent’s long and decorated career in public service took him from beloved mayor of Watford City to a staple in Bismarck.
https://t.co/UqlRPWtg2a"
2022-12-20 14:52:26+00:00,"Glad I could join in cutting the cake at the Space Force Birthday celebration last month! 

Working with such great leaders in @SpaceForceDoD and @usairforce is a privilege. Space is a critical domain and I look forward to many more birthdays to come! https://t.co/c3sblW16np"
2022-12-20 14:52:06+00:00,"It’s @SpaceForceDoD's third birthday! Our very own Cavalier Space Force Station provides critical missile warning and surveillance data to our military, ensuring our dominance in space.
This is a key component to national security and I thank our Guardians for answering the call! https://t.co/c1o5oLBfy5"
2022-12-19 22:47:23+00:00,"We will see more tragic fentanyl overdoses, overcrowded federal detention facilities, and an increase in national security threats until the White House starts taking the border crisis seriously and enacts policies to protect our borders."
2022-12-19 22:47:23+00:00,".@POTUS’ open border policies have resulted in a humanitarian crisis felt in every community. Thanks to SCOTUS, Title 42 will remain in place. But it is only as effective as the Admin wants it to be, which based on Biden’s track record isn’t much. 
https://t.co/biyGfJOR0Z"
2022-12-19 19:00:07+00:00,https://t.co/Tj390nzCVs
2022-12-19 19:00:06+00:00,"The Water Resources Development Act is headed to the President's desk! WRDA delivers wins for North Dakota, embraces states’ water rights, and establishes policies to better develop &amp; utilize Army Corps projects. This bill proves when we work together, we can make real progress."
2022-12-19 16:48:38+00:00,"The public comment period has opened for @TRooseveltNPS’s Livestock Management Plan and potential alternatives. The @NatlParkService is working on a plan to address populations of horses and longhorn steer in the park. 
https://t.co/f33lXkM5BJ"
2022-12-19 13:59:00+00:00,Wishing a very happy Hanukkah to those who celebrate! https://t.co/9W6TyaCQ2x
2022-12-16 19:51:26+00:00,Congratulations to Wahpeton’s WCCO Belting on being named an @EximBankUS 2022 Exporter of the Year! This is a well-deserved recognition of their outstanding commitment to innovation and important role in the equipment manufacturing sector. https://t.co/jcjFmPYOI5
2022-12-16 13:53:48+00:00,"The National Defense Authorization Act has passed the Senate! 

Investing in our national security and our brave service members and their families is my top priority. My statement on the NDAA ⬇️ https://t.co/QHdKkBTyUt"
2022-12-15 22:24:54+00:00,"Rather than work together to develop a targeted, trade-focused climate agenda, the EU acted unilaterally on their Carbon Border Adjustment.

The moment to collaborate on climate policy is here. The EU shouldn’t waste it by going rogue. My @WSJ op-ed ⬇️https://t.co/KJruCfa4dN"
2022-12-15 15:26:11+00:00,"Title 42 is set to expire next week. 

With this in mind, the Administration is already bracing for 14,000 migrant crossings a day when our border is completely open. Joe Biden has to act fast and he has to act now. https://t.co/gbTDFL81dc"
2022-12-14 21:20:56+00:00,"Supported @SenatorTimScott’s CRA pushing back on @POTUS’ rule making it difficult for charter schools to receive funding they need. Families deserve the freedom of choice for their children, and the Admin should not be regulating it out of existence."
2022-12-14 20:23:30+00:00,"Joined @SteveScully on @SXMPOTUS to discuss my opposition to the Electoral Count Act, our newly divided government, and bipartisan opportunities in the 118th Congress. Listen ⬇️ https://t.co/G0ZpG7xZxV"
2022-12-14 15:03:00+00:00,"231 years ago, the first amendments to our U.S. Constitution were ratified. The Bill of Rights enshrines the rights of all American citizens, from the freedom of religion to the right to bear arms. These liberties can’t be taken for granted. https://t.co/QBE0dWUAkj"
2022-12-13 20:07:11+00:00,"I was honored to receive the Legislative Action Award from @BPC_Bipartisan and @JasonGrumet earlier this year, and now Jason is heading into his new role with @USCleanPower.

I look forward to continued work with Jason and BPC on American energy solutions!"
2022-12-13 15:53:38+00:00,"Today we celebrate 386 years of our amazing @NationalGuard!

Thank you to all of our Guard members, especially the @NDNationalGuard. You are always ready, always there and your sacrifices do not go unnoticed. https://t.co/6v4OoQPX4g"
2022-12-13 14:49:21+00:00,"ND has led by example remediating abandoned wells, and further progress was made through the REGROW Act.

My bill with @SenatorLujan keeps this momentum going by investing in new and innovative ways to track the problem and ultimately mitigate damage.
https://t.co/KpPHB0FunX"
2022-12-12 20:47:19+00:00,"Spoke with @CFPB Director Rohit Chopra about “junk fees,” protecting independent and community banks from overburdensome regulation, and the implications of Big Tech companies behaving more like banks. Thanks for the discussion! https://t.co/D8ARs383y6"
2022-12-12 18:55:42+00:00,@robport I’m sorry to learn of Carol’s passing Rob. She was one cool woman. She was often a great encourager to me. I appreciated her optimism and joy for life. Your family is in my prayers.
2022-12-12 18:28:19+00:00,"We truly 🎶Need A Little Christmas🎶 in the Senate this time of year!

There’s power in the ministry of music, particularly when singing about angels proclaiming the birth of our Savior born in a manger. Truly grateful to carol with Steve Amerson and the @LibertyU choir. https://t.co/Ns8K5sIgOe"
2022-12-12 15:40:41+00:00,"In this week’s newsletter: bipartisan legislation with @SenatorLujan to continue research for remediating abandoned wells, @FoxBusiness interview on permitting reform, and the Senate Foreign Relations Committee resolution in support of Iranian citizens' fight for equal rights. https://t.co/wmkLvSdYOR"
2022-12-09 20:05:13+00:00,"Legislation to award the Congressional Gold Medal to the Americans killed in the Benghazi attacks passed unanimously in the Senate. 

Glen Doherty, Tyrone Woods, J. Christopher Stevens, and Sean Smith gave their lives to protect others and deserve to be recognized."
2022-12-09 16:58:59+00:00,"Shailen Bhatt has the experience of working for a large rural state. In his hearing he committed to putting state and local solutions at the forefront, not federal.

I congratulate his unanimous confirmation to @USDOTFHWA and I look forward working with him."
2022-12-09 14:50:59+00:00,"Joined @larry_kudlow on @FoxBusiness to discuss permitting reform and how the divided 118th Congress can pass reforms to unleash American energy.

We also talked about America’s potential to export to our allies in need, like Europe. Watch ⬇️ https://t.co/eFWUJiY0g5"
2022-12-08 21:20:28+00:00,"My @ASP interview highlights my counterpoints to @repcleaver’s thoughts on inflation. 

Crushing inflation can only be eased by less government spending, reduced regulation, and shrinking demand. https://t.co/VeGuuO0sLM"
2022-12-08 17:58:18+00:00,"Great to meet @StPaulUSACE Commander Col. Eric Swenson.

I appreciated his update on the work being done in Minot and Fargo-Moorhead diversion projects and I look forward to passing and enacting another Water Resources Development Act. https://t.co/NCmXZFR2td"
