Datetime,Text
2023-01-01 16:00:01+00:00,Wishing you a Happy New Year surrounded by family and fiscal responsibility! https://t.co/s7GbU31UGx
2023-01-01 06:49:54+00:00,"Hangin’ with Grandson Al at Targhee.  Happy New Year, Wyoming! https://t.co/pr9c1eQ9Th"
2022-12-29 15:00:30+00:00,"Western states are home to most of the public land in the U.S. Nearly 50% of the land in Wyoming is managed by the federal government. Alongside my fellow Senate Western Caucus members, I will push for smart, responsible management of public land."
2022-12-28 19:00:30+00:00,"The Preventing PFAS Runoff at Airports Act is finally law, and Wyoming airports will now have the ability to purchase safer, more-efficient methods to test their firefighting technology. 

https://t.co/KMrZoBFO5e"
2022-12-28 15:00:00+00:00,"People from across the country are flocking West in the post-COVID era. That brings challenges including transportation, healthcare, and broadband access. The @SenWestCaucus will prioritize rural economic development and ensure the west continues to be the best place to live!"
2022-12-27 19:00:00+00:00,"WY is the largest net exporter of energy in the country, but our energy industry is under constant threat from the Biden admin's radical climate agenda. As Senate Western Caucus chair, I'll champion the west’s natural resources and work to unleash American energy."
2022-12-27 15:00:30+00:00,"The Federal Reserve has a very specific mandate - to control the U.S. money supply. Too often, they dip their toes in the political waters and cause inconsistencies in our banking system. Our bill demands accountability from the Fed and requires them to stay within their mandate."
2022-12-26 19:00:00+00:00,My priorities as @SenWestCaucus Chair ➡️➡️ https://t.co/ei2grhS8MS
2022-12-26 14:30:00+00:00,"2022 lit the discussion around the regulation of digital assets on fire. While the Lummis-Gillibrand digital asset framework has not passed, we have a solid jumping-off point to pursue this legislation and further digital asset legislation next year."
2022-12-25 15:00:34+00:00,Wishing you and your loved ones a Merry Christmas and a Happy New Year! https://t.co/2FQLGDaOTo
2022-12-24 21:30:00+00:00,Wishing a very Merry Christmas to all those serving our country overseas! https://t.co/9Fdzwmo9fk
2022-12-23 20:19:44+00:00,"Grateful to my colleagues for their work on the ORBITS Act. Orbital debris put our essential satellites at risk. Glad to see it pass the Senate and head to the President’s desk.

https://t.co/fALNChhElB"
2022-12-22 18:00:08+00:00,"Earmarks are just a sneaky way to spend more money in a less transparent way. I joined @SenRonJohnson amendment to keep pork spending out of the budget process. 

https://t.co/pPBxRUkBKc"
2022-12-22 16:30:00+00:00,"My statement on President
Zelenskyy's Joint Address to Congress ➡️ https://t.co/rFQYq1Xncy"
2022-12-22 15:25:35+00:00,"We cannot keep spending in this manner if we want to maintain our status as the global financial leader. We need to come up with workable, effective solutions that will cut our national debt and preserve our position as the global financial leader. 

https://t.co/sVWuFAi1ja"
2022-12-21 23:15:37+00:00,"We should not be left to our own devices
They come with prices and vices
We end up in crisis (tale as old as time) https://t.co/CcSREZfOuj"
2022-12-21 16:27:23+00:00,I am eager to get to work as the chairman of the Senate Western Caucus to promote and defend the western way of life that we hold so dear in Wyoming. https://t.co/3FH5QTN9MO
2022-12-20 15:56:59+00:00,"Democrats are pushing for $1.7 trillion in this government funding bill, apparently forgetting the $3 TRILLION they approved in the last two years for their progressive priorities. https://t.co/7haFxaoC63"
2022-12-19 18:26:48+00:00,As we consider spending billions more taxpayer dollars… https://t.co/fCrnTVgSge
2022-12-16 17:59:07+00:00,Thank you to the Congressional Awards (@theaward) team for partnering with us to pull this off! https://t.co/4JIaIjE1Mn
2022-12-16 17:59:06+00:00,"One of Wyoming Senator Mike Enzi’s favorite traditions was the annual Christmas cookie party he and Diana hosted for Senate support staff. We miss him every day, and my team and I are proud to carry on his legacy by celebrating all the unsung heroes of the Capitol complex."
2022-12-16 00:38:57+00:00,https://t.co/hEOaTDwuj0
2022-12-15 21:55:15+00:00,"Way to go Chef Peart! Your food will be a welcome addition to the Cheyenne restaurant scene!

https://t.co/sxvRT5WxOt"
2022-12-15 18:04:42+00:00,ICYMI: I joined @DavidWestin on @BloombergTV Balance of Power to talk about how Lummis-Gillibrand would have prevented the FTX fallout. https://t.co/xpvrY5kQS6
2022-12-15 15:58:21+00:00,Congratulations to Buddy the Elf - a.k.a. my Chief of Staff Kristin Walker for her 1st place win! https://t.co/kYthLhB5Pw
2022-12-15 15:58:19+00:00,"A special thank you to @SenatorSinema, @SteveDaines, @SenThomTillis, @gillibrandny, and our staff judges for casting their ballots for their favorite decorations. https://t.co/URjmwxT2Uv"
2022-12-15 15:58:17+00:00,"My DC staff treats every day like Christmas, and this week they had an office decorating contest. Who do you think deserved to take home the bragging rights? https://t.co/BQW8hXavK7"
2022-12-14 23:07:18+00:00,https://t.co/tuyYbgfpgA
2022-12-14 15:58:34+00:00,"Sad to see Cody High School graduate Mike Leach passed away this week. Leach is best known for being a college football coach, and people in WY know he developed those fundamental skills playing football in Cody. Praying for his family and loved ones during this difficult time."
2022-12-13 15:10:37+00:00,"Inflation dips in November, as savings at the gas pump are eaten up at the supermarket https://t.co/07Tz2eWtxE"
2022-12-13 01:21:35+00:00,"People lost their hard-earned money, and they deserve justice for any wrong doing. I am hopeful my colleagues share my desire to pass the Lummis-Gillibrand Responsible Financial Innovation Act. This comprehensive legislation would prevent future collapses like FTX."
2022-12-13 01:21:35+00:00,"What happened at FTX appears to be good, old-fashioned fraud, and I'm glad prosecutors have been investigating what happened to ensure everyone who committed crimes is held accountable for what they did."
2022-12-09 18:43:09+00:00,"I am honored to follow in the footsteps of @SenJohnBarrasso and @SteveDaines as chairman of the Senate Western Caucus. I was proud to lead this caucus when I served in the U.S. House and look forward to championing western jobs, natural resources, families and our way of life! https://t.co/yEIERGBWq5"
2022-12-08 16:09:35+00:00,Frigid temperatures in Wyoming paired with high energy prices is a deadly combination. Families across Wyoming will pay almost $200 more than they did last winter to heat their homes.
2022-12-07 17:17:43+00:00,"81 years ago today, more than 2,400 Americans sacrificed their lives in service to their country in the attack on Pearl Harbor. 

We must never forget this infamous day.

#PearlHarborRememberanceDay https://t.co/FDpYWkrROb"
2022-12-06 19:23:20+00:00,"Congratulations to Matt Roland, the Devils Tower National Monument Chief Ranger for 20 years of EMT service! We are lucky to have dedicated public servants in Wyoming who make it safe and enjoyable to visit our natural wonders. 
https://t.co/sYAOWPsu0k"
2022-12-05 21:15:57+00:00,My Economic Development &amp; Resource Manager Kathy Lenz is available to help Wyoming businesses of all sizes as well as those looking to relocate to the Cowboy State! Reach out to Kathy at Kathy_lenz@lummis.senate.gov with questions!
2022-12-05 21:15:56+00:00,"My staff had the opportunity to attend @GovernorGordon’s Business Forum in Laramie last week! Wyoming is open for business, and we have the talent and business climate companies need to succeed. https://t.co/bjjEMJbG2g"
2022-12-05 19:27:59+00:00,"Wyoming produces some of the cleanest burning coal in the world, and there is a market for it. The Biden admin needs to stop picking winners and losers and strike while the iron is hot. 

https://t.co/ScOSqAcbKS"
2022-12-03 02:30:00+00:00,"I am glad a little bit of Wyoming will be represented in the White House! WY Rep. Chad Banks had the opportunity to help decorate the We the People themed White House for Christmas this year!

📷: Chad Banks https://t.co/LvORAYH35F"
2022-12-02 14:30:00+00:00,"You can add my name to the bottom of this letter as well.
 
https://t.co/ZD46Qby9z1"
2022-12-02 13:47:25+00:00,Wyoming U.S. senators receive Friend of Farm Bureau award https://t.co/VI8WxXCVxI
2022-12-01 19:52:08+00:00,"Lummis slams Ex-crypto boss Sam Bankman-Fried  for committing ‘pure and simple, good old-fashioned fraud’ https://t.co/gS9XoSF4qh #FoxBusiness"
2022-12-01 18:26:20+00:00,"Joe Goffman is wrong for Wyoming and wrong for EPA Air Quality chief. He pushed for the Clean Air Act, which stifled Wyoming’s energy economy, and blames Denver’s air quality on Wyoming industry.

https://t.co/xfsxL53rxO"
2022-12-01 14:59:51+00:00,".@SenKevinCramer and I just sent a letter to our Republican colleagues urging them to vote in favor of an emergency agreement to avert a potential railroad labor strike. 

The ramifications of Congress failing to act would be swift and significant.

https://t.co/CsWANI7YW8"
2022-12-01 14:25:09+00:00,Madness is right.
2022-12-01 12:45:00+00:00,"📺 I am joining @MariaBartiromo at 8:15am to discuss the impacts of the potential rail strike and the FTX fallout. 📺

Tune in!"
2022-11-30 22:04:10+00:00,"Wyoming is home to a rich and vibrant Native American culture. I am proud to honor them this month, and every month.

https://t.co/22eConrLO3"
2022-11-30 18:24:49+00:00,"Wyoming’s coal economy relies on rail to power the nation. With energy prices already sky high, a rail strike would set records for the wrong reasons. Congress needs to pass an emergency rail agreement now."
2022-11-30 15:47:19+00:00,'Bitcoin Senator' Lummis: FTX Collapse Shows 'It's Time' for Congress to Learn About Crypto (via @decryptmedia) https://t.co/bkkIlDuIzn
2022-11-30 14:30:12+00:00,"I've been sounding the alarm on a potential rail strike for months, yet Bernie Sanders and the Democrats chose to side with special interests over people in WY and across the nation. Yes, we should pass a bill to prevent a strike, but it never should've gotten to this point."
2022-11-30 01:28:42+00:00,I joined my colleague @SenatorSinema in a colloquy on the Senate floor to ensure courts interpret the Respect for Marriage Act in a way that gives maximum effect to the religious liberty provisions of the bill. https://t.co/etBA2SKsBy
2022-11-30 00:14:54+00:00,I voted in favor of the Respect for Marriage Act because it carefully protects deeply held religious beliefs while guarding the political equality of all.  https://t.co/fXurkfaEzU
2022-11-30 00:14:54+00:00,"Wyoming is the Equality State, and while I firmly believe marriage is a sacred union between one man and one woman, I respect that others hold different beliefs."
2022-11-29 22:33:54+00:00,I spoke on the Senate Floor regarding my decision to support the Respect for Marriage Act. https://t.co/X08rlfpSqB
