Datetime,Text
2022-12-29 16:18:23+00:00,"Every day, more than 110 Americans die from gun violence. The $25 million I secured in the omnibus budget for continued gun violence prevention research at the CDC &amp; NIH will help save lives, but Congress must do more to end this epidemic. https://t.co/k5E8YVKPUF"
2022-12-28 16:54:21+00:00,"As emergency rooms are overwhelmed by a tridemic of flu, RSV, and COVID-19, I am grateful to have secured $270 million for the research and development of a universal flu vaccine in 2023 so we can protect Americans against this virus and save lives. https://t.co/rmfOFN69lI"
2022-12-27 19:32:17+00:00,".@SouthwestAir is failing consumers. They must fairly compensate passengers whose flights were canceled, including not only rebooked tickets, ticket refunds, and hotel, meal, and transportation reimbursement, but significant monetary compensation for disruption to holiday plans. https://t.co/EhN2KDaVJ1"
2022-12-27 18:32:14+00:00,Too many communities across Massachusetts still lack access to reliable high-speed internet. This $6 million investment in Internet for All planning grants will help Massachusetts take an important step toward closing the digital divide. https://t.co/sjtUhOOLKx
2022-12-25 19:40:33+00:00,Wishing a safe and joyous Christmas to all those celebrating in Massachusetts and across the country. May your day be merry and bright.
2022-12-23 20:58:35+00:00,"I was proud to vote for this package, but I won't stop fighting for bold, progressive legislation that reigns in the greed of Big Oil and Big Tech and ensures we create an economy that works for all."
2022-12-23 20:58:35+00:00,Language supportive of community air quality monitors that I fought for in my EJ Air Quality Monitoring Act to ensure carbon emissions and pollutants can be tracked and recorded as agencies work to direct climate and clean energy investments to communities across the country.
2022-12-23 20:58:34+00:00,$53 million in funding for the National Oceanographic and Atmospheric Administration’s Sustained Ocean Observations and Monitoring program.
2022-12-23 20:58:34+00:00,$142 million in funding for the Multinational Species Conservation Fund and the U.S. Fish and Wildlife Service’s International Affairs Program and Office of Law Enforcement.
2022-12-23 20:58:34+00:00,$1 million in funding for my Young Fisherman's Development Act to kickstart the nation's first competitive grant program for the education and training of the next generation of fishermen.
2022-12-23 20:58:33+00:00,"An historic $101 million funding increase, for a total of $345 million investment, in an equitable and resilient future for U.S. fisheries."
2022-12-23 20:58:33+00:00,"Language to encourage community engagement and to ensure frontline communities and those living in multi-family or affordable housing can benefit from the deployment of electric vehicle charging infrastructure, as I’ve called for in my Community Vehicle Charging Act."
2022-12-23 20:58:32+00:00,A reauthorization of the Cape Cod National Seashore Advisory Commission until 2029 to ensure Massachusetts communities are empowered to keep providing input to the Secretary of the Interior about matters related to the development and operation of the Cape Cod National Seashore.
2022-12-23 20:58:32+00:00,"$45 million in funding for my Active Transportation Infrastructure Investment Program to connect walking and biking infrastructure to accessible, affordable, and safe active transportation networks so that people can travel from and within their community without a car."
2022-12-23 20:58:31+00:00,Making sure victims of SNAP skimming can have their benefits repaid by requiring the USDA to promulgate regulations to reimburse individuals and families whose SNAP benefits were stolen.
2022-12-23 20:58:30+00:00,"Language ensuring continuity of health care for children incarcerated before trial so that states can maintain their Medicaid and Children’s Health Insurance Program coverage, as called for in my Equity in Pretrial Coverage Act and Supporting Positive Outcomes After Release Act."
2022-12-23 20:58:30+00:00,"$15 million dollars to kickstart the implementation of my Children and Media Research Advancement Act which directs the NIH and HHS to lead a research program on technology and media’s effects on infants, children, and adolescents in core areas of development."
2022-12-23 20:58:29+00:00,"$70 million for non-intrusive inspection technology to ensure that U.S. Customs and Border Protection has the necessary resources to detect, interdict, and prevent the trafficking of fentanyl and other opioids into the United States."
2022-12-23 20:58:29+00:00,Provisions from my Opiod Treatment Access Act to combat the opioid epidemic and overdose crisis by shortening wait times for patients to qualify for methadone medication treatment and making it easier for methadone clinics to deliver methadone medication.
2022-12-23 20:58:29+00:00,"$10 million dedicated to research, awareness efforts, diagnosis, treatment, and support for people living with long COVID."
2022-12-23 20:58:28+00:00,$270 million for developing a universal flu vaccine so that we can be protected against multiple strains of flu virus and have longer-lasting protection.
2022-12-23 20:58:28+00:00,Nearly $10 billion in funding for the National Science Foundation to advance scientific research and innovation.
2022-12-23 20:58:27+00:00,$25 million in funding for continued gun violence prevention research at the Centers for Disease Control and Prevention and NIH to combat gun violence and build on my years-long push to ensure that the epidemic of gun violence can be studied and understood in order to save lives.
2022-12-23 20:58:27+00:00,"An historic $226 million funding increase for the NIH, for a total of more than $3.7 billion investment, to advance research including a cure for Alzheimer’s and related dementias."
2022-12-23 20:58:26+00:00,"$1.8 billion to fund my Asia Reassurance Initiative Act, as well as the Indo-Pacific Strategy, to strengthen U.S. partnerships on pressing global issues with counterparts in the region."
2022-12-23 20:58:26+00:00,$34 million in funding for the American Institute in Taiwan to strengthen U.S. ties with Taiwan and our partners in Indo-Pacific and implement my Taiwan Fellowship Act.
2022-12-23 20:58:25+00:00,I am proud that the FY23 omnibus includes funding for so many of my priorities. Here are some highlights:
2022-12-23 20:58:25+00:00,It will advance crucial scientific research on the road to finding a cure for Alzheimer’s and help reverse the cruel trend of decreased life expectancy due to the scourge of the opioid epidemic. And so much more.
2022-12-23 20:58:24+00:00,This package writes into law significant progress in my continued efforts to safeguard coastal communities from the threats posed by climate change and funds critical research to shed light on the adverse impacts of media and technology on the development of young people.
2022-12-23 20:58:24+00:00,"I am so glad that we finally passed an end-of-year spending package that keeps essential government services running while making major investments to improve the health, safety, resiliency, and prosperity of millions of people in Massachusetts and across the nation."
2022-12-23 19:27:42+00:00,"These federal dollars will be put to good use uplifting on-the-ground work to improve our essential infrastructure, expand public transportation access, spur the development of affordable housing, promote our clean energy future, and support families most in need."
2022-12-23 19:27:41+00:00,"All across Massachusetts, community leaders are working tirelessly to build a brighter future for our Commonwealth. I am proud to have worked with my colleagues to deliver $225 million to help them do just that. https://t.co/PzRz1myCs9"
