Datetime,Text
2023-01-02 21:55:08+00:00,"Let's go, @Utah_Football! 
#RoseBowl #GoUtes"
2023-01-01 16:58:53+00:00,"Wishing Utah a bright and prosperous new year filled with happiness, health, and joy! #HappyNewYear https://t.co/tC22XvFel6"
2022-12-27 22:41:17+00:00,".#SCOTUS’s temporary stay of Title 42 protections will forestall a surge of trafficking and drugs. Lives will be saved. Yet as Democrats recently rejected my effort to remedy this situation legislatively, it falls to @POTUS to enforce the laws currently on the books."
2022-12-24 22:00:00+00:00,Merry Christmas! https://t.co/DJrxiYhC4Z
2022-12-22 21:21:05+00:00,My thoughts following the unfortunate passage of the $1.7 trillion omnibus. https://t.co/LwoFgf5ZvF
2022-12-22 17:39:08+00:00,"I’m grateful to my Senate colleagues for standing with the family of Navy Lt. Ridge Alkonis. As Lt. Alkonis sits in a Japanese prison on the eve of Christmas, we cannot leave his family wondering how they will feed themselves or keep a roof over their heads. #BringRidgeHome https://t.co/XcMEougFhA"
2022-12-22 16:42:56+00:00,@elonmusk @SenatorSinema @SenatorTester Yes. https://t.co/VpQHmRkWpY
2022-12-22 15:27:54+00:00,My colleagues must reject this trick.
2022-12-22 15:27:54+00:00,"Despite the certain influx of illegal immigration, human trafficking, and fentanyl over our southern border, the White House is pushing this plan. Shame on this president."
2022-12-22 15:27:53+00:00,An amendment by Sens Sinema &amp; Tester is designed to ensure a porous border. A wolf in sheep's clothing to  mislead the American people to believe Dems are doing something to secure our borders. It merely provides them cover to vote against my extension of Title 42 protections.
2022-12-22 15:27:53+00:00,"Late last evening, the White House descended on the Capitol to “team up” with Democrat deal makers to deliver a lie to the American people."
2022-12-22 15:27:53+00:00,"As the negotiations surrounding the 4155-page spending package have played out, Democrats have become the puppets of the president."
2022-12-22 04:40:14+00:00,ICYMI: https://t.co/oZ4044gkue
2022-12-22 02:37:39+00:00,📺 I’m about to join @jasoninthehouse on @FoxNews to discuss the latest in the fight against the 4155-page omnibus behemoth. 📺
2022-12-21 18:18:08+00:00,Opposing this legislation isn't radical. Running our government this way is.
2022-12-21 14:29:42+00:00,“This bill before us is an act of legislative barbarism …” https://t.co/Y3z7DUMXQ0
2022-12-21 02:46:02+00:00,"They’re extorting the American people with a $1.7 trillion spending bill, giving their representatives no time to read, debate, or amend the bill. This is wrong. https://t.co/stXJ5mZQs2"
2022-12-20 21:18:44+00:00,"Ladies and gentlemen, this is why we’re $31 trillion in debt … https://t.co/jYAY2aQOqz"
2022-12-20 18:26:02+00:00,‼️MUST READ‼️
2022-12-20 13:59:06+00:00,The Bible is about 1200 pages long. Could you read it 3 times before Friday?
2022-12-20 13:30:18+00:00,"This monstrous spending bill comes to 4,155 pages. We deserve proper consideration and the chance to read, debate and amend - not a backroom deal. Opposing this isn’t radical: running our government like this is what’s radical."
2022-12-20 03:15:46+00:00,"If ever there were an absence that needed to be excused as unavoidable, it’s that of Lt. Ridge Alkonis. @SecDef, grant the Exception to Policy request. Don’t leave the family of a brave servicemember out in the cold before Christmas.

#BringRidgeHome https://t.co/62DkWpYbCT"
2022-12-19 19:10:06+00:00,https://t.co/koLvLu9Mm2
2022-12-19 02:23:43+00:00,Chag Sameach! Wishing a happy #Hanukkah to all those celebrating the Festival of Lights. https://t.co/lIzswAAPeL
2022-12-16 00:59:25+00:00,"Tonight, I asked my colleagues to reject corrupt tactics and allow the next Congress to deliberate these crucial spending decisions. https://t.co/onPA01nNCO"
2022-12-15 21:50:54+00:00,"Today, I made it clear that the @DeptofDefense has an obligation to Navy Lt. Ridge Alkonis and his family that must be fulfilled. https://t.co/CUj3iQPTra"
2022-12-15 20:53:31+00:00,ICYMI: @GOPLeader McCarthy is right. Republicans should stand together and allow the next Congress to develop a spending package.
2022-12-15 17:33:57+00:00,ICYMI: Extortion is no way to legislate. https://t.co/sK7k6J2z2L
2022-12-15 16:59:28+00:00,"We can’t take back the hardship that the military vaccine mandate has inflicted on countless servicemembers. But by adopting this amendment, we can recognize an injustice and take steps to restore those brave men and women who deserve our best. https://t.co/vPq0TRo0jr"
2022-12-14 22:44:39+00:00,It's an honor to be a recipient of the @AFPhq Pioneers for Prosperity Award. I'll keep fighting every day in the halls of Congress to champion common-sense conservative policies. https://t.co/H6RSBQkwft
2022-12-14 22:00:01+00:00,"I haven’t seen it. None of us have seen it. The public hasn’t seen it. The press hasn't seen it. 

“We have to pass the bill so that you can find out what is in it.” 

Sound familiar? https://t.co/rrsfOwFzHm"
2022-12-14 21:20:27+00:00,Democrats threatening a shutdown and holding Christmas hostage to pass their massive spending package is wrong. https://t.co/NJ8QedL5eH
2022-12-14 03:30:00+00:00,"All children deserve access to quality education, regardless of their zip code. @POTUS's new rules would stifle a proven model that serves the most vulnerable students in our traditional public school system. https://t.co/IzhqMlegAg"
