Datetime,Text
2023-01-01 23:49:42+00:00,"Bon Fet Endepandans  Ayiti 🇭🇹 

Kominote Ayisyen nan Florid fe yon gwo enpak sou kilti Sunshine State lan Mwen swete tout sa ki  pi bon a tout moun kap selebwe jodi-a"
2023-01-01 23:44:23+00:00,"Happy Independence Day to Haiti! 🇭🇹 

Florida's great Haitian communities have a tremendous impact on the Sunshine State's rich culture. I wish the very best to everyone celebrating today."
2023-01-01 01:00:00+00:00,"From my family to yours, I want to wish you a #HappyNewYear! 
 
In 2023, I'm looking forward to spending another year fighting to make Washington work for Florida families. Serving you is the honor of a lifetime. https://t.co/LQMXKYoTEL"
2022-12-31 22:47:30+00:00,"Russia and Communist China have one goal: To isolate and harm the United States. And they're willing to do ANYTHING to accomplish it, including cozying up to our enemies. 
 
Like I've been saying, these evil regimes CANNOT be trusted.
https://t.co/3X74EixIGb"
2022-12-31 20:06:30+00:00,"Communist China is NOT a friend of the United States, and they CANNOT be trusted. 
 
I'm fighting to hold the CCP accountable for its evil human rights abuse, stealing intellectual property and spying on Americans."
2022-12-31 18:21:00+00:00,Republicans' new year's resolution should be to STOP D.C. Democrats' reckless tax and spend spree and HOLD Democrats accountable for their failed economic policies.
2022-12-31 15:18:51+00:00,"Antes de que @RonWyden construya relaciones con dictadores despiadados y regímenes genocidas, debería visitar a @jdanielferrer en la cárcel y hablar con su esposa e hijos para ver la TORTURA que comete el régimen cubano. https://t.co/4xpc8uzq0Z"
2022-12-31 15:18:50+00:00,"Before @RonWyden builds relationships with evil dictators &amp; thuggish regimes, he should visit @jdanielferrer in jail &amp; speak with his wife &amp; kids to see the TORTURE the Cuban regime commits. https://t.co/4xpc8uzq0Z"
2022-12-31 03:03:30+00:00,Families shouldn't have to feel unsafe in their OWN HOMES because @JoeBiden won't SECURE THE BORDER and @SecMayorkas is bad at his job.
2022-12-31 01:08:01+00:00,"Congrats to my good friend, @netanyahu, on another term as Prime Minister! 

Looking forward to all our two great countries will accomplish and a continued strong relationship between #Israel and the United States. 🇮🇱🇺🇸"
2022-12-30 23:11:30+00:00,"While Democrats are unfazed by passing ANOTHER MASSIVE spending bill, somebody will have to pay for it, &amp; that somebody is YOU, YOUR KIDS &amp; GRANDKIDS.  
 
It's why I'm fighting to get our fiscal house in order &amp; STOP the spending spree.
https://t.co/oTDihsoQia"
2022-12-30 21:37:00+00:00,"Remember when @JoeBiden told us the Afghanistan withdrawal was a historic success just days after his botched plan cost 13 brave service members their lives?

It's OUTRAGEOUS. I'm fighting for a Joint Select Committee to conduct a FULL investigation &amp; hold this admin accountable."
2022-12-30 21:32:31+00:00,"Ann &amp; I were heartbroken to hear of our good friend Paul DiMare's passing. Paul leaves behind an impressive legacy throughout South FL. He was known as a generous philanthropist, incredible farmer, wonderful friend &amp; devoted husband. Swanee &amp; the DiMare family are in our prayers."
2022-12-30 21:02:07+00:00,"More burdensome regulation is the last thing Florida's growers and ranchers need, especially as many recover from Ian &amp; other devastating storms. Biden's terrible WOTUS rule must be reversed."
2022-12-30 18:52:34+00:00,"Biden's open border catastrophe is turning EVERY state into a border state. It's INSANE.
 
We need to SECURE OUR BORDER NOW."
2022-12-30 17:10:13+00:00,"I agree &amp; will take it a step further: EVERY manufacturer relying on supply chains in Communist China must take a HARD STANCE against the evil treatment of Uyghur Muslims.
 
Not a SINGLE AMERICAN dollar should be used to prop up the CCP's evil genocide.
https://t.co/DHJE07cywJ"
2022-12-30 15:01:56+00:00,"The trend of hardworking Americans rushing to Florida because they want freedom, low taxes and safe neighborhoods continues. @GavinNewsom, @GovPritzker &amp; @GovKathyHochul could learn from Florida's success. https://t.co/1Tc3XfQ3Tb"
2022-12-30 00:17:00+00:00,"It makes me SICK to watch Democrats' soft-on-crime policies jeopardize so many incredible small businesses across the country. 

I'm fighting to keep our communities safe and ensure EVERY AMERICAN has the chance to pursue their American Dream. 
https://t.co/5vsLAPUxk5"
2022-12-29 22:17:30+00:00,The media should be asking EVERY person who voted in favor of the $1.7 TRILLION Pelosi-Schumer spending bill if they actually read it.
