Datetime,Text
2023-01-02 16:04:07+00:00,"An important piece on vaccines and variants by @AllysiaFinley in WSJ.  

Her final sentence: “Why doesn’t that seem to worry the experts?” is the $64,000 question. https://t.co/fmi3Ehepve"
2022-12-29 23:54:37+00:00,"It appears others around the world are publicly acknowledging COVID-19 vaccine injuries are real and must be dealt with.
 
When will U.S. medical authorities admit what is obvious?
https://t.co/95RM4fwa0y"
2022-12-29 22:19:32+00:00,I want to sincerely thank @YouTube for reversing their removal and reinstating the excellent documentary on COVID-19 vaccine injuries “Anecdotal.” I highly recommend everyone watch and share it. https://t.co/qXTZgPUpYn
2022-12-29 20:26:34+00:00,"I wonder if @NIH, @CDCgov and @US_FDA will even acknowledge this Cleveland Clinic study on the bivalent boosters? If so, what will their response be?
 
https://t.co/qJb0QjeVbw"
2022-12-28 16:03:50+00:00,"Once again, @YouTube is censoring information on COVID-19 vaccine injuries that the public has a right to know. 
 
Fortunately, this link to “Anecdotals” still works.
https://t.co/1uHAUqee1i"
2022-12-24 17:37:51+00:00,Got home in time to make my 2022 batch of rollout cookies. Wishing everyone a very Merry Christmas! https://t.co/NWGXO9YUun
2022-12-23 16:38:35+00:00,"Although the Biden admin’s COVID-19 vaccine mandate for the military will end with the signing of the Fiscal Year 2023 National Defense Authorization Act, my efforts to uncover and expose the vaccines’ harmful effect on our service members will continue."
2022-12-22 23:37:11+00:00,"The Omnibus that just passed in the Senate is an abomination.
 
That's why I voted no.
 
There is no way anyone had time to read all 4,155 pages, much less comprehend how the massive deficit spending and major policy elements will negatively impact Americans. https://t.co/kSzcrqrHbD"
2022-12-22 18:55:39+00:00,"My amendment to the 4000+ page omnibus is simple. 

It ensures that funds appropriated for transporting illegal migrants can only be used to send them home, to a safe third country or to a detention facility.

We have to get our border under control but the Senate refuses to. https://t.co/HsdZWN1CLB"
2022-12-22 16:31:45+00:00,"Earmarks are the gateway drug to mortgaging our children’s futures.
 
625 pages of earmarks, totaling almost $10 billion in additional spending, will go to states that are sitting on almost $400 billion in surpluses.
 
This is grotesque. https://t.co/zYNAbYR1FS"
2022-12-22 03:59:43+00:00,"The Omnibus is an abomination. 

There is no way anyone had time to read all 4,155 pages much less comprehend how the massive deficit spending and major policy elements will negatively impact Americans. 

This takes Washington dysfunction and cynicism to an entirely new level."
2022-12-22 03:30:00+00:00,"Imagine your football team is losing 60 – 0. In the last few seconds, you kick a 3 point field goal &amp; call the game a “big win.”
 
It's an enormous loss.
 
Republicans are using this same analogy to argue that increasing defense spending in a $1.7 trillion bill is a ""big win."" https://t.co/McS6EhgFJJ"
2022-12-22 02:28:07+00:00,"Will the Democrats deny an up or down vote on a germane amendment that provides some measure of border control?

Or are they that dedicated to a totally open border?"
2022-12-21 00:00:00+00:00,"Today, I offered an amendment to eliminate $9.8 billion worth of earmarks from the massive omnibus spending bill.

This is the gateway drug to massive deficit spending and further mortgaging our children’s futures. https://t.co/pJUD0dx55r"
2022-12-20 23:07:38+00:00,"Something’s got to give if we want to avoid further financial devastation for Americans across the income spectrum.

A good start? Stop fast-tracking massive omnibus spending bills without time for careful consideration. https://t.co/brIj0uOE4t"
2022-12-20 03:00:16+00:00,"I hope Senate Republicans carefully consider our House colleagues’ letter. It is well past time for Republicans in Congress to honor our commitment to fiscal sanity. 

Promising fiscal restraint while spending like Democrats is unacceptable."
2022-12-19 20:51:10+00:00,"Here is further proof the FBI interfered in the 2022 Wisconsin U.S. Senate election. Add that to FBI interference in the 2016 and 2020 Presidential elections and you have an alarming pattern of corruption that should concern every American.  

How deep does this corruption go?"
2022-12-17 03:01:56+00:00,"Now that the military's COVID-19 vaccine mandate is ending, I hope @SecDef gives careful consideration to this letter we sent today urging the Pentagon to freeze all COVID-19 vaccine-related discharges and start undoing the harm caused by this misguided policy. https://t.co/uXmwOhmi62"
