Datetime,Text
2023-01-01 19:44:43+00:00,"To watch my full remarks, please click here: https://t.co/LZe7gsLeZC"
2023-01-01 19:43:33+00:00,"Happy New Year to all of you. I wanted to take just a few minutes today to talk to you about the Senate’s Health, Education, Labor and Pensions Committee, which I will soon chair. It is one of the most important in Congress and I’m going to need your help. https://t.co/JQVh9vaof6"
2022-12-30 21:21:03+00:00,"When it comes to tax avoidance, Trump is not alone.

Federal income taxes paid in 2020:

Nike: $0
FedEx: $0
HP: $0
Salesforce: $0
Dish Network: $0
Charter Communications: $0
Duke Energy: $0

Yes. Dr. King was right. We have socialism for the rich, rugged capitalism for the rest."
2022-12-29 15:06:38+00:00,"When we speak about essential workers, let’s give a loud shout-out to the thousands of line-crews in Vermont and around the country who have been working crazy hours restoring electricity to those who lost it during the recent storms. These are real life super-heroes."
2022-12-29 00:52:44+00:00,Southwest's flight delays &amp; cancellations are beyond unacceptable. This is a company that got a $7 billion taxpayer bailout &amp; will be handing out $428 million in dividends to their wealthy shareholders. @USDOT must hold Southwest's CEO accountable for his greed and incompetence.
2022-12-27 21:28:45+00:00,"I support @BCTGM Ingredion workers in their 20th week on strike in Cedar Rapids. If Ingredion can return $250 million this year to shareholders and pay its CEO $10 million last year, it can afford a fair contract that does not increase health costs, decrease wages, or cut jobs."
2022-12-25 17:03:05+00:00,"Wishing a peaceful and merry Christmas from myself, Jane, and our entire family to all those who are celebrating."
2022-12-19 17:12:17+00:00,"I confess. I love Vermont apples (and apple cider, apple pie, cider donuts, etc.) and very much appreciate those who tend the orchards that produce them.

For four generations, the Darrows and their team have worked hard to keep the orchard running. https://t.co/Y7e6EpqYGq"
2022-12-18 23:09:19+00:00,Jane and I would like to wish a Happy Hanukkah to all those who are celebrating around the world this week.
2022-12-16 16:08:04+00:00,Billionaires buying politicians and elections is a major threat to American democracy. https://t.co/te5HUwFw0j
2022-12-16 00:50:58+00:00,"Congratulations to the 750 environmental groups who successfully defeated Sen. Manchin’s Big Oil Side Deal tonight. Yes. We need to improve our transmission capabilities, but not for fossil fuels. In order to save the planet, we need to rapidly move to sustainable energy."
2022-12-16 00:22:52+00:00,"I voted tonight against the $858 billion Pentagon budget, which is 10% more than last year. At a time when we spend more than the next 11 nations combined on defense, we should invest in health care, jobs, housing and education – not more weapons of destruction."
2022-12-15 16:58:39+00:00,I agree with the 750 environmental and civil rights groups who have told us that given the threat of climate change it would be unacceptable to build a new fracked gas pipeline and expand fossil fuel extraction across the country. I’m opposed to Sen. Manchin’s Big Oil Side Deal.
