Datetime,Text
2022-03-16 11:56:15+00:00,"When Ukraine asks, our response should be ""how fast can we get it there?"" not ""how will the lawyers explain this?"" Zelensky needs more and America can do more. https://t.co/ibDAQgV7lT"
2021-08-31 20:23:19+00:00,President Biden kept his promise to the Taliban and lied to the American people. These lies will cost Americans for decades to come. https://t.co/zPumlUmPr9
2021-08-30 21:10:50+00:00,This national disgrace is the direct result of President Biden’s cowardice and incompetence. https://t.co/8pn5wutpJx
2021-08-25 12:35:52+00:00,It looks like the President and his team have a plan that is just to accept the risk that we will leave Americans behind. Leaving a single American behind is a disaster. It's a dereliction of duty. It's a national disgrace. https://t.co/oW9LOo72pv
2021-08-24 16:54:04+00:00,"Damn the deadline. The American people are not going to surrender our fellow citizens to the Taliban. Mr. President, tell the Taliban we’re getting our people out however long it takes, and that we’re perfectly willing to spill Taliban, al-Qaeda, and ISIS blood to do it. https://t.co/qCYrQ4AjF3"
2021-08-22 16:26:06+00:00,A great nation keeps its word. This administration needs to go faster and save the Americans and Afghan allies behind enemy lines. https://t.co/9lAGeRjp1v
2021-08-22 15:55:36+00:00,The Taliban needs to know they don't dictate the timetable on American lives. https://t.co/9lAGeRjp1v
2021-08-19 15:12:02+00:00,President Biden: We cannot wait for Americans to find their own way. Go get them. It’s the duty of the commander-in-chief. https://t.co/uvBXKR7NYg
2021-08-18 21:59:22+00:00,There can be no countdown clock on American lives. https://t.co/cU9EqUzqzr
2021-08-16 12:24:40+00:00,"President Biden needs to man up, come out of hiding, and take charge of the mess he created. Secure the airfields and get as many souls out as possible. Time is short.
https://t.co/bCBzcyIHoe"
2021-08-05 21:10:17+00:00,"""Uyghurs don't buy shoes."" - @Nike"
2021-07-21 13:24:34+00:00,"The last two administrations have abandoned our allies in the region, and pursued weak policies that have led to more chaos and death — not a safer America.

https://t.co/RQDXqBSlWV"
2021-01-06 22:09:14+00:00,This is not how we peacefully transfer power. https://t.co/vLhTwcP73h
