Datetime,Text
2023-01-01 23:01:55+00:00,"And I was proud to help congratulate my friends @GovKathyHochul, @LtGovDelgado, and @NYSComptroller as they were sworn in today for New York!"
2023-01-01 23:01:54+00:00,"It was my honor to swear @NewYorkStateAG Tish James into her next term. I have no doubt it will be even more productive and impactful than the last, and I can’t wait to continue working together for the people of New York. https://t.co/vpfBY7VdLy"
2023-01-01 05:01:01+00:00,"From my family to yours:

Happy New Year!"
2022-12-31 04:01:45+00:00,"Barbara Walters was a trailblazing journalist, so many of her interviews were unforgettable.

She broke the glass ceiling for so many women and girls.

I knew Barbara—she always wanted to get the truth.

I’m praying for her family and for all who knew and loved her."
2022-12-30 19:16:47+00:00,With Noah and my family at the New York Botanical Garden @NYBG Holiday Train Show! 🚂 https://t.co/JBSLVlx3BM
2022-12-30 01:14:21+00:00,Some of the greatest Christmas lights in the world are the Dyker Heights Christmas Lights in Brooklyn. It’s been a Schumer family tradition to visit them between Christmas and New Year’s. My grandson Noah had a great time! https://t.co/VsyA9wU6Gu
2022-12-30 00:32:30+00:00,"This $292M federal grant for Gateway is the largest award from the @USDOT’s Mega grant program.

I pushed for this award, and this program is made possible by the infrastructure bill we delivered.

It will energize the vital Gateway Tunnel project!

https://t.co/JtwOsIE0Sw"
2022-12-29 15:56:53+00:00,"Historic—This Senate Democratic Majority confirmed 97 diverse, well-qualified federal judicial nominees.

And we will keep going! https://t.co/9pKvV0q0NA"
2022-12-28 17:18:00+00:00,"These are still some of the best calls I make!

And there’s always the chance that I end up working with one of those cadets one day like with my friend @RepPatRyanNY!"
2022-12-27 19:08:48+00:00,"After @GillibrandNY &amp; I secured emergency declaration from @POTUS for WNY:

I spoke with @FEMA_Deanne to urge FEMA to launch whole-of-government response

FEMA must maximize direct assistance authority we secured to mobilize boots-on-the-ground to bolster WNY’s emergency response"
2022-12-26 17:06:10+00:00,"I’m grieving and heartbroken for the families, friends, loved ones, and communities of all those we’ve lost to the blizzard in New York. I’m praying for them and everyone affected. @GillibrandNY and I are continuing to push FEMA to quickly deliver disaster aid to WNY."
2022-12-25 14:17:53+00:00,"A very 🎄 Merry Christmas 🎄 to everyone celebrating today in New York, across our country, and around the world! Wishing you and your loved ones a peaceful and joyful holiday."
2022-12-23 17:13:24+00:00,"This Senate Democratic Majority confirmed a historic slate of 97 diverse, well-qualified judicial nominees.

We will keep going, and our democracy will unquestionably be better for it! https://t.co/o3CQjY08x7"
2022-12-23 02:21:08+00:00,"This is good news:

For the first time in nearly a decade, this omnibus bill expands funding for the National Labor Relations Board to help them fight for workers and the right to unionize.

We’ll never stop fighting for working families and people."
2022-12-22 23:56:51+00:00,"This Senate has confirmed 97 federal judges.

That’s more than the first Congress in either of the two previous administrations."
2022-12-22 23:25:39+00:00,"For students, this funding bill secures the largest increase in the maximum Pell Grant award in over a decade—an increase of $500. Pell Grants provide ladders up for millions of students. That’s a great thing."
2022-12-22 22:42:12+00:00,"Through this funding bill, we are ending the 117th Congress by protecting our democracy through reforming the Electoral Count Act."
2022-12-22 21:40:31+00:00,"The omnibus package secures the first major down payment in research and building the tech hubs across the country that we have authorized through the CHIPS and Science Act.

It'll help create the silicon valleys, silicon forests, silicon heartlands, silicon prairies of tomorrow."
2022-12-22 21:20:28+00:00,"With this bill:

We increased child care funding by growing the Child Care and Development Block Grant by 30%!"
2022-12-22 20:59:45+00:00,"This funding bill is overflowing with very good news for our troops, for American jobs, for our families, for the brave Ukrainian fighters, and for American democracy."
2022-12-22 20:36:18+00:00,"I’m proud the Senate voted to extend health care funding for the 9/11 first-responders and survivors.

New Yorkers remember how many sacrificed their health when working on the pile at Ground Zero—and America must never forget either. https://t.co/Ed50Z8vQGC"
