Datetime,Text
2022-12-25 20:00:45+00:00,Merry Christmas! Wishing you and your loved ones a safe and happy holiday season. Grateful to spend time with family and friends.
2022-12-22 20:36:33+00:00,"Today, in my final vote in the U.S. Senate, we funded the government - providing critical funds for national security, as well as important resources for the country and for Alabama. 

It’s been the honor of my lifetime, #Alabama. Thank you! https://t.co/6wYHwymYoc https://t.co/MOImGm9PJs"
2022-12-22 14:42:39+00:00,Pleased that Joe Ritch has been confirmed by the Senate to serve as a member of the Tennessee Valley Authority Board of Directors. Joe was previously the first Alabamian to serve as TVA Board Chair. His return to the Board will be good for TVA &amp; great for North Alabama. @TVAnews
2022-12-20 07:43:17+00:00,"This process was far from perfect, but ultimately it allowed Republican redlines to be adhered to and because of that I will urge my colleagues to support this package. We need to do our job and fund the government. https://t.co/FVnVnVUPHS"
2022-12-20 07:43:17+00:00,"Further, the omnibus appropriations legislation provides a significant down payment on critical disaster assistance for millions of Americans affected by recent storms and fires, as well as continued support for the Ukrainian people fighting for their freedom and survival."
2022-12-20 07:43:16+00:00,"I'm also very pleased that veterans’ health care costs will be funded as budgeted without using accounting gimmicks designed to enable more wasteful spending. And, once again, we rejected all poison pills while preserving crucial legacy riders. https://t.co/FVnVnWcqzq"
2022-12-20 07:43:16+00:00,"The non-defense funding level is an increase of only 5.5%, reducing the Administration’s wasteful non-defense budget request increase by more than half. https://t.co/FVnVnVVnxq"
2022-12-20 07:43:15+00:00,"Since day one, I've insisted on increasing defense funding well above POTUS’s request without similar increases in wasteful liberal non-defense spending. I’m pleased that this package meets the level set by the NDAA last week, which is $76B over last year – an increase of 10%."
2022-12-20 07:43:15+00:00,"After many months of ongoing negotiations, we have reached an agreement on an omnibus appropriations package to fund the government for the remainder of the current fiscal year. https://t.co/FVnVnWcqzq"
2022-12-16 20:33:07+00:00,"This week, after 36 years in the Senate, I delivered my farewell speech on the Senate floor. Thank you to the people of Alabama for electing me 12 times to public office. It has been the honor of my lifetime. https://t.co/z5XmpVQWxx"
2022-12-16 01:26:25+00:00,Passing the National Defense Authorization Act is a critical step in the process of providing defense funding &amp; supporting our Armed Forces. I'm pleased to have supported this bill and look forward to advancing defense appropriations legislation next week. https://t.co/68rhNPPvFf
2022-12-15 18:35:01+00:00,"Thank you, @SenJohnThune! It has been an honor to serve with you in the Senate."
2022-12-15 15:08:09+00:00,"This morning, I will be attending my final Senate Banking Committee hearing during my time in the Senate. Grateful to have spent 36 years on @BankingGOP, where I was chairman for six years and ranking member for another six years. Tune in here: https://t.co/PTUZjyWtrC"
2022-12-15 00:45:11+00:00,"Today we celebrate 203 years of the great state of #Alabama! I am grateful for this state, its people, and the opportunity it has afforded me in the U.S. Senate and U.S. House of Representatives. Happy birthday, Alabama!"
2022-12-15 00:13:16+00:00,"Excited that @AuburnU has received a competitive $9.3M award from @USDA_NIFA. By establishing Auburn as an Institute for Rural Partnerships, Auburn’s College of Agriculture &amp; College of Engineering will work together to strengthen &amp; support rural Alabama. https://t.co/et0rDHHFOI"
2022-12-14 20:08:39+00:00,"This afternoon on the Senate floor, I will be speaking about my 36-year career representing Alabama in the U.S. Senate. Please tune in to CSPAN2 around 3:30pm ET to watch. https://t.co/v4eCwx0N2Y"
2022-12-13 14:20:42+00:00,"Thank you to @AIAspeaks for presenting me with the Wright Stuff Award. I am proud of what @JimInhofe, @SenatorLeahy, and I have been able to accomplish in the aerospace and defense industry. There is no wiser investment than that of our military."
2022-12-12 22:07:24+00:00,"I'm deeply honored to have received Distinguished Public Service awards from the @SecDef, @TheJointStaff, @SecArmy, @SecNav, and @SecAFOfficial. For 36 years, I've served as an advocate for our military in the Senate. It's been the privilege of a lifetime to support this mission. https://t.co/L4xEBYejiy"
2022-12-12 21:39:52+00:00,"Thank you, @ComdtUSCG. The honor was mine."
2022-12-09 23:01:35+00:00,"The @City_of_Mobile today hosted a dedication ceremony that I’ll never forget. Thank you, Mobile, for the grand gesture of establishing Shelby Point in my honor. I’m truly grateful. What we have built in Mobile has the ability to transform Alabama’s economy. https://t.co/Z9eUpr9rdv"
2022-12-09 21:31:15+00:00,Very pleased to participate in the groundbreaking of the Mobile Int’l Airport this afternoon. We have worked hard to provide significant funding for this project. I look forward to the opportunity &amp; improved service that this new airport will bring to the Mobile area &amp; the state. https://t.co/xu0ZRbsoU8
2022-12-07 23:46:59+00:00,"Happy Birthday, @Austal_USA! I am proud of all that Austal has been able to accomplish in #Mobile and applaud its first-class workforce, whose contributions have helped strengthen our national security. Congratulations on 23 productive years."
2022-12-07 15:57:58+00:00,"81 years after the surprise attack on Pearl Harbor, we remember the 2,403 men and women who made the ultimate sacrifice defending our nation. The bravery and service of these American heroes will never be forgotten. #PearlHarborRemembranceDay https://t.co/UucMyrPTEc"
2022-12-06 23:08:41+00:00,"#OTD in 2019, a terrorist attack at Naval Air Station Pensacola took the lives of three men, @USNavy Ensign Kaleb Watson of #Enterprise, AL, airman Cameron Walters of GA, and airman Mohammad Haitham of FL. My thoughts are with their families today as we remember their sacrifice."
2022-11-30 15:55:31+00:00,"Very sad to learn that two people in Montgomery County were killed during the deadly tornadoes that touched down in Alabama last night &amp; into this morning. Praying for their loved ones during this tragic time, along with all of those impacted by the severe weather &amp; devastation."
2022-11-26 15:00:52+00:00,"America’s small business owners work hard to help generate economic growth across our nation. Over 33 million local businesses in the U.S. invest in our communities. Today, I encourage Alabamians to invest in them and #ShopSmall. Happy #SmallBusinessSaturday! https://t.co/D56SIy9qWz"
2022-11-24 14:26:51+00:00,"Wishing everyone a happy #Thanksgiving! We, as a nation, have a lot to be grateful for, including the ability to celebrate with friends and family. As you give thanks today, remember our brave servicemembers who protect us abroad, ensuring our freedom and safety at home. https://t.co/ln9sD7SdcF"
2022-11-21 23:04:19+00:00,Thank you. I am very humbled by this honor.
2022-11-21 19:57:25+00:00,"I had the pleasure of being in #Huntsville today to attend a ribbon cutting ceremony for the new @FBI operations building, which will operate similarly to a headquarters for Redstone's growing FBI presence. This is exceptional news for our state and the security of the nation. https://t.co/e6y0rup51t"
2022-11-16 18:33:39+00:00,"My sincere thanks to the Aviation Council of Alabama for travelling to Washington to present me with this resolution. I've been fortunate in my career to help secure a number of aviation investments in AL, providing our state with the necessary tools for greater economic success. https://t.co/vpP6FFSC8c"
2022-11-16 14:10:09+00:00,"It's a great day for @NASA and a great day for space exploration! Congratulations to all of those who have worked on the Artemis program. Today, we made history. I’m proud of the major role that Alabama played in this monumental success. https://t.co/a3DyWN50LQ"
2022-11-15 21:33:16+00:00,"Happy 60th anniversary to @CRPHSV! As the second largest research park in the U.S. and fourth largest in the world, Cummings Research Park is an impressive &amp; competitive home base for researchers and innovators. Good things are happening in Huntsville, especially throughout CRP."
2022-11-11 14:32:08+00:00,"Thank you to all of the courageous men and women who have selflessly served our country. It’s important that we honor their sacrifice — not just on #VeteransDay, but every day. Due to their bravery and commitment to our nation, we remain free and safe at home. https://t.co/JE7AwqPa6q"
2022-11-10 14:14:38+00:00,"Today we proudly celebrate 247 years of the U.S. Marine Corps. Our Marines are unwavering in their loyalty and duty to our country. I have the utmost appreciation and respect for the brave men and women of the USMC and the many ways they protect our homeland. Thank you, @USMC!"
2022-11-08 15:47:47+00:00,The importance of exercising your right to vote on #ElectionDay cannot be overstated. The future of Alabama and our nation is on the line. I encourage everyone to head to the polls and cast your ballot. Today is the day!
2022-10-30 22:21:16+00:00,"Annette and I were very sad to learn of the passing of our close friend, Honey Alexander. Our deepest condolences go out to Lamar and his entire family. Honey will long be remembered for her charm, grace, and public service. She will be missed by all who knew her."
2022-10-24 15:55:44+00:00,The Port’s rise is attributable to everyone who has been involved in promoting its growth and the many ways it benefits Alabama. This is just the beginning. https://t.co/rXGb7AUvN4
2022-10-24 15:55:44+00:00,"I have long known that Alabama’s largest port could have a pivotal impact on the growth of our state. Throughout my career, I’ve focused on projects that aim to position Alabama for long-term success, and the Port has been one of those priorities."
2022-10-24 15:55:43+00:00,These results are cause for celebration throughout Alabama. The impact that the Port of Mobile has already had on Alabama’s economy is remarkable. I am proud to witness this great news and believe these numbers will continue to improve.
2022-10-24 15:55:43+00:00,"A new study reveals the Port of Mobile’s critical impact on the entire state of Alabama – including 300,000+ jobs and $85 billion in economic value. https://t.co/rXGb7AUvN4"
