Datetime,Text
2023-01-01 13:11:30+00:00,"Happy New Year. 

As we close the book on 2022, I wish everyone peace and good health in the year to come. https://t.co/qkIbCevrF9"
2022-12-25 13:10:00+00:00,"From my family to yours, a very Merry Christmas to all who celebrate. 

I hope everyone has a joyful, blessed holiday season. https://t.co/knVPxnsIks"
2022-12-22 17:20:24+00:00,"MV Realty is preying on homeowners in Ohio and around the country.

I’m working with Senator @RonWyden and @SenTinaSmith to hold them accountable.
https://t.co/m2xPIOxfAB"
2022-12-13 22:46:52+00:00,"Ohioans should be able to marry whom they love.

We protected that right when we passed the Respect for Marriage Act in the Senate, and today, President Biden signed it into law. 

#LoveIsLove"
2022-12-13 00:52:04+00:00,"I applaud the @TheJusticeDept and the Bahamian authorities for holding Sam Bankman-Fried accountable.

The @SenateBanking and Housing Committee will continue working to uncover crypto's risks to consumers, our financial system, and our national security."
2022-12-08 19:33:00+00:00,"Because of the union leaders and advocates who fought to make this happen, the Cleveland City Council is acting to protect the dignity of work in our city.

When we stand with workers, we all win.
https://t.co/v4MJlUXy4W"
2022-12-08 18:27:08+00:00,"NEW: 

Thanks to my Butch Lewis Act, the Central States Pension Plan will receive more than $35 billion in funding to restore pension benefits with NO CUTS for hundreds of thousands of union workers—including tens of thousands of Ohio Teamsters, retirees and their families. https://t.co/21kr1yv6c0"
2022-12-07 19:01:37+00:00,"It’s simple. No tax cuts for corporations without tax cuts for working families.

Tune in as my colleagues and I join @MomsRising to make clear we need to expand the Child Tax Credit. #CTCNow https://t.co/GKEz0V2lVD"
2022-12-06 16:47:46+00:00,"Letting Big Tech and other companies operate banks—without proper oversight—will open doors for predatory lending and invasions of your privacy.

That's why I introduced the Close the Shadow Banking Loophole Act—to protect your pocketbooks and our banking system."
2022-12-04 14:00:00+00:00,I'll be joining @jaketapper on @CNNSotu shortly. Tune in.
2022-12-01 19:49:22+00:00,"For too long LGBTQ+ communities and communities of color were forced to bear the brunt of the AIDS epidemic alone. 

Today on #WorldAIDSDay we remember and honor the legacies of those we have lost, and recommit to the global fight against HIV/AIDS. https://t.co/0HRwzgf6Gq"
