Datetime,Text
2023-01-02 15:00:33+00:00,"Thanks to @POTUS and Democrats, the deficit was cut in half last year!"
2023-01-01 18:23:39+00:00,Four more years for great leaders who are ready to keep delivering for Michigan https://t.co/3Tnon7NAQp
2023-01-01 16:02:18+00:00,.@SenGaryPeters and I wish you and your family a Happy New Year as we celebrate the second inauguration of @GovWhitmer! https://t.co/mfCE1BLjOZ
2023-01-01 05:05:30+00:00,Happy New Year! Here’s to a happy and healthy 2023. https://t.co/RAT1XXfC55
2022-12-31 20:00:32+00:00,It’s #CFBPlayoff time! Good luck to @umichfootball in the @Fiesta_Bowl against @tcufootball! #GoBlue!
2022-12-30 23:02:12+00:00,"So proud of you, @mtbarra!"
2022-12-30 14:00:32+00:00,"In two days, more than 1.7 million Michiganders on Medicare will have their insulin capped at $35 per month.

This is huge and it's all because of the Inflation Reduction Act!"
2022-12-29 21:22:18+00:00,"Today’s announcement is a step in the right direction to ensure we meet our goals. I encourage @USTreasury to continue its outreach to our auto manufacturers, union workers, dealers, and consumers as it finalizes guidance by March."
2022-12-29 21:21:50+00:00,The intent of the Inflation Reduction Act has always been to tackle the climate crisis and support the best workers in the world who are making the vehicles and technologies that will help us win the global clean energy race.
2022-12-29 21:20:23+00:00,"As I said when the Inflation Reduction Act passed, the clean vehicle credit language as written was unworkable and may lead to more auto jobs overseas than less. That’s why I applaud the @USTreasury for addressing this in its guidance."
2022-12-29 15:35:13+00:00,Democrats took on Big Pharma and Big Oil this year to lower your costs - and we're just getting started!
2022-12-28 15:11:25+00:00,The Great Lakes are part of our DNA here in Michigan. We made the single largest investment yet in the Great Lakes Restoration Initiative so that we can protect our lakes for generations to come!
2022-12-28 00:46:40+00:00,"97 federal judges have been confirmed by the U.S. Senate in the last two years! @SenateDems are bringing experience, diversity, and a commitment to justice to the federal judiciary."
2022-12-27 19:12:25+00:00,Sending warm wishes to all celebrating Kwanzaa this week. https://t.co/xpnYnEcqXy
2022-12-25 13:33:03+00:00,"Merry Christmas, Michigan! Wishing you and your loved ones a joyful holiday. https://t.co/AofR94VMYM"
2022-12-24 13:54:59+00:00,Happy birthday and Merry Christmas to my friend Dorothy!
2022-12-23 23:04:52+00:00,This builds on the $1 billion in funding from the Infrastructure Law – the single largest investment yet in the Great Lakes Restoration Initiative!
2022-12-23 23:04:51+00:00,"I authored the Great Lakes Restoration Initiative in 2010 because I know how important the lakes are to our way of life in MI.
 
This program has been a huge success. That's why I secured $368 million in funding for it to continue to protect our lakes for generations to come."
2022-12-23 21:46:51+00:00,"No child should ever go hungry. That's why I led the effort to secure permanent funding for new summer meal options in the federal budget.
 
This is a big step forward to ending childhood hunger, but there's still more to be done!"
