Datetime,Text
2023-01-02 20:48:26+00:00,"As we look forward to 2023, let’s reflect on the accomplishments my team helped achieve for Texas in 2022. https://t.co/859qYnuIcq"
2023-01-01 15:34:15+00:00,"Heidi and I want to wish you and your families all a very happy, healthy, and prosperous 2023. May God continue to watch over and bless America in the new year."
2022-12-31 18:33:22+00:00,"Let’s look back at all we accomplished for Texas &amp; America in 2022:

✅ Unleashing American energy by securing 4 LNG export permits
✅ Continuing to invest in the Johnson Space Center
✅ Ending Biden’s tyrannical vaccine mandate
✅ Leading the fight against the #BidenBorderCrisis https://t.co/g0BwWMcsaL"
2022-12-25 14:18:42+00:00,Heidi and I would like to wish you and your family a merry Christmas and blessed new year. May God continue to watch over the United States and the great state of Texas.
2022-12-22 19:29:21+00:00,"RELEASE: Sen. Cruz Issues Statement On Omnibus Vote

https://t.co/6nfA9UdLbZ"
2022-12-18 21:45:59+00:00,"Heidi and I wish a happy Chanukkah to all of our Jewish friends across Texas, the US, and the world. During the festival of lights, we commemorate the miracle that happened there. May each candle you light this year expel a bit more darkness."
2022-12-07 01:26:07+00:00,"It is of utmost of importance we stand firm with our friend and ally – especially when Biden and his Administration are committed to undermining Israel's sovereignty over its capital. 2/x

🇺🇸🇮🇱"
2022-12-07 01:26:07+00:00,"5 years ago today, President Trump formally made it US policy to acknowledge the reality that Jerusalem is the capital of Israel. 1/x"
2022-12-06 22:53:00+00:00,"Every state is a border state.
 
#BidenBorderCrisis
 
https://t.co/1o1kBiXfyu"
2022-12-06 21:26:28+00:00,"Abysmal.
 
President Biden has done nothing but run and hide from the ongoing crisis at the southern border.
 
#BidenBorderCrisis
 
https://t.co/YPXTmiwZZO"
2022-12-06 20:39:35+00:00,"RELEASE: ICYMI: Cruz Praises Army Decision to Use Fort Worth’s Bell Textron for New Assault Helicopter
 
https://t.co/q3cso8Cu2J"
2022-12-06 20:01:04+00:00,"The Biden admin is committed to leveling the claims between the Palestinians and Israel to Jerusalem, Israel’s eternal and unified capital. 

If they could move our embassy out of Jerusalem they would, but they’re not prepared to pay the political price. 
https://t.co/8tliZpnx46"
2022-12-06 18:03:51+00:00,"President Biden just confirmed what I have been saying for the last 2 years.
 
He doesn’t care about the chaos, crime, drugs, murder, or sex trafficking taking place at the southern border.
 
#BidenBorderCrisis https://t.co/ivApRSeZpL"
2022-12-06 17:06:43+00:00,"HHS and the Biden Administration need to respond to a simple question my colleagues and I are asking: Why are you sending unaccompanied, illegal alien children to live with sex traffickers?
 
The whistleblower evidence is damning.
 
https://t.co/ui0zu890ED"
2022-12-06 15:59:14+00:00,"Sadly, I’m confident Merrick Garland won’t hold Dr. Fauci accountable. https://t.co/PUtreHzAbn"
2022-12-06 14:52:53+00:00,"It’s my hope that by giving the Review Board more time to examine the case files related to these unsolved crimes, we can shed sunlight on these Civil Rights cold cases, and finally bring justice to the victims and their families.
https://t.co/RIHhKGGjNu"
2022-12-06 03:31:34+00:00,"The #TwitterFiles have exposed corruption in the highest levels of government, FBI, and Big Tech.
 
Big Tech brazenly censored the Hunter Biden laptop story. https://t.co/XR4uD3Grtm"
2022-12-06 02:14:06+00:00,"RELEASE: Cruz Praises Army Decision to Use Fort Worth’s Bell Textron for New Assault Helicopter
https://t.co/X4CI2X6XIF https://t.co/JxZR0wNV2v"
2022-12-05 21:17:45+00:00,https://t.co/ilAwHCBf6E https://t.co/vtrWxG9VM0
2022-12-05 20:26:49+00:00,RELEASE: Sen. Cruz Statement on Positive 303 Creative Oral Arguments https://t.co/1eRcMuXT2d
2022-12-05 18:49:23+00:00,".@CoinTelegraph: Bullish on Bitcoin, US Senator Ted Cruz wants Texas to be a crypto oasis
 
https://t.co/aqf2SB7YnF"
2022-12-05 15:02:47+00:00,"There is absolutely no reason the IRS needs to monitor Venmo transactions of $600.
 
The priorities of the Biden Administration are completely out of whack.
 
https://t.co/NYnuG1p5ad"
2022-12-05 01:12:56+00:00,"Our economy is now on the edge of what would be a fiscal catastrophe all because of the Biden admin’s ineptitude. After doing next to nothing to avoid a rail strike, Biden assured the American people that this matter was settled.
 
🚨READ MORE HERE🚨
https://t.co/Kvb34GIhV7"
2022-12-04 19:18:57+00:00,"Free speech guarantees a free society that benefits every American— it's not the role of government to decide what someone can or can’t say.
 
Colorado has blatantly ignored the Constitution and is denying American citizens their First Amendment rights.
 
https://t.co/L5US1lDrbe"
2022-12-04 15:20:07+00:00,"Ruff day.

https://t.co/gKSzkk8a7E"
2022-12-03 17:35:56+00:00,"ICYMI: Sen. Cruz Issues Statement on CCP Crackdown
 
https://t.co/EJBIZMM8z2"
2022-12-02 22:49:24+00:00,"President Biden is touting this month’s jobs report.
 
The reality:
 
The CPI index soared 7.7%
 
Inflation is destroying wages
 
60% of Americans are living paycheck to paycheck.
 
Biden's view on the economy is rooted in a fantasy."
2022-12-02 21:57:28+00:00,"The great state of Texas is proud to be home to part of the iconic Route 66 and I am proud to work with Senator Inhofe to designate this highway as a historic trail.
 
⬇️READ THE FULL RELEASE HERE⬇️
 
https://t.co/7f8s6xM6Zr"
2022-12-02 18:39:59+00:00,"Since Biden took office, illegal aliens have flooded the border at record levels.
 
When Title 42 ends – the #BidenBorderCrisis will only intensify.
 
He hasn’t done a thing to prevent this.
 
https://t.co/iorvfL4ezY"
2022-12-02 17:26:37+00:00,"I had the privilege to attend the @TPPF Empowerment Leadership Summit Dinner with former Secretary of Education @BetsyDeVos.

I truly believe that school choice is THE civil-rights issue of the 21st century – and I am proud to have led the fight in the Senate for the last decade. https://t.co/cU0Rf9LCfI"
