Datetime,Text
2023-01-02 21:28:13+00:00,"With a new majority taking control of the House, I hope that Congress will get on a better track to start doing its job and get back to good government and fiscal responsibility."
2023-01-01 21:26:20+00:00,"Tough loss today, but proud of the @Panthers fight this season and Steve Wilks’ leadership of this team."
2023-01-01 12:56:57+00:00,Susan and I wish you a Happy New Year! #HappyNewYear2023 https://t.co/UQL8L5mwwc
2022-12-29 16:02:37+00:00,"Since Biden took office, his open border policies have allowed 5.3 million illegal immigrants to cross our border."
2022-12-29 02:02:30+00:00,Another great season for @ECUPiratesFB!
2022-12-28 20:23:01+00:00,"Wishing @UNCFootball the best of luck as they compete in the #HolidayBowl! 🏈

#CarolinaFootball #UNCommon"
2022-12-25 13:00:01+00:00,"Susan and I wish everyone a Merry Christmas! As everyone enjoys this holiday with family and friends, may we also remember the men and women of our nation’s military and their families for their service and sacrifice to keep us safe. https://t.co/fBdHD58HWN"
2022-12-24 17:20:07+00:00,"This holiday season, Susan and I remain grateful for all the first responders, law enforcement, and frontline workers for their service and dedication to North Carolina's communities."
2022-12-22 19:23:52+00:00,I remain against this out of control spending and voted no on final passage.
2022-12-22 16:24:00+00:00,"Cartels and drug traffickers are using Biden’s open borders to bring poisons like fentanyl into our communities. We must secure the border and enforce the rule of law to minimize drug flow and save lives.
https://t.co/gOhRLyxr9v"
2022-12-21 18:52:35+00:00,I voted against proceeding to the $1.7 trillion omnibus because it contains too much wasteful spending &amp; misguided priorities. Many North Carolinians have struggled with inflation &amp; been forced to make sacrifices &amp; cut back on spending. Congress needs to start doing the same.
2022-12-21 13:51:08+00:00,"I have been working with the Lumbee tribe for years to help them preserve their heritage and culture and get the respect they deserve through federal recognition. It is long past time for them to be recognized, and I won’t stop working until it happens. https://t.co/DTc0rsM2qx"
2022-12-20 20:15:00+00:00,"The end of Title 42 would be catastrophic for our national security.

https://t.co/dkfw8IK6Cy"
2022-12-20 19:44:21+00:00,"Congratulations to Jessica Barnette of Rocky Point Elementary School on being awarded the Milken Educator Award! I was proud to recognize her profound dedication to her students and outstanding teaching, which earned her this prestigious award. https://t.co/A8q5vlr1hV"
2022-12-20 18:04:58+00:00,"Right now, Border Patrol agents are preparing for an estimated 14,000 migrants per day – more than double the current crossings. If the Biden admin refuses to keep Title 42, then our borders will be wide open and the number of crossings will be worse.
 
https://t.co/V5UpdEQNGr"
2022-12-19 22:27:04+00:00,"I was proud to lead efforts to secure much-needed improvements to military installations, including NC’s very own Fort Bragg &amp; Camp Lejeune. This #NDAA is a big win for NC’s servicemembers &amp; military families &amp; I look forward to POTUS signing this bipartisan legislation into law."
2022-12-18 20:25:36+00:00,Susan and I are wishing all of our Jewish friends a peaceful and joy-filled holiday season! #HappyHanukkah https://t.co/yG5wLUxp1d
