Datetime,Text
2023-01-02 21:25:33+00:00,"I am relieved to hear that Teshitaa Tufaa is on his way back to his family.

When the community reached out to my office, we immediately spoke to the State Department to make them aware of Mr. Tufaa’s arrest and ask that they do everything possible to secure his release."
2023-01-01 22:50:49+00:00,A great way to ring in the new year: a $35 cap on insulin for seniors.
2023-01-01 16:03:19+00:00,Wishing you all a happy and peaceful New Year! https://t.co/YQEg7DDiYl
2022-12-30 00:32:01+00:00,My language was included in the omnibus bill President Biden signed into law and will mean real help for Native peoples in need.
2022-12-30 00:32:00+00:00,"Native communities badly need more resources for culturally-appropriate mental health and substance use disorder prevention, treatment and recovery care.
 
I fought for Tribes and urban Indian health providers to be able to use resources in the way their communities need them."
2022-12-28 17:54:53+00:00,"For years, Congress hasn't increased the budget for Title X (the only federal family planning program).

Republicans blocked my bill with @PattyMurray and @SenWarren to fix this.
 
Let’s be clear: everyone deserves access to ALL reproductive health services."
2022-12-28 17:54:52+00:00,"Since Roe was overturned, I’ve been thinking a lot about reproductive rights. You might think that if Republicans overturned Roe and want to ban abortion, they’d work with us on expanding access to family planning, right?
 
Wrong – and here’s some proof."
2022-12-25 16:17:35+00:00,"Merry Christmas from my family to yours, Minnesota!"
2022-12-23 18:04:49+00:00,"Guaranteed funding for the Indian Health Service through 2024 is a huge win for Tribal Nations.

The federal government has legal, trust and treaty responsibilities to the millions who rely on the IHS, and I was glad to push for advanced appropriations for the agency. https://t.co/qTd2MkPcAA"
2022-12-22 20:08:21+00:00,Nobody should be scared they might lose their job because they're pregnant and need accommodations.
2022-12-22 01:12:18+00:00,"It was unforgettable to be in House Chamber for President Zelensky’s address. He is a powerhouse for democracy and an inspiration.

The sheer willpower of the Ukrainian people reminds us that the fight for democracy doesn’t end at our own borders.
 
Slava Ukraini 🇺🇦"
2022-12-21 16:00:06+00:00,"I know we pride ourselves on enduring the bitter cold, but this storm is dangerous.

Stay safe, Minnesota!"
2022-12-21 15:14:33+00:00,"With the frigid Arctic blast coming to Minnesota, we can’t forget the serious threat it poses to our unhoused neighbors. I always hear that we know what to do to address homelessness, we just need the will to fix it.
 
@POTUS released his plan – let’s get to work."
2022-12-20 22:56:23+00:00,"I’ve known her for over ten years. Jessica is reasonable and builds consensus — even when it’s difficult and there are real differences to bridge.

While this is a step back, I’m not giving up on pushing Jessica’s nomination through."
2022-12-20 22:56:22+00:00,"BREAKING: Jessica Looman's nomination to enforce some of our most important labor laws was just blocked in the Senate.
 
Blocking a well-qualified, bipartisan nominee is deeply disappointing to both Minnesotans and workers across this country who expect us to be in their corner. https://t.co/YQZx2M9Tqv"
2022-12-20 20:29:30+00:00,"Wells Fargo has repeatedly and systemically broken the law, costing working families more than a billion dollars in unfair fees.

This action proves again why we need a strong @CFPB to keep big banks in line and protect consumers."
2022-12-19 18:51:34+00:00,"The former president endangered countless lives in his unabashed, authoritarian crusade against this democracy.
 
Criminal charges are both reasonable and necessary."
2022-12-19 01:31:59+00:00,"Happy Hanukkah, Minnesota!

Chag Sameach!"
2022-12-17 22:17:29+00:00,Go Vikings! #SKOL
2022-12-16 19:49:50+00:00,"I was proud to vote for the Water Resources Development Act.
 
It's going to modernize our water infrastructure, safeguard public health, protect the Mississippi, Great Lakes, and other waterways, and move Minnesota crops and iron ore to market."
2022-12-15 14:40:55+00:00,"Crypto mining uses a ton of energy (more than some entire countries), further exacerbating climate change. Now neighbors who never asked to live near crypto miners are seeing local pollution and their energy bills go up.
 
Listen to @Ben_Mckenzie from yesterday’s FTX hearing. https://t.co/EKSFBjaYZc"
2022-12-14 16:05:32+00:00,"An AR-15 stole Noah, nineteen of his classmates, and six of his teachers from us. If we want to do right by them, we’ll act and ban assault weapons."
2022-12-14 16:05:32+00:00,"I’m thinking a lot about Noah and his mom today, and what more we can do. We passed the Bipartisan Safer Communities Act thanks to the work of tireless gun safety advocates like @MomsDemand.

But it doesn’t ban the weapon of war that took Noah and his classmates from us."
2022-12-14 16:05:30+00:00,"“Noah, you will not pass this way again. I can only believe that you were planted on Earth to bloom in heaven.”

I’ve read Veronique De La Rosa’s eulogy for her six-year-old son Noah, who was murdered at Sandy Hook ten years ago.

I think every lawmaker should. https://t.co/cNhmrBqVCL"
2022-12-13 21:43:26+00:00,"DOMA. Don’t Ask Don’t Tell. Obergefell. The Respect for Marriage Act.

We’ve spent decades debating a simple question: should we as a country give equal rights to LGBTQ+ people? The answer is yes.

@POTUS just signed the Respect for Marriage Act, and I was honored to be there. https://t.co/IRfdoTg8Qr"
2022-12-13 18:42:54+00:00,"It’s not hard to conclude SBF bulldozed over market rules because he thought nobody would stop him.

Let’s be clear: we need strict protections for consumers, shielding them from blatantly corrupt actors in crypto."
2022-12-12 20:02:08+00:00,"1) Obama joined the Paris Climate Accords.
2) Trump withdrew and sold out to Big Oil.
3) Biden rejoined the Accords.
4) Democrats passed the biggest climate bill in history.

Noticing a theme here?"
2022-12-11 16:53:46+00:00,Congratulations to all of the Native athletes who played in the Indigenous Bowl today. Minnesota is proud of you! https://t.co/ZrYO8m2vNo
2022-12-09 01:39:49+00:00,"Archie Smith is in People Magazine, and my whole family is asking: what’s up with @SecondGentleman photobombing his picture?

We love you Archie (and Doug too)! https://t.co/NbCfndhfH0"
