Datetime,Text
2023-01-01 05:06:44+00:00,I wish all Hoosiers a happy and safe New Year!✨ https://t.co/c7DpPTcvtL
2022-12-24 16:13:53+00:00,"Merry Christmas, Hoosiers. I wish you peace and happiness this holiday season.🎄 https://t.co/Ww6XbdFnjG"
2022-12-23 14:53:04+00:00,"The Senate passed the Emergency Savings Act, a bill I introduced with @SenBooker that will let employers offer workplace savings accounts.

This pro-consumer, pro-taxpayer bill will help families save for emergencies and preserve their retirement savings.
https://t.co/qxcHBBZHii"
2022-12-22 02:06:45+00:00,"#ICYMI: My Data Mapping to Save Moms’ Lives Act was signed into law. 

This bill will identify areas with high maternal mortality rates to help ensure these regions have access to the life-saving telehealth they need.
https://t.co/jTajRFU1Qf"
2022-12-20 16:24:54+00:00,Thanks for watching the incredible World Cup final with me @GreggDoyelStar. Sorry about the elbows.
2022-12-19 21:48:53+00:00,"Thanks to @GerryDick for having me on this week's @IIB Business &amp; Beyond podcast.
https://t.co/wHcqXDzS8M"
2022-12-19 17:18:31+00:00,"Santa Claus, Indiana is known as America's Christmas Hometown.

Located in Spencer County, the town has the only post office in the world with the Santa Claus name.

Learn more: https://t.co/dwgkQBvTPq
#MarkerMonday"
2022-12-18 21:01:14+00:00,"To all Hoosiers celebrating over the next eight days, Happy Hanukkah. 🕎 https://t.co/O98cXO95HJ"
2022-12-16 18:00:58+00:00,"Last night, I voted for the 2023 National Defense Authorization Act.
 
This bill supports our troops, invests in a 21st Century Arsenal of Democracy, and puts the U.S. on a better trajectory to out-compete the Chinese Communist Party.
https://t.co/iu5bw9aILL"
2022-12-16 15:21:30+00:00,"By partnering with Japan and other like-minded allies, we can work to secure global supply chains, outcompete the Chinese Communist Party, and promote stability and security."
2022-12-16 15:21:29+00:00,"PM Kishida has ordered a doubling of Japan's defense budget to 2% of the country’s GDP in the next five years. 

The Japanese people are stepping up and responding to threats in their region in a truly meaningful way."
2022-12-16 15:21:29+00:00,"Prime Minister Kishida is delivering on his pledge to usher in a new, more proactive Japanese foreign policy, to the benefit of U.S. national security. 

No one-off decision, this is a direct consequence of the worsening security environment in Japan's own backyard."
2022-12-16 15:21:28+00:00,"I welcome the unveiling of Japan’s National Security Strategy and the real defense investments that will back it up.
 
Japan is a critical ally of the United States, particularly as we confront increasingly challenging security issues in the Indo-Pacific."
2022-12-15 22:39:20+00:00,"This year’s NDAA will allow Fort Wayne’s @122fighterwing to transition from the A-10 to the F-16.
 
I have long supported this action, which will build on the 122nd Fighter Wing's proud legacy and position it for continued success.
https://t.co/eJOUcrzMA2"
2022-12-15 19:20:24+00:00,"Last night, the Senate passed a bill to ban TikTok on all government devices.
 
This action is long overdue and critical to our national security. Digital platforms must never provide a back door to monitoring by the Chinese government.
https://t.co/DVHTBNPQl7"
2022-12-15 16:58:44+00:00,"Soon, I will vote for the 2023 National Defense Authorization Act, this year’s national defense bill.
 
The NDAA rescinds the Department of Defense’s COVID-19 vaccine requirement, putting an end to an ill-advised policy that hurt recruitment."
2022-12-14 22:27:58+00:00,"If Title 42 expires next week, this humanitarian crisis at our southern border will only grow worse.
https://t.co/XM5pMvcFQt"
2022-12-14 17:10:51+00:00,"Hoosier students and families deserve to choose the type of school that best meets their needs, including high-quality public charter schools.
 
We need to support education options for students. This shouldn’t be a partisan issue. 
https://t.co/ZJ0aRbxqz5"
2022-12-14 16:49:51+00:00,"Congratulations @RollsRoyceNA!
 
This is big win for our state and I am proud that Indiana will lead the way for the next generation of Army Aviation."
2022-12-13 23:25:59+00:00,"In today’s @SenateCommerce hearing on broadband, I discussed the urgent need to close the digital divide for Hoosiers once and for all.
 
We must roll back unnecessary regulations that slow broadband deployment and closely monitor all federal programs for waste, fraud, and abuse. https://t.co/gJA9fT6TtK"
2022-12-13 23:06:45+00:00,"Once again, Indiana proves to be an attractive place for employers and innovation."
2022-12-13 20:59:49+00:00,"The Chinese Communist Party knows America is on offense following passage of the CHIPS and Science Act.
 
I am confident American innovation and values will prevail in the battle to lead the global economy.
https://t.co/gXukxkjt7s"
2022-12-13 15:06:07+00:00,"Happy birthday @NationalGuard 🎉 
 
I am grateful to our Hoosier Guard members for serving our state and nation both in and out of uniform. https://t.co/VAMIdJRfqy"
2022-12-12 22:15:14+00:00,Learn more about our internship program in DC or Indiana here 👇https://t.co/on2OIo2GaX
2022-12-12 22:15:13+00:00,These fall session interns worked hard on behalf of Hoosiers all semester. I’m thankful for their service to our state. https://t.co/9xTJEGx4Li
2022-12-12 14:50:16+00:00,"The Bartholomew County Courthouse in downtown Columbus was added to the National Register of Historic Places in 1979.

Home to numerous buildings designed by well-known architects, Columbus is recognized as one of the nation’s best destinations for architecture. #MarkerMonday https://t.co/ov1vYqxhor"
2022-12-11 19:00:21+00:00,"Happy Birthday, Indiana. https://t.co/3LLG8PgH6S"
2022-12-09 15:04:49+00:00,"It's essential that we outcompete China.

While progress has been made with my CHIPS and Science Act, there is much more to be done."
2022-12-08 21:01:12+00:00,"I am excited to welcome Greg Goode to our team as State Director.
 
Greg’s talent and wealth of experience will help our office continue to serve and represent all Hoosiers. https://t.co/UFEOLcqm9u"
2022-12-08 18:41:33+00:00,"We must support the Iranian people while also holding the regime accountable for their brutality and abuses. 

I'm proud to join my Foreign Relations Committee colleagues to pass this bipartisan resolution in support of the Iranian people.  https://t.co/o42uUXwvG7"
