Datetime,Text
2023-01-02 23:31:38+00:00,"As severe weather moves through Arkansas tonight, please stay safe and and check local news alerts."
2022-12-27 16:49:55+00:00,Democrats are prioritizing race and gender issues in our military—that’s hurting moral and readiness. ⁦@RepAshleyHinson⁩ agrees—we must return the military’s focus to its core mission and do away with divisive policies.  https://t.co/4DYNpBCIGe
2022-12-23 16:37:14+00:00,"This confirms what we knew all along: TikTok WILL access user data, giving the CCP Americans’ personal sensitive information.  https://t.co/YEJJPzQ7rL"
2022-12-21 23:35:43+00:00,"On the Senate floor today, ⁦@JohnBoozman⁩ and I honored three brave Arkansas officers who lost their lives protecting our state. We will not forget their courage and sacrifice.  https://t.co/C7nGZBoJf0"
2022-12-20 19:57:18+00:00,"Mexican cartels—supplied by Chinese labs—are flooding our country with fentanyl. 

It’s time we took the fight to them. https://t.co/YnfdZAOhCZ"
2022-12-16 16:45:06+00:00,"Five million illegal immigrants have crossed the southern border since Joe Biden took office. If his administration doesn't close the border, we'll have five more million next year alone. https://t.co/QFrn1ob4cG"
2022-12-16 14:35:54+00:00,"Our troops pledge their lives to the defense of the United States, and this bill gives them more support and funding to perform that important mission. While we must remain vigilant, America is now better prepared to ward off her enemies. https://t.co/roPYCEq7KJ"
2022-12-15 20:43:53+00:00,Sergeant Donald Scoby died serving the community he loved and swore to protect—there is no more noble end to life on this earth. May God grant Sergeant Scoby’s family peace as all of Arkansas mourns his loss. We will not forget his service and bravery. https://t.co/jO7lSE9Exl
2022-12-15 14:46:06+00:00,"TikTok is a Chinese-owned entity. It shouldn’t be on any device, let alone a government device. The House should pass this bill immediately and send it to the president to become law.  https://t.co/oceI54syw3"
2022-12-14 20:39:57+00:00,https://t.co/t27P3UYQi2
2022-12-14 20:39:56+00:00,My legislation will help finish the fight against companies like Huawei that the Chinese Communists could compel to undermine our critical infrastructure. https://t.co/eXvLeV4Txg
2022-12-14 19:59:50+00:00,The PRESS Act would shield journalists and leakers from consequences—even when their actions endanger American lives and security. https://t.co/de0d3GrYcy
2022-12-14 19:42:05+00:00,The Chinese Communist Party could spy on anyone who buys a phone with a YMTC-made chip. YMTC’s blacklisting is long overdue.  https://t.co/eO15Bd2GMf
2022-12-14 16:06:37+00:00,There is a better way to get convicted murderers off of death row… https://t.co/Plrue3y2xB
2022-12-13 23:21:00+00:00,There is no reason we should let Chinese companies like Huawei dominate 5G and steal Americans’ data. My bill with ⁦@ChrisVanHollen⁩ will address the threat Huawei and the CCP pose to our national security. https://t.co/t27P3VgrGC
2022-12-13 16:13:26+00:00,The drugs that don’t kill Americans are making them homeless. President Biden must secure the border.  https://t.co/OEzjjkvcNN
2022-12-09 14:59:04+00:00,Releasing Viktor Bout sets a dangerous precedent going forward. It's a signal from Joe Biden to Vladimir Putin that it's open season on taking Americans prisoners. https://t.co/yboZt7n2bo
2022-12-08 17:52:23+00:00,"Americans welcome the release of Brittney Griner, but it shouldn’t have come at the cost of releasing one of the world’s worst arms dealers.  https://t.co/INfFAnpXgx"
2022-12-08 14:58:11+00:00,TikTok is poison for our youth and gives the CCP access to millions of Americans' sensitive data. It's very disappointing the Biden administration is sending signals that they will tolerate the app's presence in the US. https://t.co/vGZADf5LIU
2022-12-07 16:47:01+00:00,Today we honor the brave Americans who lost their lives at Pearl Harbor. We should never forget their service and sacrifice.
2022-12-06 21:04:09+00:00,"We must secure our southern border before pursuing immigration reform. There is a historic flood of illegal immigrants coming into the US, and our priority should be to address the security and needs of working-class Americans. https://t.co/1F0j5Mz20B"
2022-12-06 19:38:30+00:00,Rumors that the Iranian ayatollahs disbanded the morality police are false. President Biden should proudly and loudly support the brave Iranians protesting for freedom against their brutal government. https://t.co/bPvCoN3XIX
2022-12-06 19:07:34+00:00,⁦.⁦@wjmcgurn⁩ is correct: Apple can’t hold the moral high ground in America while it turns a blind eye to the CCP’s human rights abuses.  https://t.co/G7RywPRIfF
2022-12-06 15:11:39+00:00,"Democrats are holding our national defense bill hostage, trying to include legislation that has nothing to do with America's national security. We must pass this necessary bill to ensure the strength of our military. https://t.co/83FR4esrqZ"
