Datetime,Text
2023-01-02 22:24:15+00:00,"Despite our challenges, I’m extremely bullish on America. My optimism is easily justified by our history.

America has always been able to survive and thrive. And America remains the greatest nation in the history of the world. https://t.co/yqSiD8GRQQ"
2023-01-02 22:17:40+00:00,"Representing Pennsylvania in the United States Senate for these twelve years has been the greatest honor of my professional life.

I will always be enormously grateful to the wonderful people of this great state for entrusting me with this awesome responsibility. https://t.co/UMcJ22VHB7"
2022-12-25 14:12:05+00:00,"Merry Christmas! May you have a safe, warm, and joyous holiday. https://t.co/7KKYldigPQ"
2022-12-23 18:33:22+00:00,"Stablecoins are an exciting technological development that could transform money &amp; payments.
 
I hope this framework lays the groundwork for my colleagues to pass legislation next year safeguarding customer funds without inhibiting innovation.
https://t.co/q3oKHnXaes"
2022-12-23 16:31:23+00:00,It is well past time for Congress to pass legislation to require congressional approval before a president of either party can hike tariffs—which are taxes—on Americans. https://t.co/fzGWCNTOTP
2022-12-23 16:31:22+00:00,This is a massive overreach of executive authority. Not even the EPA has been delegated authority from Congress to regulate emissions—the fact that USTR thinks it can use a “national security” tariff statute to do so is plainly absurd.
2022-12-23 16:31:22+00:00,The @USTradeRep has proposed an agreement with the EU that would use the threat of ultra-high tariffs on steel + aluminum to coerce countries into implementing left-wing climate policies.
2022-12-23 00:20:59+00:00,"With my last vote as a member of this body, I could not in good conscience condone this irresponsible product nor the process that created it. (4/4)"
2022-12-23 00:20:58+00:00,But the legislation’s reckless increase in domestic spending will only exacerbate inflation and make it more likely that future generations will inherit a magnitude of debt that can only be resolved through crisis. (3/4)
2022-12-23 00:20:58+00:00,"It is true that the increase in defense spending included in the bill is desperately needed, given the dangers facing our country and our international allies. (2/4)"
2022-12-23 00:20:57+00:00,"Congress does a disservice to itself and the American people when it considers $1.7 trillion in spending and hundreds of extraneous provisions compiled in one massive 4,155 page bill—all with little public transparency or opportunity to amend. (1/4)"
2022-12-18 23:05:27+00:00,"To all those across Pennsylvania who are celebrating tonight, I wish you and your loved ones a Happy #Hanukkah filled with light and joy. https://t.co/7dtQZxqyiP"
2022-12-18 20:02:18+00:00,"The vast majority of my time and effort in Congress was focused on defending the interests of the Commonwealth, and defending and expanding economic freedom. https://t.co/W2tmxzV2pq"
2022-12-14 14:33:14+00:00,"The collapse of FTX is not an indictment of crypto. It’s an indictment of those who misused customer assets.

As I’ve said for months, Congress needs to give regulatory clarity so business flows to prudent, sensible, well-regulated American crypto exchanges. https://t.co/oXKZdawO0m"
2022-12-10 21:52:19+00:00,"PA resident Marc Fogel is jailed in Russia for reasons almost identical to Brittney Griner. With my PA colleagues, I have urged the State Department to prioritize his release. The Biden Admin brought home a celebrity—it must work just as hard to bring home everyday Americans too."
2022-12-09 21:54:04+00:00,"Unfortunately, the Biden Administration continues to vigorously defend these tariffs, which for years have caused harm to American consumers + workers. It is sad to see President Biden carrying the torch for Trump on protectionist trade policies."
2022-12-09 21:54:03+00:00,"Today a @wto panel acknowledged the obvious: There was never any legitimate national security basis for President Trump's taxes on foreign steel + aluminum, despite his use of a national security authority for those tariffs."
2022-12-09 16:36:42+00:00,"The Fed and regional Fed banks obstruct congressional oversight inquiries all too often.

I’m glad to join with @SenWarren in pursuing reforms that will compel these public institutions to be more transparent and accountable to the American people.
https://t.co/cTo3Djy5WB"
2022-12-09 15:04:04+00:00,"Glad @SBF_FTX will appear on 12/13, but @SenSherrodBrown &amp; I also expect you at @SenateBanking/@BankingGOP the next day.
https://t.co/azJla1ejUC"
2022-12-08 18:19:34+00:00,"While I am pleased that one unjustly detained American citizen is coming home, it is completely unacceptable that veteran Paul Whelan and PA resident Marc Fogel remain in Russia. The Biden administration must not rest until each wrongly imprisoned American is returned home."
2022-12-07 17:17:45+00:00,"On this day in 1941, Charles Montgomery made the ultimate sacrifice in the line of duty.

Last month, this courageous Pennsylvanian was finally laid to rest in Delaware County.

May we never forget Charles and the other heroes who perished at Pearl Harbor.
https://t.co/Hp6h17VAq2"
