Datetime,Text
2023-01-02 22:02:43+00:00,"Insulin out-of-pocket costs are now capped at $35 a month for Americans on Medicare.

Every Republican voted against this life-changing policy.

Democrats are making government work for the people."
2023-01-02 20:00:00+00:00,"For years, giant corporations have gotten away with paying little to nothing in federal taxes. Not anymore. My 15% corporate minimum tax will ensure companies pay a fairer share in taxes when they report billions in profits to their shareholders. It's now the law."
2023-01-02 14:00:31+00:00,Members of Congress should not own or trade individual stocks. And neither should their spouses.
2023-01-01 14:00:00+00:00,"Wishing everyone in Massachusetts, across the country, and around the world a safe and happy New Year! I'm deeply grateful for the opportunity to keep fighting righteous fights alongside you."
2022-12-31 20:00:35+00:00,Corporate profits reached record highs this year as giant corporations used inflation as cover to jack up prices for consumers and expand their profit margins. We need to promote competition and fight back against corporate price gouging.
2022-12-31 14:00:43+00:00,"Big wins in Congress this year.
▪️ Capping insulin costs for seniors to $35.
▪️ Securing $$ for our infrastructure systems.
▪️ Making big, bold investments for science research.
These are things that will be felt in our communities &amp; make a big difference. https://t.co/bGCMVu9Aiz"
2022-12-30 17:00:31+00:00,"Public defenders. Consumer advocates. Civil rights lawyers. Federal judges appointed by President Biden &amp; confirmed by Senate Democrats not only have diverse personal backgrounds, but also diverse professional experiences. This work continues next year. https://t.co/akdKmBOhoK"
2022-12-30 14:00:31+00:00,"After the extremist Supreme Court overturned Roe V. Wade, my friend @SenTinaSmith and I wrote a @nytopinion piece on that dark moment and how to hold onto hope. The danger is still real, and we must meet it with the urgency it deserves. https://t.co/uJX5MhK9wA"
2022-12-29 20:00:32+00:00,"This year, Congress took steps to help address gun violence in America, but we still have a lot of work to do to pass stronger gun violence prevention laws. I reintroduced legislation to confront this crisis head-on and take big steps to make our communities safe."
2022-12-29 14:00:33+00:00,President Biden took an overdue step this year to end the federal government's failed prohibition of cannabis. But we've got work to do. @RepBlumenauer &amp; I led a bipartisan group of lawmakers urging @POTUS to support efforts to federally legalize marijuana.https://t.co/YqqZrBW9NF
2022-12-28 20:00:02+00:00,"Thanks to federal grant money, local school buses in western Massachusetts will soon be electric-powered! Electric buses were part of my Build Green legislation and will now be funded in part by finally taxing the profits of billionaire corporations. https://t.co/vLQNNxKDDc"
2022-12-28 14:00:02+00:00,"I worked with @maziehirono and @PattyMurray to ensure veterans who need abortion services can access essential health care. With abortion rights under attack from Republican politicians, we're using every tool to protect reproductive freedom. https://t.co/WiJbMTgoZv"
2022-12-27 20:12:00+00:00,"Consolidation in the airline industry has been a disaster for Americans left w fewer choices &amp; higher prices. @SouthwestAir’s cancellations are the latest example.

@USDOT should use its antitrust tools to protect fliers, starting w blocking the @JetBlue-@SpiritAirlines merger."
2022-12-27 15:32:32+00:00,"Fed Chair Powell’s extreme interest rate hikes risk pushing our economy into a recession that costs millions of Americans their jobs. The Fed needs to remember it has a dual mandate: fight inflation and protect jobs.
https://t.co/jXlErQ6nUW"
2022-12-26 23:14:13+00:00,"This is what government that works for the people really looks like. No wonder Republicans in Congress oppose @CFPB holding @WellsFargo accountable.
https://t.co/6eFLwlFcjn"
2022-12-26 16:00:40+00:00,"Hearing aids are now available over the counter, saving Americans thousands of dollars. This is a reality thanks to my bipartisan legislation with @ChuckGrassley and President Biden's action to promote competition to lower costs.
https://t.co/wAD6uMx1ph"
2022-12-24 15:32:20+00:00,".@Amazon is squeezing its workers to fuel profits—especially during the holiday seasons—while also engaging in surveillance and union busting. Amazon workers deserve the right to organize and bargain for better pay, benefits, and working conditions.
https://t.co/otRvokN3N5"
2022-12-23 18:12:57+00:00,Congress passed the Pregnant Workers Fairness Act this week—legislation to expand protections for pregnant workers and ensure people don't lose their jobs simply because they're expecting a child. This action is great news for workers and long-overdue.
2022-12-23 14:47:36+00:00,"Ever lost track of hard-earned retirement savings when moving between jobs?
 
Congress passed my bill that creates a ‘lost and found’ database to make it easier for Americans to keep track of retirement savings, and get every dollar in benefits they've earned."
2022-12-22 20:17:48+00:00,"Massachusetts lawmakers and I secured $225 million in federal funding to support 160 community projects across the Commonwealth. These resources bolster local efforts to deliver health services and child care, promote clean energy and affordable housing, and expand opportunity."
