Datetime,Text
2023-01-02 15:59:31+00:00,"Starting this year, insulin costs for seniors will be capped at $35/mo. 
 
That’s brought to you by Democrats’ Inflation Reduction Act."
2023-01-02 14:09:58+00:00,"The problems at the Court are real, and don’t go away when the Chief Justice ignores them — many are of the Court’s own making. The Court That Dark Money Built needs to clean up its act, or Congress will have to engage. 

https://t.co/b9l7oWSGHM"
2023-01-01 21:30:23+00:00,"It’s not just the stats. Look at the wreckage of violated policies, overturned precedents and unexamined ethics problems. 

This is not conservative, it’s captured."
2023-01-01 21:30:22+00:00,This is particularly true with a Supreme Court majority with a near-perfect pattern of doing what’s wanted by the dark money machine that put them on the Court. Look at the stats.
2023-01-01 21:30:22+00:00,"Adding honest judges is an important first step toward repairing the damage done by the Trump administration. But the fact remains that dark-money litigants can go judge-shopping for the ones they put in as their operatives and get the results they want.

https://t.co/1tDeiOhuko"
2023-01-01 18:29:34+00:00,"American media has lost a trailblazing icon. Rest in peace.

https://t.co/f2KyHAuEZ5"
2023-01-01 17:17:04+00:00,"Let’s be clear: House Republicans have no more “voice” on climate change than a ventriloquist’s dummy. 

You guessed it — the fossil fuel industry is their ventriloquist. 
 
https://t.co/ihdZqLg665"
2022-12-31 22:23:28+00:00,"First, thank you President Zelenskyy for making the call. 

We’d like to have done more: ENABLERS Act, supported from Jake Sullivan to Mike Pompeo, would have put permanent dent in apparatus of corruption.   

https://t.co/ChTmOaGLmg"
2022-12-31 19:34:40+00:00,"Here comes battery storage, to provide added reliability to wind and solar.  

https://t.co/3J6G8YDYPX"
2022-12-30 19:50:30+00:00,"Congress got BIG things done this year, but we also had plenty of Rhode Island victories. I know the holidays are busy, so here are a few wins you might have missed — in 60 seconds. Happy New Year! https://t.co/rRTey5c36I"
2022-12-30 18:03:26+00:00,"Thanks for your partnership, Mayor @Jorge_Elorza. Wishing you all the best."
2022-12-29 21:28:29+00:00,"It’s not difficult to understand: pregnant workers should have the right to proper workplace accommodations. 
 
That’s why we passed The Pregnant Workers Fairness Act last week, one of the most significant improvements in worker protections in years."
2022-12-29 17:22:21+00:00,"Good summary of the increasingly lawless Fifth Circuit. 

https://t.co/IHnR4aH9LA"
2022-12-29 01:30:50+00:00,Sunset sky. https://t.co/v5Eu7CZL0j
2022-12-28 19:21:18+00:00,"George Will actually just wrote that bureaucracies not courts “have powerful incentives to make expansive interpretations that maximize their power” — apparently non-ironic.  

https://t.co/7E09vFVwuO"
2022-12-27 23:54:21+00:00,Skaters get a pretty sunset. https://t.co/CNlkRjbrLV
2022-12-27 23:10:12+00:00,"Thank you also to the many Rhode Island police departments, mental health experts, and health care professionals who provided leadership and advocacy on this issue. 

https://t.co/QaqxLAjOAX"
2022-12-27 23:09:12+00:00,"I’m pleased President Biden swiftly signed our bipartisan bill into law, and I’m grateful to @JohnCornyn for his partnership."
2022-12-27 23:09:12+00:00,"Our bipartisan Law Enforcement De-escalation Training Act – now the law of the land – will ensure that police officers have the right training for life-saving crisis intervention and de-escalation, and the resources to connect people in crisis with the help they need."
2022-12-26 19:31:20+00:00,"In 2022, our bipartisan infrastructure bill kept delivering for RI. 
 
RI roads and bridges are in need of significant upgrades, and we are making those investments and creating good jobs in the process."
2022-12-25 13:20:30+00:00,"From my family to yours, best wishes for a peaceful and joyful Christmas."
2022-12-23 21:20:08+00:00,"Want to know why we added IRS resources? Billionaire tax avoiders can just bigfoot the existing IRS staff. That isn’t fair to wage earners.  
 
https://t.co/N2K59JgGrj"
2022-12-23 17:54:41+00:00,"Farewell, Patrick, with respect and love. 

And thank you for sharing that wonderful cartoon."
2022-12-23 15:47:20+00:00,"Thanks to our Appropriator @SenJackReed for his partnership in securing the new funding for the Mt. Hope Bridge, and to @DavidCicilline for all of his continued advocacy for the Bridge."
2022-12-23 15:47:20+00:00,This comes on the heels of securing a massive $82.5 million award to extend the life of the Pell Bridge from the INFRA Grant program that I had a hand in creating. https://t.co/4O3cG5Drju
2022-12-23 15:47:19+00:00,"Great news: @SenJackReed and I secured $10 million in the new funding bill that just passed the Senate to help install a cable dehumidification system on the historic Mt. Hope Bridge, which is getting on in years and facing new challenges from climate change. https://t.co/erbQrOufaB"
2022-12-23 14:10:00+00:00,My favorite ornaments are the ones made in Rhode Island. https://t.co/4trf69tXN4
2022-12-23 00:23:00+00:00,"Anne is a regular part of our Senate Munich Security Conference delegation, and writes with knowledge, wisdom and clarity.

https://t.co/DX1ETOaBdm"
2022-12-22 23:18:03+00:00,The flag exchange. https://t.co/CrwETvsJ4h
2022-12-22 22:10:42+00:00,And this legendary view of Delft. Photo does not do it justice. https://t.co/reMcQulGQc
2022-12-22 22:10:42+00:00,I went to the International Criminal Court to help clear obstacles to US support for investigations into Russian atrocities — done in omnibus!! While there I stopped to see this lady. https://t.co/KDJZx4Wf1x
