Datetime,Text
2023-01-02 13:01:30+00:00,"Seventeen years ago today, 12 brave coal miners were tragically lost at the Sago mine. My heart still hurts for the families whose loved ones went to work that day &amp; never returned home. Please join me in praying for these families &amp; for the safety of all of our coal miners."
2023-01-01 13:00:01+00:00,Happy New Year! Wishing good health and happiness to all West Virginians in 2023. https://t.co/mqUKygbJze
2022-12-30 00:44:33+00:00,"The drug epidemic is taking far too many West Virginians from us far too soon. I'm proud of Lauren Cole's family for carrying on ""Lauren's Wish"" &amp; I'm proud to announce that I secured passage of my FREED of Opioids Act and $4.9B to fight the drug epidemic in the FY23 omnibus bill https://t.co/GkYi2a6lkN"
2022-12-26 12:36:00+00:00,"WATCH: From assisting constituents to passing major legislation including the historic #InflationReductionAct, here's a look back at some of the things I accomplished for West Virginia in 2022. https://t.co/APiJWTWrgd"
2022-12-25 13:00:02+00:00,"Merry Christmas, West Virginia! https://t.co/igeRzJBfIz"
2022-12-23 19:19:16+00:00,I will continue working with Treasury and my bipartisan colleagues to find a permanent solution that supports our small businesses in West Virginia and across America.
2022-12-23 19:19:15+00:00,I am pleased the Treasury Department and the IRS listened to my request to delay the 1099K reporting requirement that will harm small businesses and individuals who sell goods online across America. https://t.co/rSgqTz94aI
2022-12-23 13:00:01+00:00,"WATCH: As this year comes to a close, let us all reflect on our many blessings and look forward to a healthy and happy new year. May God continue to bless the Great State of West Virginia and the United States of America. https://t.co/3wu24xulZX"
2022-12-22 23:55:00+00:00,"GREAT NEWS: I secured more than $228 MILLION for 175 Congressionally Directed Spending Requests in #WV in the FY23 budget bill - an increase of 87 projects &amp; over $61M in additional funding for the State of West Virginia from FY22. For a full list, visit https://t.co/nX6abAHyGj. https://t.co/yzZS6qnA6k"
2022-12-22 19:26:04+00:00,"I look forward to seeing President Biden sign this legislation into law and as a member of the Senate Appropriations Committee, I will continue to advocate for West Virginian and American priorities while also working to get our fiscal house in order. https://t.co/hRwJoqKUic"
2022-12-22 19:26:03+00:00,"This bill includes increased funding to fight the drug epidemic, resources to boost WV’s growing defense industry, billions to upgrade water &amp; wastewater infrastructure, and $45B in aid for the Ukrainian people as they defend their nation against Putin’s unprovoked invasion. https://t.co/iLBeBi6QGQ"
2022-12-22 19:26:03+00:00,"This afternoon, I voted for the FY23 funding bill that is a bipartisan, fiscally sound compromise. Many of the West Virginia priorities that I proudly fought for are included in this omnibus legislation. MORE: https://t.co/hRwJoqKUic"
2022-12-22 18:08:43+00:00,"BREAKING NEWS: Form Energy will build a battery manufacturing plant in Hancock County. This $760 MILLION investment in #WV, which will create up to 750 jobs, was made possible by the #InflationReductionAct. @WVNews247 https://t.co/Z3e8yXPt3u"
