Datetime,Text
2023-01-02 15:54:56+00:00,"In 2022, I was proud to deliver results for Wisconsin: 

👷Rebuilding our infrastructure with American jobs
🪖Giving veterans the health care they deserve
💻Investing in USA manufacturing &amp; creating jobs
👭Protecting marriage equality
🔫Keeping communities safe from gun violence"
2023-01-01 06:00:04+00:00,"Happy New Year, Wisconsin! We got A LOT done last year and I can’t wait to keep working together to move our state and country #Forward! Let’s get to work! https://t.co/3OBLrb8nnO"
2022-12-30 16:01:00+00:00,"This past year, Congressional Dems worked hard to lower healthcare costs for seniors across the country and I’m proud that starting New Year's Day, seniors covered by Medicare will begin paying $35 a month for their insulin!"
2022-12-26 15:45:59+00:00,"Today marks the first day of #Kwanzaa! I’m wishing all those who are celebrating in Wisconsin and across the world, a happy and safe holiday surrounded by family and friends. https://t.co/Iv7eQaJYwj"
2022-12-25 16:11:25+00:00,Merry Christmas and happy holidays Wisconsin! 🎄☃️ https://t.co/eUeOpkx0v2
2022-12-23 17:54:20+00:00,"Happy holidays to the brave men &amp; women in our Armed Forces. Our service members serve our country with courage &amp; bravery, &amp; I’m thinking of each of them &amp; their families this holiday season. Thank you, @RedCross for giving us the opportunity to connect with our country's heroes! https://t.co/k23LPi7nMg"
2022-12-22 19:29:26+00:00,My Statement on the Senate’s Omnibus passage: https://t.co/rdU0p6gatm
2022-12-22 16:09:39+00:00,Inadequate icebreaking on the Great Lakes impacts Wisconsin families &amp; businesses who rely on our maritime industry to bring our products to market. I'm thrilled to have brought home funding in this year's NDAA for a new Great Lakes Ice Breaker to keep our economy moving forward! https://t.co/0iEAsjby0u
2022-12-22 01:12:15+00:00,I was honored to attend President @ZelenskyyUa's speech tonight &amp; I am continually inspired by his fearless leadership. I remain fully committed to standing strong with Ukraine &amp; providing them with the tools they need to defend themselves against Putin’s war on freedom. https://t.co/fdlpIqNGMw
2022-12-21 20:03:01+00:00,"As Wisconsin prepares for cold weather conditions &amp; some major snowfall, I’m urging everyone to use caution when spending time outdoors and only travel when needed. Hope everyone stays warm &amp; safe for the holidays!"
2022-12-21 17:41:34+00:00,"For many Wisconsinites, existing student debt and high costs keep starting a new farm out of reach. My bill would help new farmers and ranchers pay off their student loans to support our ag economy, create new jobs, and keep food on the table. 

https://t.co/zVWNG8JOht"
2022-12-21 16:02:08+00:00,"Wisconsin has a proud tradition of fighting for women’s rights – including being the 1st state to ratify the 19th amendment, granting women the right to vote. I am proud to carry on that tradition and honor those within the women’s suffrage movement.
​​https://t.co/dAkvg74cgJ"
2022-12-20 19:12:36+00:00,"An accurate Census is crucial to ensuring Wisconsin gets its fair share of resources. After concerning evidence that the City of Milwaukee was undercounted, I joined @RepGwenMoore in sending a letter to @uscensusbureau urging that Milwaukee be fairly and accurately recounted. https://t.co/ostbm9GQWb"
2022-12-20 17:08:41+00:00,".@SenatorLeahy, it has been such an honor to serve with you in Congress &amp; on the Appropriations Committee. Your leadership has taught me the true impact that a Senator can make nationally &amp; globally. You’re leaving a remarkable legacy behind &amp; I’m wishing you a happy retirement! https://t.co/NfTSTVhdIW"
2022-12-20 16:03:30+00:00,"I’m proud to have brought home big wins for Wisconsin’s military members, families, and economy in this year’s defense bill. Read more about these wins here ➡️https://t.co/mWYRHHKPFQ https://t.co/ky4viVk8CU"
2022-12-20 01:02:54+00:00,Who's ready for some Monday Night Football?! I'm cheering on my @packers tonight! #GoPackGo 🧀
2022-12-19 21:36:07+00:00,I am grateful for the bipartisan @January6thCmte's work showing the American people how Trump’s Big Lie incited a deadly insurrection &amp; undermined our trusted democratic process for generations to come. We must hold those responsible accountable.
2022-12-19 19:54:41+00:00,Wisconsin’s cranberry producers work hard to keep our state the nation’s leading producer of the healthy &amp; delicious fruit. I'm fighting for Wisconsin’s cranberry producers &amp; telling the @US_FDA that #MadeinWI cranberries must be included in their definition of “healthy” foods. https://t.co/DPwecWSwpu
2022-12-19 16:50:34+00:00,"I had the chance to call a few Wisconsinites to talk about what the Respect for Marriage Act means to them and their families. Together, we made history! https://t.co/LVcgr9Ra8T"
2022-12-18 23:02:17+00:00,"Chag Sameach! Today marks the beginning of #Hanukkah and I am wishing all those celebrating in Wisconsin and across the country, a safe and happy holiday. https://t.co/Y4rQuYpCpX"
2022-12-16 21:38:37+00:00,"This Wisconsin Badger has it all covered! Congrats, @Grace_Stanke for being crowned #MissAmerica2023. #OnWisconsin!"
2022-12-16 17:50:15+00:00,"Couldn’t be happier that my Great Lakes Winter Commerce Act was included in this year’s national defense legislation! My bill will support Wisconsin’s maritime economy, increase icebreaking capacity, strengthen our supply chain, &amp; protect our Great Lakes for generations to come! https://t.co/dHonjxLd6o"
2022-12-16 15:25:36+00:00,"My Reproductive Health Travel Fund Act would help millions of women across the country access the reproductive healthcare they need and deserve. 

I won’t stop fighting until every woman has the freedom to make their own healthcare decisions.
 
https://t.co/KBhZs5gjSM"
2022-12-16 00:55:42+00:00,My statement on tonight’s National Defense Authorization Act passage: https://t.co/q0UeEAqDOn
2022-12-15 22:30:12+00:00,"Respect for Marriage Act signed ✅ 
Same-sex &amp; interracial marriages protected ✅
History made ✅ https://t.co/7N9P3KHPRg"
2022-12-15 19:09:57+00:00,Small dairies and processors are essential to moving our #MadeinWI economy forward. I will always work to deliver for our farm businesses and processors to drive innovation and keep Wisconsin’s dairy industry competitive. https://t.co/pdKIatcblU
2022-12-15 17:11:10+00:00,"For millions of families across the country, there was no doubt that protecting same-sex and interracial marriage was urgent. I’m proud that we were able to deliver for the American people by making the Respect for Marriage Act the law of the land. https://t.co/GPImkkck3l"
2022-12-15 15:06:21+00:00,"3/3 I am proud to fight for our Made In America economy. We have the best workers in the world &amp; when we make things here at home, we support our workers, invest in our communities, &amp; strengthen our supply chains."
2022-12-15 15:06:20+00:00,"2/3 Wisconsin is one of the top manufacturing states in the nation &amp; I was thrilled to have the Badger State’s own @HuscoIntl and @ROKAutomation in D.C. to hear how the CHIPS Act is helping them create jobs, compete better with foreign companies, &amp; build a more resilient economy. https://t.co/r5ynYy0IaL"
2022-12-15 15:06:18+00:00,"🧵1/3 Investing in our #MadeinAmerica economy isn’t just a slogan to Wisconsinites, it's core to our way of life. I was proud to chair our @commercedems Subcommittee on Manufacturing to discuss how our #CHIPSAct is creating good-paying domestic jobs &amp; strengthening supply chains. https://t.co/gt5BvsnjUE"
2022-12-14 20:04:28+00:00,"Rail workers keep families fed &amp; support Wisconsin's farmers, manufacturers, &amp; producers. While rail companies make billions in profits, they are refusing to give their workers paid sick leave. It's not right. They deserve paid sick leave.

https://t.co/G3iLm8Qdrn"
2022-12-14 15:59:49+00:00,"10 years ago, 26 children &amp; teachers had their lives tragically taken too soon at #SandyHook due to gun violence. While we’ve made good progress to strengthen gun safety laws with the Safer Communities Act, we must continue passing common-sense gun reform to #HonorThemWithAction. https://t.co/xqQ3KWvB2I"
2022-12-13 23:09:16+00:00,It was great to be at the White House to celebrate the Respect for Marriage Act being signed into law by @POTUS! I’m happy that the hard work and long hours of bipartisan negotiation have finally paid off for the millions of loving same-sex &amp; interracial couples across America. https://t.co/BrnxtnYAxw
2022-12-13 21:51:08+00:00,That feeling when the Respect for Marriage Act is signed into law! https://t.co/uBA3L6gAlh
2022-12-13 18:58:50+00:00,Tune in now to watch my hearing on how the #CHIPSAct is supporting our small American manufacturers and strengthening our Made in America economy!
