Datetime,Text
2023-01-01 16:47:35+00:00,"The best part of my job is traveling around the state and hearing directly from Coloradans about their lives, their families, and their communities. I can’t wait to get on the road again in 2023.

Happy New Year! https://t.co/e3aeXO5jrp"
2022-12-31 17:11:08+00:00,"A year ago, thousands of families lost their homes in the most devastating fire in Colorado’s history. 

We’re urging insurance companies to keep supporting these families as they continue to rebuild from the #MarshallFire.
https://t.co/Z4V2vv777A"
2022-12-31 00:00:31+00:00,"Thanks to the CHIPS and Science Act, we’re investing in American manufacturing again and bringing good-paying jobs home.
https://t.co/s4wGsrPJRo"
2022-12-30 16:00:32+00:00,"Our country faces a gun violence epidemic that no other country in the world faces.

This year, Congress finally overcame the NRA to pass the first federal gun safety bill in decades.

It was a significant start, but there’s more to do to #EndGunViolence.
https://t.co/ylQyLHcQTf"
2022-12-30 00:00:02+00:00,"This year, we made the National Suicide Prevention Lifeline more accessible to those in need of help.

If you are in need of immediate support, help is available. 

Dial the new lifeline at 988.
https://t.co/l3uNYtBYiF"
2022-12-29 16:00:33+00:00,"The Inflation Reduction Act was a win for the American people over Big Pharma.

And in just a few days, seniors won’t have to pay more than $35/month for their insulin. 
https://t.co/lkxMS1seeG"
2022-12-29 00:00:00+00:00,"We preserved both painful and inspiring parts of Colorado’s history by protecting Camp Amache and Camp Hale with national designations, ensuring that future generations will be able to learn and grow from our past. https://t.co/SsRO6Rcr1y"
2022-12-28 16:00:00+00:00,"In September, I flew over the Colorado River with @DepSecBeaudreau and @USBR Commissioner Touton to show them how Coloradans are grappling with less water.

The $4 billion we secured in the Inflation Reduction Act for Western Drought is a great start, but there’s more work to do. https://t.co/NgK3ADnDGe"
2022-12-28 00:00:30+00:00,"There may be no right closer to the heart than marrying the one that you love.

When we passed the Respect for Marriage Act this month, we moved our country closer to our highest ideals and took a historic step toward equality.
https://t.co/qSPuf2usr9"
2022-12-27 16:00:30+00:00,"In March, I joined @FLOTUS &amp; @SecBecerra to talk about how broadband funding in the Infrastructure Law will help close the digital divide for Latinos in CO.

We need to ensure that Latino students, businesses &amp; patients have access to the 21st century digital tools they need."
2022-12-27 00:00:31+00:00,"After years of environmental hardships, the $350M we secured for the South Platte River will help build resilient infrastructure in Denver.

This funding from the Infrastructure Law will protect communities, support recreation, and improve water quality.  
https://t.co/7KwXESVeMy"
2022-12-26 16:00:02+00:00,"Coloradans rely on @USPS for the timely delivery of mail, bills, and medications – but for years, they’ve faced delays.

Congress finally passed the Postal Service Reform Act to improve USPS’ financial stability and prioritize service for all Coloradans.
https://t.co/Gi9f7bD3H3"
2022-12-26 00:00:01+00:00,"Our veterans earned and deserve the highest quality health care.

After years of inaction from Washington, I voted to pass the PACT Act — the largest expansion of veteran health care benefits in decades. 
https://t.co/cmD56lsUpR"
2022-12-25 16:00:02+00:00,"CO families, commuters, &amp; businesses depend on I-70, but for too long Floyd Hill has been a major pain point for travelers.

Thanks to the Infrastructure Law, CO received $100M to improve Floyd Hill and restore this critical gateway to the American West. 
https://t.co/olpVZTUIeW"
2022-12-25 00:00:30+00:00,"The American West faces a 1,200 year mega-drought. 

We secured $4 billion in the #InflationReductionAct to confront this crisis and protect our Western way of life. 
https://t.co/LgojO6meYW"
2022-12-24 16:00:03+00:00,"While 2023 is just around the corner, I’m still thinking about how much we accomplished in 2022 — from confirming a historic Supreme Court Justice to passing the Electoral Count Reform Act.

Over the next few days, I’ll be recapping the best of 2022 – I hope you follow along. https://t.co/dFeLU7vJRp"
2022-12-24 00:01:25+00:00,"We have much to celebrate this year, including how we came together throughout as friends, family, neighbors, and Coloradans demonstrating the resilient spirit of our state.

This holiday season, I’m wishing you and your loved ones warm and happy holidays. https://t.co/fwP12aRvU2"
2022-12-23 16:00:01+00:00,"Ed served our state for nearly three decades in the State Capitol and in Washington. He represented the best of Colorado with his thoughtful, collaborative, and joyful approach. Even as he leaves Congress, I know he will continue fighting for Coloradans.
https://t.co/8UfIqGGYlz"
2022-12-23 01:30:00+00:00,"For too long, American taxpayers have had to clean up abandoned oil and gas wells in their communities. 

I’m urging @Interior to hold corporations — not taxpayers — responsible for the costs of cleaning up their wells on public lands.
https://t.co/tPwoOVRDxf"
2022-12-22 16:00:02+00:00,"✔️ Improving our water infrastructure in southern CO 
✔️ Increasing affordable housing on the Western Slope
✔️ Investing in minority-owned businesses along the Front Range

We secured nearly $200 million for projects across Colorado ↓
https://t.co/cBEEp4cqrd"
2022-12-22 01:21:13+00:00,"President @ZelenskyyUA’s address tonight was a rousing call to defend freedom and democracy from tyranny. 

America stands with Ukraine."
2022-12-21 23:00:01+00:00,"Thanks to the CHIPS &amp; Science Act, we're bringing the semiconductor industry back to America—and more economic opportunity to Colorado.

@Entegris' new manufacturing center will bring over 600 jobs to our state while strengthening our national security. 
https://t.co/OV42jxhlla"
2022-12-21 17:47:05+00:00,"Tomorrow could be Colorado’s coldest day in over 30 years.

Stay inside if possible, and be prepared. Learn more ↓
https://t.co/XAKssDD26c"
2022-12-21 00:00:00+00:00,"I’m grateful to the bipartisan committee that showed that no one is above the law – not even a former president.
https://t.co/z2iGXPLHlX"
2022-12-20 19:16:25+00:00,"Congress has a responsibility to save our family farms and ranches, fix our broken immigration system, secure our nation’s food supply, and lower costs for American families.

This is a matter of economic, food, and national security. We can't let politics stop us from acting. https://t.co/wGcNbRUtMB"
2022-12-20 16:23:34+00:00,"GOP leaders sent a lump of coal to America’s children this year — they refused to even discuss a deal for kids and businesses.

I will continue to oppose cutting taxes for corporations without passing an expanded Child Tax Credit. https://t.co/yNyV0n8S6G"
2022-12-19 23:34:31+00:00,"WATCH: We don’t have to accept crushing food prices, losing America’s family farms, and hundreds of thousands living in the shadows.

I’m speaking on the Senate floor to urge my colleagues to pass my #AffordableAndSecureFoodAct. https://t.co/irUcvmVwBd"
2022-12-19 16:00:34+00:00,"I’ve heard from Coloradans like Bill for years about the importance of protecting the Thompson Divide from further oil and gas leasing.

I'm grateful @POTUS initiated a mineral withdrawal in October and thrilled to see the process to finalize it underway.
https://t.co/91RKYpWMpr"
2022-12-19 00:00:00+00:00,"We have seen how hateful rhetoric can rob from us our loved ones and forever change our communities.

We must stand up for our LGBTQ neighbors and speak loudly against those who want to divide us.
https://t.co/Ed8ekNlQb5"
2022-12-18 20:00:01+00:00,"La escasez de campesinos aumenta costos y restringe presupuestos familiares, forzando decisiones entre alimentos, medicinas y vivienda.

El congreso debe avanzar mi  #AffordableAndSecureFoodAct apoyado por agricultores, campesinos, defensores de la inmigración y empresarios."
2022-12-18 16:00:01+00:00,"The National Mall has been the site of historic calls for progress for generations.

This monument honors our nation’s long journey toward equality and deserves this most dignified location in both our nation’s capital and our nation’s history. 
https://t.co/vMxrXvDwYf"
2022-12-18 00:00:01+00:00,"Last week, my colleagues and I urged @POTUS to create a task force and national strategy to combat antisemitism. I’m glad to see his support for our recommendations.

We must stand up against religious intolerance and hatred.
https://t.co/QBym4JWGLI"
2022-12-17 19:13:57+00:00,We won't cut taxes for corporations without cutting taxes for kids—this Congress or next Congress. https://t.co/15WvdZk5nt
2022-12-17 16:00:01+00:00,"When I talk to family farmers &amp; ranchers across Colorado, I hear about our need to pass immigration reform to meet our agricultural labor needs.

My #AffordableAndSecureFoodAct is a compromise to lower food costs for consumers &amp; labor costs for producers.
https://t.co/kOgg0TnjSG"
2022-12-17 00:00:00+00:00,"The acquisition of the Latham property gives Coloradans better access to public lands, expands recreational opportunities, and protects our natural resources.

I fought to fully fund the Land and Water Conservation Fund to make these exact types of investments."
2022-12-16 16:00:02+00:00,"This breakthrough is a powerful testament to American science, engineering, and dedication to push the frontiers of human discovery.

Although the promise of fusion energy remains far off, we just took one historic step forward.
https://t.co/H1v3YzNTjt"
2022-12-16 01:25:58+00:00,"We need to make it easier for family farmers and ranchers across Colorado to continue to grow the safest food supply in the world.

My #AffordableAndSecureFoodAct creates a path to legal status for undocumented farm workers, drives down costs for producers and lowers food prices. https://t.co/l8vw4iNNg5"
2022-12-15 22:00:01+00:00,"This is a little hard to comprehend from the same editorial board that supported Trump's tax giveaways – 52% of which went to the top 5%.

In a country with the 4th highest child poverty rate in the industrialized world, why are you fighting so hard to keep children poor?"
2022-12-15 19:03:46+00:00,"It's past time for immigration reform to grow our economy and help farmers and farm workers.

My #AffordableAndSecureFoodAct will
🛒Lower food costs for families
🚜 Reduce labor costs for farmers and ranchers
👨🌾 Provide a pathway to legal status for undocumented farm workers https://t.co/fPys3m2TXT"
2022-12-15 14:44:05+00:00,"HAPPENING NOW: I'm standing with farmers and farm workers to talk about our plan to lower food costs for families, reduce labor costs for growers, and bring certainty to undocumented farm workers. Watch here ➡️ https://t.co/UWVjsdkFij"
2022-12-15 00:00:01+00:00,"A decade ago, 20 children &amp; 6 educators were killed at Sandy Hook with an AR-15. There have been almost 30 mass shootings at schools since then. 

Our kids deserve to feel safe in the classroom. We must act to get these weapons of war off our streets.
https://t.co/6czItdvbhA"
2022-12-14 15:02:33+00:00,"We are witnessing a rise in extremist attacks in CO &amp; across the country.

I’m grateful to Club Q survivors Michael Anderson and James Slaugh, and co-owner Matthew Haynes for having the strength to testify on this alarming trend &amp; the need for safe spaces for LGBTQ communities."
2022-12-13 23:57:42+00:00,"The Respect for Marriage Act moves us closer to fulfilling our nation’s highest ideals of equality for all. 

It was a remarkable day at the White House as @POTUS signed this historic legislation. https://t.co/4H09KE5IBy"
2022-12-13 19:00:01+00:00,"Our democracy depends on the peaceful and orderly transfer of power, but we have to fix loopholes in existing law that allow reckless politicians to destabilize the process.

We have to pass the Electoral Count Reform Act before the end of the year."
2022-12-13 15:49:59+00:00,"Judge Gordon Gallagher has proven his integrity &amp; legal acumen over his 25-year career. He brings perspective from the West Slope &amp; experience working with Tribal communities.

Watch as I speak before the Judiciary Committee to support his nomination for U.S. District Court. ⬇️ https://t.co/l4d4ikwqLG"
2022-12-12 23:59:26+00:00,"That isn't the America I grew up in. My daughters’ generation bears the burden of gun violence I never did — that they could be killed in their classrooms, places of worship, or grocery stores.

We have so much left to do to give our children the safe future that they deserve."
2022-12-12 16:00:11+00:00,"The child tax credit worked.

We need to put working people first and extend this lifeline for Coloradan families. https://t.co/zuopjpDzBl"
2022-12-12 00:00:00+00:00,"FCC Florence’s understaffing and unsustainable working conditions are a safety issue for everyone.

@SenatorHick and I stand with workers at FCC Florence demanding better working conditions and pay.
https://t.co/ZJIppdIJkc"
2022-12-11 20:00:01+00:00,"The rural clean energy investments I helped secure in the #InflationReductionAct will help boost clean energy deployment, cut emissions, create jobs, &amp; lower costs for rural families.

USDA should distribute funds swiftly, in innovative, flexible ways. We have no time to waste."
2022-12-11 15:54:00+00:00,"Susan and I stopped by Laura Menorah's ""Saturday Serve"" Drag Brunch to benefit the Club Q community.

Let's continue to uplift, celebrate, and stand up with our LGBTQ+ community. https://t.co/zDO5rCkSUh"
2022-12-11 02:01:26+00:00,"Coloradans can still shop for health insurance, change plans, and find coverage that will start at the beginning of 2023.

Find affordable coverage for you and your family through the marketplace today ⬇️
https://t.co/yWg8Xwtdzh https://t.co/VJqYCEEIFp"
2022-12-10 16:00:00+00:00,"Our state is preparing to roll out historic funding to close the digital divide thanks to my BRIDGE Act and the Infrastructure Law.

Help Colorado get its full funding by reporting if your address lacks broadband service at https://t.co/VE36HbDEHg.
https://t.co/HtP4cPsWde"
2022-12-10 00:00:02+00:00,"In the richest country in the world, everyone should have access to high-speed internet.

This initial $5M investment will strengthen CO's ability to plan for broadband funding next year and maximize this once-in-a-generation opportunity for our state.
https://t.co/4hS0d6AiKm"
2022-12-09 20:47:36+00:00,"No parent in America should worry about the water their kids drink.

@DenverWater received $76M from the Infrastructure Law to meet its commitment to replace every customer-owned lead pipe &amp; prioritize underserved neighborhoods — showing the rest of the country what’s possible. https://t.co/8ziwyQ9wVa"
2022-12-09 15:00:56+00:00,Congratulations to my friends @SenatorHick and Robin on this wonderful news.
2022-12-09 00:00:00+00:00,"As communities across Colorado face drought and a changing climate, the San Luis Valley can lead the way in our transition to a clean energy economy by harnessing the power of solar on our farms and ranches.
https://t.co/tqdtcnVsXM"
2022-12-08 20:13:31+00:00,"Latina Equal Pay Day reminds us that Latina women help fuel our economy but earn 54 cents for every dollar earned by their white male coworkers.

We must pass the Paycheck Fairness Act and ensure everyone earns a fair wage for equal work. #LatinaEqualPay"
