Datetime,Text
2022-12-22 19:58:39+00:00,"I voted against the omnibus bill because we can't keep running America into the ditch with wasteful spending bills negotiated behind closed doors and rammed through the last minute. We're $31 trillion in debt, and every Hoosier is paying for it. They deserve better."
2022-12-22 17:56:15+00:00,"Every American family is paying for D.C.‘s spending spree with every purchase they make.

I wrote a real balanced budget and forced a vote on the Senate floor this summer. It can be done.

We have to reject this broken process and make a budget. The American people deserve it!"
2022-12-22 17:29:55+00:00,"We’re now voting on my amendment to stop an 11th Amendment violation in this bill.

A section of the bill is unconstitutional &amp; opens up states to federal compliance issues &amp; litigation.

I’m asking the Senate to strike this provision that infringes on a constitutional right."
2022-12-22 17:22:36+00:00,"Today I voted for @SenMikeLee’s amdt to preserve Title 42. Our border is in chaos because Biden admin destroys every tool we have to keep it secure. 

While Border Patrol put their lives on the line to keep us safe, D.C. refuses to give them the tools they need to do their job."
2022-12-22 16:53:06+00:00,Earmarks are a corrupt tool used to buy votes for big spending bills with the American people’s money.
2022-12-22 16:23:21+00:00,"If this bill was good for the American people, they wouldn’t need a blizzard to get it passed."
2022-12-22 16:21:33+00:00,"The $1.7 trillion omnibus bill is spending that should have been finished in September. 

I’m on the Budget Committee - we never talk about the budget.

This dysfunction enables huge, pork-stuffed bills.

We need my No Budget No Pay bill with @SenRickScott to stop this madness."
2022-12-22 16:09:46+00:00,"We’re quickly becoming the most indebted nation in the world, and is anyone happy with the product we’re getting for it? Conservatives have to put our foot down and stop the spending! 
https://t.co/lF1JiPwLX9"
2022-12-22 13:07:01+00:00,Over 3.1 million votes…
2022-12-21 18:58:24+00:00,"Those in D.C. with something to gain from a spending bill full of earmarks try to make it a choice between their spending spree or a shutdown.

It's a false choice. We can keep spending at base levels with a CR.

I know because we are currently under a CR passed last week! https://t.co/fdEJPJsP5Q"
2022-12-21 18:47:54+00:00,"It’s the same playbook every year: leaders negotiate behind closed doors, spring a disaster of a spending spree on us at the last minute, then claim conservatives are trying to shut down the government by not going along with running the country into the ditch.

I'm tired of it."
2022-12-21 17:19:17+00:00,"If there is one thing that would fix the spending spree in D.C., it’s TERM LIMITS."
2022-12-21 15:58:20+00:00,"We can't keep spending our kids and grandkids' futures.
https://t.co/Bp5feA6wAu"
2022-12-21 14:59:02+00:00,"Are you happy Congress is about to pass a 4,000 page bill that nobody has read?

Massive government spending &amp; inflation is wildly unpopular with the American public. 

We need to fix this broken system."
2022-12-21 14:29:28+00:00,"It’s loaded up with earmarks again. It's the classic worst case of how you’d run any organization. 
https://t.co/9GfCOhRIOO"
2022-12-21 00:08:50+00:00,"The only people coming out on the short end here are the people we say we’re trying to serve. 

Borrowing money from your kids and grandkids without putting any forethought into what you’re spending is a terrible business plan. https://t.co/DbKeWGZa0m"
2022-12-20 23:40:52+00:00,"Would you spend $2 million on a wax museum? 

How about $3.6 million on the “Michelle Obama Trail?”

Well, you’re about to. 

These are two earmarks in the omnibus spending bill that will become law this week.

I'll be voting to strip every earmark out of the bill."
2022-12-20 20:04:03+00:00,"Huge spending bills like this one are how we got into trillion dollar deficits, $31 trillion in debt, and an inflation crisis hurting every American family. https://t.co/jxe82V7Liq"
2022-12-20 13:06:03+00:00,Joining @JoeSquawk and @BeckyQuick on @SquawkCNBC to talk about the $1.7 trillion omnibus spending bill Senators saw text of last night in 5. There’s real consequences for small businesses and first-time home-buyers if we don’t get spending under control.
2022-12-16 17:12:03+00:00,"In a year where Americans have been pummeled by an inflation crisis egged on by D.C.'s dysfunction, the least we should be able to do is end the year with no NEW debt. @BudgetHawks"
2022-12-16 16:17:22+00:00,Why can this Congress pass a massive spending bill packed with pork and earmarks but doing ANYTHING about the border has to wait until it’s someone else’s job?
2022-12-16 00:56:08+00:00,"Tonight I voted on @SenMikeLee’s amendment, which I was proud to co-sponsor, that would fund the government until March 2023 at baseline levels, allowing the Republican House majority the American people voted for to have their say in how your money is spent."
2022-12-14 14:20:49+00:00,"It’s a slap in the face of voters to let the outgoing House majority set the agenda for the next ten months. We shouldn’t fund the government with huge omnibus bills in the first place and we shouldn’t give current Speaker Pelosi a going away present.
https://t.co/rA7Lti6ipS"
2022-12-14 14:18:57+00:00,"The American people spoke on Election Day and said they wanted new leadership in the House. Why would we go along with the Democratic House majority giving us 10 more months of the Biden agenda?
https://t.co/1Xc01rfNIJ"
2022-12-13 22:55:41+00:00,We shouldn't give Nancy Pelosi a going away present. She was fired! https://t.co/8eFhMWrsxw
