Datetime,Text
2023-01-01 01:37:03+00:00,"Wishing all Washingtonians a safe and happy New Year! As we reflect on this past year and look forward to 2023, I hope the new year brings health and happiness to everyone. https://t.co/hFnvRngc7f"
2022-12-30 06:53:34+00:00,2/ Celebrating the Dawgs in San Antonio. https://t.co/kWrcB2wDLX
2022-12-30 06:52:58+00:00,"1/ San Antonio’s landmark Tower of the Americas, lit up in Husky purple. Great game, Dawgs! #PurpleReign https://t.co/2RPVgoXY4d"
2022-12-30 02:41:58+00:00,Excited to be cheering on the Huskies at the Alamo Bowl tonight. Go Dawgs!
2022-12-27 20:28:27+00:00,"2/ Many airlines fail to adequately communicate with consumers during flight cancellations. Consumers deserve strong protections, including an updated consumer refund rule."
2022-12-27 20:28:27+00:00,1/ The problems at Southwest Airlines over the last several days go beyond weather. The Committee will be looking into the causes of these disruptions and its impact to consumers.
2022-12-26 20:49:48+00:00,"2/ These two grants help the residents of Pacific County take needed action now, while planning for future climate impacts."
2022-12-26 20:49:47+00:00,"1/ Communities around Willapa Bay have stepped up to save their shorelines, pioneering coastal erosion solutions like cobble berms. Matching community know-how with targeted grant funds is the smart way to face the climate crisis. https://t.co/4r4wIyaFW1"
2022-12-25 20:20:39+00:00,Merry Christmas to everyone celebrating in Washington and across the country. Wishing you a joyful and peaceful holiday season! https://t.co/XP0wBnGzKH
2022-12-22 01:26:39+00:00,"Tonight President Zelenskyy spoke to the American spirit. Our two nations share the values of freedom, democracy, and independence. Washingtonians and Americans stand with Ukraine."
2022-12-19 21:53:02+00:00,"2/ This will help the port continue to support and grow good paying jobs and boost Washington state’s $53.7 billion export economy, ensuring the Port of Tacoma and Seaport Alliance remain a top competitor in the global trade market."
2022-12-19 21:53:02+00:00,"1/ This is a big economic win for the Port of Tacoma and the entire South Puget Sound. Deepening the Blair waterway will ensure that the Port of Tacoma is competitive and has the ability to host the new, larger container ships of the future. https://t.co/qjlrqbrY0R"
2022-12-19 01:36:21+00:00,Warmest wishes to all Washingtonians and all those around the world who are celebrating the first night of #Hanukkah. Chag Sameach! https://t.co/phPRByOBQO
2022-12-16 19:55:49+00:00,"4/ These projects help recover salmon stocks important to Southern resident orcas, coastal ecosystems and our economy by supporting commercial, recreational, and Tribal fishing communities. https://t.co/xv1Pfdb9hg"
2022-12-16 19:55:48+00:00,"3/ From the Skagit and Snohomish rivers in Northwest Washington to the Washougal River in Southwest Washington, the Yakima River and Columbia River basins in Central Washington to the Hoquiam River on the Olympic Peninsula."
2022-12-16 19:55:48+00:00,2/ Barriers like obsolete dams and impassable culverts block salmon from migrating to their spawning grounds across the state —
2022-12-16 19:55:47+00:00,"These first projects from the NOAA’s Restoring Fish Passage Through Barrier Removal Program will support 10 projects in Washington aimed at jumpstarting salmon recovery by removing salmon-blocking culverts and other stream obstructions. 
https://t.co/nPHNhEUG8D"
2022-12-14 21:50:04+00:00,"2/ The Equal Pay for Team USA Act requires the U.S. Olympic Committee and the governing bodies to provide the same pay, medical care, and coverage of expenses to U.S. athletes regardless of gender – or risk decertification."
2022-12-14 21:50:03+00:00,"1/ By passing the Equal Pay for Team USA Act out of the Senate, we’re sending a message to all the young girls who dream of a future in sports – you will get equal pay for your success. I will continue to push the House to get this finally passed into law🇺🇸 https://t.co/uUkKbNsLPZ"
2022-12-14 17:30:17+00:00,The successful completion of the Artemis I mission lays the groundwork for our next step – landing a woman and a person of color on the Moon for the first time in history. It also shows that WA remains an industry leader with 42 companies contributing to the Artemis program. https://t.co/n3KvnALELZ
2022-12-13 23:27:08+00:00,2/ I was proud to support the Respect for Marriage Act to safeguard the rights of loving couples across the country.
2022-12-13 23:27:07+00:00,"1/ With President Biden’s signature – a couple married in Washington state will never have to worry that their legal bond could be dissolved if they move to another state, or have their federal benefits taken away by an overreaching Supreme Court decision."
